"","Project","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","Sample_ID","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","TMP","SW","H6","15CM",NA,NA,"PW",5,20250131,20250128,"TMP_SW_H6_20250131_15CM",5.468,0.170555208983157,"Within_Range",NA,16.8967,0.476634696755994,"Within_Range",NA,0.0305583369,"2025-12-05",NA,"colored; sub-sampled in lab at 1532"
"2","TMP","SW","D5","15CM",NA,NA,"PW",5,20250131,20250128,"TMP_SW_D5_20250131_15CM",41.6773,1.29997816593886,"Within_Range",NA,101.2364,2.85575176304654,"Within_Range",NA,0.1829601748,"2025-12-05",NA,"colored; sub-sampled in the lab at 1508"
"3","TMP","SW","F4","15CM",NA,NA,"PW",5,20250131,20250128,"TMP_SW_F4_20250131_15CM",15.3988,0.480311915159077,"Within_Range",NA,89.1587,2.51505500705219,"Within_Range",NA,0.1611357709,"2025-12-05",NA,"colored; sub-sampled in lab at 1516"
"4","TMP","SW","I5","15CM",NA,NA,"PW",5,20250131,20250128,"TMP_SW_I5_20250131_15CM",65.919,2.0561135371179,"Within_Range",NA,261.4767,7.37592947813822,"Within_Range",NA,0.4725143969,"2025-12-05",NA,"colored; sub-sampled in the lab at 1500"
"5","TMP","SW","E3","15CM",NA,NA,"PW",5,20250131,20250128,"TMP_SW_E3_20250131_15CM",63.0333,1.96610417966313,"Within_Range",NA,228.4353,6.4438730606488,"Within_Range",NA,0.4128085871,"2025-12-05",NA,"clear; sub-sampled in the lab at 1512"
"6","TMP","SW","C3","15CM",NA,NA,"PW",5,20250131,20250128,"TMP_SW_C3_20250131_15CM",75.5324,2.35597005614473,"Within_Range",NA,264.2205,7.45332863187588,"Within_Range",NA,0.4774724435,"2025-12-05",NA,"colored; field collection"
"7","TMP","SW","F6","15CM",NA,NA,"PW",5,20250131,20250128,"TMP_SW_F6_20250131_15CM",64.6348,2.01605739238927,"Within_Range",NA,253.9572,7.16381382228491,"Within_Range",NA,0.4589266604,"2025-12-05",NA,"colored; sub-sampled in the lab at 1525"
"8","TMP","SW","B4","15CM",NA,NA,"PW",5,20250131,20250128,"TMP_SW_B4_20250131_15CM",63.8115,1.99037741734248,"Within_Range",NA,392.6059,11.0749196050776,"Within_Range",NA,0.7094648613,"2025-12-05",NA,"colored; field collection"
"9","TMP","SW","C3","15CM",NA,NA,"PW",5,20250204,20250131,"TMP_SW_C3_20250204_15CM",54.9103,1.7127354959451,"Within_Range",NA,129.0376,3.63998871650212,"Within_Range",NA,0.2331969432,"2025-12-05",NA,"colored"
"10","TMP","SW","H3","15CM",NA,NA,"PW",5,20250204,20250131,"TMP_SW_H3_20250204_15CM",14.9597,0.466615720524017,"Within_Range",NA,46.1479,1.30177433004231,"Within_Range",NA,0.0834152553,"2025-12-05",NA,"colored"
"11","TMP","SW","C6","15CM",NA,NA,"PW",5,20250204,20250131,"TMP_SW_C6_20250204_15CM",9.7564,0.304316905801622,"Within_Range",NA,19.7258,0.556440056417489,"Within_Range",NA,0.0356705206,"2025-12-05",NA,"colored"
"12","TMP","SW","D5","15CM",NA,NA,"PW",5,20250204,20250131,"TMP_SW_D5_20250204_15CM",23.9291,0.746384903306301,"Within_Range",NA,34.0433,0.960318758815233,"Within_Range",NA,0.0615422431,"2025-12-05",NA,"colored"
"13","TMP","SW","H6","15CM",NA,NA,"PW",5,20250204,20250131,"TMP_SW_H6_20250204_15CM",2.8156,0.0878228321896444,"Within_Range",NA,6.7959,0.191703808180536,"Within_Range",NA,0.0123061913,"2025-12-05",NA,"colored"
"14","TMP","SW","F4","15CM",NA,NA,"PW",5,20250204,20250131,"TMP_SW_F4_20250204_15CM",8.6707,0.270452276980661,"Within_Range",NA,26.4756,0.746843441466855,"Within_Range",NA,0.0478674092,"2025-12-05",NA,"colored"
