"Column_Names","Corresponding_files","Unit","Definition","Column_Long_Name","data_type","Instrument_ifapplicable","Method_ifapplicable"
"Project","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Project name: Project component","Project","text","NA","NA"
"Region","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Region samples originated from: CB = Chesapeake Bay","Region","text","NA","NA"
"Sample_ID","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Water sample ID","Sample_ID","text","NA","NA"
"Sample_Year","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Year (YYYY) of sample collection","Sample_Year","numeric","NA","NA"
"Sample_Month","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Month (MM) of sample collection","Sample_Month","numeric","NA","NA"
"Sample_Day","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Day (DD) of sample collection","Sample_Day","numeric","NA","NA"
"Site","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Site Code identifier for sampling transect location (TMP), see dataset location for coordinates","Site","text","NA","NA"
"Event","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Sampling Event (TMP-I, TMP-II, TMP-III, Monitoring)","Event","text","NA","NA"
"Plot","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Sampling plot (F = Freshwater, S = Saltwater, C = Control)","Plot","text","NA","NA"
"Location","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Sampling grid location in plot (Letter + Number)","Location","text","NA","NA"
"Depth_cm","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","cm","Depth interval below the soil surface from which the sample was collected in cm","Depth_cm","numeric","NA","NA"
"Timepoint","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Sampling timepoint during an event (T#, HR#, AM/MID/PM)","Timepoint","text","NA","NA"
"Sample_Type","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Type of sample collected (SOURCE = Source water, PW = Porewater, RAINWATER = Rain water)","Sample_Type","text","NA","NA"
"Evacuation_date_YYYYMMDD","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Date lysimeter was evacuated before sample collection (YYYYMMDD)","Evacuation_date_YYYYMMDD","date","NA","NA"
"Collection_Date_YYYYMMDD","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Date sample was collected (YYYYMMDD)","Collection_Date_YYYYMMDD","date","NA","NA"
"Collection_Start_Time_24hrs","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Time sample collection was started (HHMM)","Collection_Start_Time_24hrs","time","NA","NA"
"Collection_End_Time_24hrs","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Time sample collection ended (HHMM)","Collection_End_Time_24hrs","time","NA","NA"
"EST_EDT","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Daylight savings time zone during sample collection (EST/EDT)","EST_EDT","text","NA","NA"
"Notes","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Notes from sample collection in the field","Notes","text","NA","NA"
"npoc_mgL","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","mg/L","Non-Purgeable Organic Carbon concentration","npoc_mgL","numeric","Shimadzu TOC","NA"
"npoc_uM","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","umoles/L","Non-Purgeable Organic Carbon concentration","npoc_uM","numeric","Shimadzu TOC","NA"
"npoc_flag","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Non-Purgeable Organic Carbon flag (adl = above detection limit (), bdl = below detection limit ( ug/mL))","npoc_flag","text","NA","NA"
"tdn_mgL","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","mg/L","TDN concentration","tdn_mgL","numeric","Shimadzu TOC","NA"
"tdn_uM","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","umoles/L","TDN concentration","tdn_uM","numeric","Shimadzu TOC","NA"
"tdn_flag","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","TDN flag (adl = above detection limit (), bdl = below detection limit ( ug/mL))","tdn_flag","text","NA","NA"
"NOx_mgL","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","mg/L","Nitrate-N + Nitrite-N (NOx) concentration","NOx_mgL","numeric","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-160-A Rev. 0"
"NOx_uM","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","umoles/L","Nitrate-N + Nitrite-N (NOx) concentration","NOx_uM","numeric","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-160-A Rev. 0"
"NOx_flag","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Nitrate-N + Nitrite-N (NOx) concentration flag (adl = above detection limit (1 mg/L), bdl = below detection limit (0.025 mg/L))","NOx_flag","text","NA","EPA-160-A Rev. 0"
"NH3_mgL","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","mg/L","Ammonia (NH3) concentration","NH3_mgL","numeric","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-103-A Rev. 10"
"NH3_uM","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","umoles/L","Ammonia (NH3) concentration","NH3_uM","numeric","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-103-A Rev. 10"
"NH3_flag","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Ammonia (NH3) concentration flag (adl = above detection limit (2 mg/L), bdl = below detection limit (0.02 mg/L))","NH3_flag","text","NA","EPA-103-A Rev. 10"
"PO4_mgL","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","mg/L","Phosphate (PO4) concentration","PO4_mgL","numeric","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-155-D Rev. 0"
"PO4_uM","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","umoles/L","Phosphate (PO4) concentration","PO4_uM","numeric","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-155-D Rev. 0"
"PO4_flag","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Phosphate (PO4) concentration flag (adl = above detection limit (0.3 mg/L), bdl = below detection limit (0.003 mg/L))","PO4_flag","text","NA","EPA-155-D Rev. 0"
"SO4_ppm","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","ppm","Sulfate concentration","SO4_ppm","numeric","Dionex Integrion RFIC (Thermo Scientific)","NA"
"SO4_mM","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","mmol/L","Sulfate concentration","SO4_mM","numeric","Dionex Integrion RFIC (Thermo Scientific)","NA"
"SO4_flag","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Sulfate concentration flag (adl = above detection limit (20 ug/mL), bdl = below detection limit (0 ug/mL))","SO4_flag","text","NA","NA"
"Cl_ppm","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","ppm","Chloride concentration","Cl_ppm","numeric","Dionex Integrion RFIC (Thermo Scientific)","NA"
"Cl_mM","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","mmol/L","Chloride concentration","Cl_mM","numeric","Dionex Integrion RFIC (Thermo Scientific)","NA"
"Cl_flag","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Chloride concentration flag (adl = above detection limit (200 ug/mL), bdl = below detection limit (0 ug/mL))","Cl_flag","text","NA","NA"
"Salinity","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","ppt","Salinity","Salinity","numeric","Calculated with Knudsen equation (Strickland and Parsons, 1972)","Calculated with Knudsen equation (Strickland and Parsons, 1972)"
