"file_name","file_path","file_description","data_orientation","header_rows","column_or_row_name_position"
"TMP_PW_C_POOLED_15CM_20220613_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_C_POOLED_15CM_20220613_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_C_POOLED_15CM_20220613 sample","horizontal","1","1"
"TMP_PW_C_POOLED_15CM_20220615_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_C_POOLED_15CM_20220615_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_C_POOLED_15CM_20220615 sample","horizontal","1","1"
"TMP_PW_C_POOLED_15CM_20220622_T2_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_C_POOLED_15CM_20220622_T2_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_C_POOLED_15CM_20220622_T2 sample","horizontal","1","1"
"TMP_PW_C_POOLED_15CM_20220623_T3_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_C_POOLED_15CM_20220623_T3_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_C_POOLED_15CM_20220623_T3 sample","horizontal","1","1"
"TMP_PW_C_POOLED_15CM_20220624_T4_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_C_POOLED_15CM_20220624_T4_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_C_POOLED_15CM_20220624_T4 sample","horizontal","1","1"
"TMP_PW_C_POOLED_15CM_20220718_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_C_POOLED_15CM_20220718_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_C_POOLED_15CM_20220718 sample","horizontal","1","1"
"TMP_PW_C_POOLED_15CM_20220721_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_C_POOLED_15CM_20220721_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_C_POOLED_15CM_20220721 sample","horizontal","1","1"
"TMP_PW_C_POOLED_15CM_20220808_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_C_POOLED_15CM_20220808_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_C_POOLED_15CM_20220808 sample","horizontal","1","1"
"TMP_PW_C_POOLED_15CM_20220912_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_C_POOLED_15CM_20220912_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_C_POOLED_15CM_20220912 sample","horizontal","1","1"
"TMP_PW_C_POOLED_15CM_20221019-24_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_C_POOLED_15CM_20221019-24_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_C_POOLED_15CM_20221019-24 sample","horizontal","1","1"
"TMP_PW_C_POOLED_15CM_202211_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_C_POOLED_15CM_202211_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_C_POOLED_15CM_202211 sample","horizontal","1","1"
"TMP_PW_FW_H6_15CM_20220622_T2_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_FW_H6_15CM_20220622_T2_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_FW_H6_15CM_20220622_T2 sample","horizontal","1","1"
"TMP_PW_FW_POOLED_15CM_20220613_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_FW_POOLED_15CM_20220613_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_FW_POOLED_15CM_20220613 sample","horizontal","1","1"
"TMP_PW_FW_POOLED_15CM_20220615_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_FW_POOLED_15CM_20220615_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_FW_POOLED_15CM_20220615 sample","horizontal","1","1"
"TMP_PW_FW_POOLED_15CM_20220620_T0_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_FW_POOLED_15CM_20220620_T0_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_FW_POOLED_15CM_20220620_T0 sample","horizontal","1","1"
"TMP_PW_FW_POOLED_15CM_20220622_T1_ABS_DilCorr.csv","2022/COMPASS_TEMPEST_water_CDOM/Abs_2022/TMP_PW_FW_POOLED_15CM_20220622_T1_ABS_DilCorr.csv","Processed Absorbance for TMP_PW_FW_POOLED_15CM_20220622_T1 sample","horizontal","1","1"
