"Project","Region","Sample_ID","Sample_Year","Sample_Month","Sample_Day","Site","Event","Plot","Location","Depth_cm","T_num","TOD","Sample_Type","Evacuation_date_YYYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Notes","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","NOx_mgL","NOx_uM","NOx_flag","NH3_mgL","NH3_uM","NH3_flag","PO4_mgL","PO4_uM","PO4_flag","SO4_ppm","SO4_mM","SO4_flag","Cl_ppm","Cl_mM","Cl_flag","salinity","H2S_mean_uM","H2S_sd_uM","H2S_cv","H2S_flag","Analyte_Notes"
"COMPASS","CB","TMP_PW_FW_C6_15CM_T0_20240610",2024,6,10,"TMP","Monitoring","F","C6",15,"T0",NA,"PW",20240607,20240610,1434,1,"EDT",NA,8.087,673.92,"NPOC checks out of range",0.3714,26.53,"TN checks out of range",0.031675,2.261418,"Within_Range",0.035898,2.562916,"Within_Range",0.017438,0.562993,"Within_Range",0.1983,0.0062,"Within_Range",0.7064,0.0199,"Within_Range",0.0013,0,0,NA,NA,NA
"COMPASS","CB","TMP_PW_FW_I5_15CM_T0_20240610",2024,6,10,"TMP","Monitoring","F","I5",15,"T0",NA,"PW",20240607,20240610,1503,1,"EDT",NA,12.82,1068.33,"NPOC checks out of range",0.5957,42.55,"TN checks out of range",0.014872,1.061778,"bdl",0.010161,0.725439,"bdl",0.003933,0.126978,"Within_Range",0,0,"bdl",1.22,0.0344,"Within_Range",0.0022,0,0,NA,NA,NA
"COMPASS","CB","TMP_PW_SW_B4_15CM_T1_20240611",2024,6,11,"TMP","TMP-III","S","B4",15,"T1",NA,"PW",20240610,20240611,1305,1,"EDT",NA,19.21,1600.83,"NPOC checks out of range",1.46,104.29,"TN checks out of range",0.017498,1.249259,"bdl",0.626225,44.708961,"Within_Range",0.024531,0.791993,"Within_Range",234.7485,7.3222,"Within_Range",1873.5904,52.8516,"Within_Range",3.3856,0,0,NA,NA,NA
"COMPASS","CB","TMP_PW_FW_C3_15CM_T1_20240611",2024,6,11,"TMP","TMP-III","F","C3",15,"T1",NA,"PW",20240610,20240611,1409,1,"EDT",NA,5.329,444.08,"NPOC checks out of range",0.2405,17.18,"TN checks out of range",0.011523,0.822678,"bdl",0.00633,0.451927,"bdl",0.003544,0.114419,"Within_Range",5.1051,0.1592,"Within_Range",6.048,0.1706,"Within_Range",0.011,0,0,NA,NA,NA
"COMPASS","CB","TMP_PW_FW_C6_15CM_T1_20240611",2024,6,11,"TMP","TMP-III","F","C6",15,"T1",NA,"PW",20240610,20240611,1349,1,"EDT",NA,4.18,348.33,"NPOC checks out of range",0.2676,19.11,"TN checks out of range",0.02707,1.932647,"Within_Range",0.016823,1.201068,"bdl",0.012069,0.389652,"Within_Range",4.4799,0.1397,"Within_Range",3.0282,0.0854,"Within_Range",0.0055,0,0,NA,NA,NA
"COMPASS","CB","TMP_PW_FW_D5_15CM_T1_20240611",2024,6,11,"TMP","TMP-III","F","D5",15,"T1",NA,"PW",20240610,20240611,1403,1,"EDT",NA,5.84,486.67,"NPOC checks out of range",0.00678,0.48,"TN checks out of range",0.015477,1.104971,"bdl",0.009305,0.664325,"bdl",0.003454,0.111514,"Within_Range",13.5064,0.4213,"Within_Range",2.8139,0.0794,"Within_Range",0.0051,0,0,NA,NA,NA
"COMPASS","CB","TMP_PW_FW_F4_15CM_T1_20240611",2024,6,11,"TMP","TMP-III","F","F4",15,"T1",NA,"PW",20240610,20240611,1419,1,"EDT",NA,7.564,630.33,"NPOC checks out of range",0.3032,21.66,"TN checks out of range",0.017385,1.241192,"bdl",0.005598,0.399666,"bdl",0.004668,0.150708,"Within_Range",14.9095,0.465,"Within_Range",3.18,0.0897,"Within_Range",0.0058,0,0,NA,NA,NA
"COMPASS","CB","TMP_PW_FW_I5_15CM_T1_20240611",2024,6,11,"TMP","TMP-III","F","I5",15,"T1",NA,"PW",20240610,20240611,1445,1,"EDT",NA,7.35,612.5,"NPOC checks out of range",0.6129,43.78,"TN checks out of range",0.030915,2.207158,"Within_Range",0.075251,5.3725,"Within_Range",0.002484,0.080197,"bdl",4.2175,0.1316,"Within_Range",4.632,0.1307,"Within_Range",0.0084,0,0,NA,NA,NA
"COMPASS","CB","TMP_PW_SW_B4_15CM_T6_20240614",2024,6,14,"TMP","Monitoring","S","B4",15,"T6",NA,"PW",20240613,20240614,1544,1,"EDT",NA,5.398,449.83,"NPOC checks out of range",0.427,30.5,"TN checks out of range",0.001204,0.085959,"bdl",0.082775,5.909672,"Within_Range",0.002858,0.092272,"bdl",407.0631,12.6969,"Within_Range",3177.8905,89.6443,"Within_Range",5.7425,0,0,NA,NA,NA
"COMPASS","CB","TMP_PW_SW_C3_15CM_T6_20240614",2024,6,14,"TMP","Monitoring","S","C3",15,"T6",NA,"PW",20240613,20240614,1557,1,"EDT",NA,5.674,472.83,"NPOC checks out of range",0.3358,23.99,"TN checks out of range",0.004033,0.287934,"bdl",0.013939,0.995167,"bdl",0.005983,0.193163,"bdl",379.508,11.8374,"Within_Range",3066.6242,86.5056,"Within_Range",5.5414,0,0,NA,NA,NA
