"Project","Region","Sample_ID","Sample_Year","Sample_Month","Sample_Day","Site","Event","Plot","Location","Depth_cm","T_num","TOD","Sample_Type","Evacuation_date_YYYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Notes","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","NOx_mgL","NOx_uM","NOx_flag","NH3_mgL","NH3_uM","NH3_flag","PO4_mgL","PO4_uM","PO4_flag","SO4_ppm","SO4_mM","SO4_flag","Cl_ppm","Cl_mM","Cl_flag","salinity","H2S_mean_uM","H2S_sd_uM","H2S_cv","H2S_flag","Analyte_Notes"
"COMPASS","CB","TMP_PW_C_B4_15CM_20250131",2025,1,31,"TMP","Monitoring","C","B4",15,NA,NA,"PW",20250128,20250131,1236,1,"EST",NA,31.35,2612.5,NA,0.9852,70.37,"TN r2 low",0.007008,0.500332,"bdl",0.05528,3.946683,"Within_Range",0.004387,0.141636,"Within_Range",3.9657,0.1237,"Within_Range",11.1602,0.3148,"Within_Range",0.0202,0,0,0,"bdl",NA
"COMPASS","CB","TMP_PW_C_C3_15CM_20250131",2025,1,31,"TMP","Monitoring","C","C3",15,NA,NA,"PW",20250128,20250131,1225,1,"EST",NA,30.54,2545,NA,0.6599,47.14,"TN r2 low",0.013512,0.964681,"bdl",0.03024,2.158967,"Within_Range",0.013441,0.433948,"Within_Range",1.2316,0.0384,"Within_Range",11.4565,0.3232,"Within_Range",0.0207,0,0,0,"bdl",NA
"COMPASS","CB","TMP_PW_C_D5_15CM_20250131",2025,1,31,"TMP","Monitoring","C","D5",15,NA,NA,"PW",20250128,20250131,1230,1,"EST",NA,21.09,1757.5,NA,0.5605,40.04,"TN r2 low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6508,0.0203,"Within_Range",5.4581,0.154,"Within_Range",0.0099,0,0,0,"bdl",NA
"COMPASS","CB","TMP_PW_C_E3_15CM_20250131",2025,1,31,"TMP","Monitoring","C","E3",15,NA,NA,"PW",20250128,20250131,1222,1,"EST",NA,25.9,2158.33,NA,0.7722,55.16,"TN r2 low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7333,0.0229,"Within_Range",3.7182,0.1049,"Within_Range",0.0067,0,0,0,"bdl",NA
"COMPASS","CB","TMP_PW_C_H6_15CM_20250131",2025,1,31,"TMP","Monitoring","C","H6",15,NA,NA,"PW",20250128,20250131,1215,1,"EST",NA,36.77,3064.17,NA,1.233,88.07,"TN r2 low",0.015425,1.101259,"bdl",0.192046,13.71101,"Within_Range",0.002493,0.080487,"bdl",1.9586,0.0611,"Within_Range",5.5172,0.1556,"Within_Range",0.01,0,0,0,"bdl",NA
"COMPASS","CB","TMP_PW_C_I5_15CM_20250131",2025,1,31,"TMP","Monitoring","C","I5",15,NA,NA,"PW",20250128,20250131,1212,1,"EST",NA,16.82,1401.67,NA,0.5264,37.6,"TN r2 low",0.052729,3.764556,"Within_Range",0.021567,1.539763,"Within_Range",0.003135,0.101215,"Within_Range",1.2866,0.0401,"Within_Range",9.6174,0.2713,"Within_Range",0.0174,0,0,0,"bdl",NA
"COMPASS","CB","TMP_PW_FW_C3_15CM_20250131",2025,1,31,"TMP","Monitoring","F","C3",15,NA,NA,"PW",20250128,20250131,1322,1,"EST","sub-sampled in lab at 1545",23.94,1995,NA,0.8356,59.69,"TN r2 low",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3379,0.0417,"Within_Range",5.2821,0.149,"Within_Range",0.0096,0,0,0,"bdl",NA
"COMPASS","CB","TMP_PW_FW_C6_15CM_20250131",2025,1,31,"TMP","Monitoring","F","C6",15,NA,NA,"PW",20250128,20250131,1314,1,"EST","sub-sampled in lab at 1549",14.64,1220,NA,0.611,43.64,"TN r2 low",0.023478,1.676198,"bdl",0.012244,0.874153,"bdl",0.007092,0.228968,"Within_Range",1.003,0.0313,"Within_Range",2.2681,0.064,"Within_Range",0.0041,0,0,0,"bdl",NA
"COMPASS","CB","TMP_PW_FW_D5_15CM_20250131",2025,1,31,"TMP","Monitoring","F","D5",15,NA,NA,"PW",20250128,20250131,1316,1,"EST","sub-sampled in lab at 1619",21.37,1780.83,NA,0.8061,57.58,"TN r2 low",0.01637,1.168726,"bdl",0.009292,0.663397,"bdl",0.001753,0.056596,"bdl",5.0121,0.1563,"Within_Range",6.9343,0.1956,"Within_Range",0.0126,0,0,0,"bdl",NA
"COMPASS","CB","TMP_PW_FW_H3_15CM_20250131",2025,1,31,"TMP","Monitoring","F","H3",15,NA,NA,"PW",20250128,20250131,1426,1,"EST","sub-sampled in lab at 1611",15.27,1272.5,NA,0.5781,41.29,"TN r2 low",0.015287,1.091406,"bdl",0.009484,0.677105,"bdl",0.000707,0.022826,"bdl",2.2622,0.0706,"Within_Range",2.8887,0.0815,"Within_Range",0.0052,0,0,0,"bdl",NA
