"Project","Region","Sample_ID","Sample_Year","Sample_Month","Sample_Day","Site","Event","Plot","Location","Depth_cm","Timepoint","Sample_Type","Evacuation_date_YYYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Notes","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","NOx_mgL","NOx_uM","NOx_flag","NH3_mgL","NH3_uM","NH3_flag","PO4_mgL","PO4_uM","PO4_flag","SO4_ppm","SO4_mM","SO4_flag","Cl_ppm","Cl_mM","Cl_flag","Salinity","H2S_mean_uM","H2S_sd_uM","H2S_flag","pH","pH_flag","Cond","Cond_units","Collection_temp_C","Temperature_flag","Analyte_Notes"
"COMPASS","CB","TMP_SOURCE_ESTUARY_20230606_T1",2023,6,6,"TMP","TMP-II","ESTUARY",NA,NA,"T1","SOURCE",NA,20230606,632,NA,"EDT",NA,4.57,380.83,NA,0.37,26.43,NA,0.01282,0.915276,"bdl",0.025493,1.820058,"Within_Range",0.020181,1.44081,"Within_Range",557.6408,17.3937,NA,4194.5484,118.3229,NA,7.5796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_ESTUARY_20230606_T2",2023,6,6,"TMP","TMP-II","ESTUARY",NA,NA,"T2","SOURCE",NA,20230606,1236,NA,"EDT",NA,5.06,421.67,NA,0.44,31.43,NA,0.069032,4.928499,"Within_Range",0.006422,0.458495,"bdl",0.033718,2.407277,"Within_Range",480.7045,14.9939,NA,3636.5862,102.5835,NA,6.5713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_ESTUARY_20230606_T3",2023,6,6,"TMP","TMP-II","ESTUARY",NA,NA,"T3","SOURCE",NA,20230606,1524,NA,"EDT",NA,5.07,422.5,NA,0.37,26.43,NA,0.032723,2.336239,"Within_Range",0.02035,1.452876,"Within_Range",0.028907,2.063798,"Within_Range",519.0515,16.19,NA,3928.058,110.8056,NA,7.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_ESTUARY_20230607_T1",2023,6,7,"TMP","TMP-II","ESTUARY",NA,NA,"T1","SOURCE",NA,20230607,710,NA,"EDT",NA,4.18,348.33,NA,0.31,22.14,NA,-0.001943,0,"bdl",0.041317,2.949803,"Within_Range",0.016164,1.154019,"Within_Range",581.2849,18.1312,NA,4335.7195,122.3052,NA,7.8347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_ESTUARY_20230607_T2",2023,6,7,"TMP","TMP-II","ESTUARY",NA,NA,"T2","SOURCE",NA,20230607,1346,NA,"EDT",NA,4.73,394.17,NA,0.35,25,NA,-0.003387,0,"bdl",0.018535,1.323295,"bdl",0.027134,1.937216,"Within_Range",547.2306,17.069,NA,4145.0144,116.9257,NA,7.4901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_ESTUARY_20230607_T3",2023,6,7,"TMP","TMP-II","ESTUARY",NA,NA,"T3","SOURCE",NA,20230607,1500,NA,"EDT",NA,4.48,373.33,NA,0.36,25.71,NA,-0.007701,0,"bdl",0.023443,1.673699,"Within_Range",0.022176,1.583242,"Within_Range",553.9434,17.2783,NA,4153.6146,117.1683,NA,7.5056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_FW_20230606_T1",2023,6,6,"TMP","TMP-II","F",NA,NA,"T1","SOURCE",NA,20230606,718,NA,"EDT",NA,0.48,40,"blank is greater than or equal to 25% of sample value",0.15,10.71,"blank is greater than or equal to 25% of sample value",0.045817,3.271077,"Within_Range",0.001556,0.11109,"bdl",0.007107,0.5074,"Within_Range",13.4461,0.4194,NA,25.8769,0.73,NA,0.0468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_FW_20230606_T2",2023,6,6,"TMP","TMP-II","F",NA,NA,"T2","SOURCE",NA,20230606,1326,NA,"EDT",NA,0.35,29.17,"blank is greater than or equal to 25% of sample value",0.09,6.43,"blank is greater than or equal to 25% of sample value",0.03656,2.610179,"Within_Range",0.000768,0.054831,"bdl",0.009054,0.646405,"Within_Range",17.3696,0.5418,NA,23.3014,0.6573,NA,0.0421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_FW_20230606_T3",2023,6,6,"TMP","TMP-II","F",NA,NA,"T3","SOURCE",NA,20230606,1511,NA,"EDT",NA,0.35,29.17,"blank is greater than or equal to 25% of sample value",0.1,7.14,"blank is greater than or equal to 25% of sample value",0.065537,4.678975,"Within_Range",-0.001182,-0.084388,"bdl",0.009209,0.657471,"Within_Range",13.9474,0.435,NA,24.5413,0.6923,NA,0.0444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_FW_20230607_T1",2023,6,7,"TMP","TMP-II","F",NA,NA,"T1","SOURCE",NA,20230607,611,NA,"EDT",NA,0.41,34.17,"blank is greater than or equal to 25% of sample value",0.09,6.43,"blank is greater than or equal to 25% of sample value",0.040358,2.881335,"Within_Range",-0.000897,-0.064041,"bdl",0.008642,0.61699,"Within_Range",12.776,0.3985,NA,22.8178,0.6437,NA,0.0413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_FW_20230607_T2",2023,6,7,"TMP","TMP-II","F",NA,NA,"T2","SOURCE",NA,20230607,1246,NA,"EDT",NA,0.36,30,"blank is greater than or equal to 25% of sample value",0.09,6.43,"blank is greater than or equal to 25% of sample value",0.034169,2.439475,"Within_Range",-0.001459,-0.104164,"bdl",0.009239,0.659613,"Within_Range",13.3147,0.4153,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_FW_20230607_T3",2023,6,7,"TMP","TMP-II","F",NA,NA,"T3","SOURCE",NA,20230607,1519,NA,"EDT","water in flow thru has one large bubble",0.29,24.17,"blank is greater than or equal to 25% of sample value",0.06,4.29,"blank is greater than or equal to 25% of sample value",0.015843,1.131102,"bdl",0.002338,0.16692,"bdl",0.009248,0.660255,"Within_Range",12.7863,0.3988,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_SW_20230606_T1",2023,6,6,"TMP","TMP-II","S",NA,NA,"T1","SOURCE",NA,20230606,709,NA,"EDT",NA,2.37,197.5,NA,0.26,18.57,"blank is greater than or equal to 25% of sample value",0.072921,5.206151,"Within_Range",0.015608,1.114324,"bdl",0.024306,1.735312,"Within_Range",181.224,5.6527,NA,1507.7995,42.5331,NA,2.7246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_SW_20230606_T2",2023,6,6,"TMP","TMP-II","S",NA,NA,"T2","SOURCE",NA,20230606,1301,NA,"EDT",NA,4.84,403.33,NA,0.36,25.71,NA,0.023829,1.701257,"bdl",0.029431,2.101209,"Within_Range",0.02708,1.93336,"Within_Range",556.0527,17.3441,NA,4182.4438,117.9815,NA,7.5577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_SW_20230606_T3",2023,6,6,"TMP","TMP-II","S",NA,NA,"T3","SOURCE",NA,20230606,1502,NA,"EDT",NA,5.03,419.17,NA,0.37,26.43,NA,0.027265,1.946568,"Within_Range",0.026396,1.884527,"Within_Range",0.030739,2.194593,"Within_Range",537.7491,16.7732,NA,4075.8849,114.9756,NA,7.3652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_SW_20230607_T1",2023,6,7,"TMP","TMP-II","S",NA,NA,"T1","SOURCE",NA,20230607,621,NA,"EDT",NA,5.2,433.33,NA,0.44,31.43,NA,0.001515,0.108163,"bdl",0.023756,1.696045,"Within_Range",0.021962,1.567964,"Within_Range",571.0464,17.8118,NA,4300.3781,121.3083,NA,7.7708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_SW_20230607_T2",2023,6,7,"TMP","TMP-II","S",NA,NA,"T2","SOURCE",NA,20230607,1255,NA,"EDT","When SW pump cycled, the lines came out brown. Ran it until it came clear again to sample.",6.03,502.5,NA,0.37,26.43,NA,-0.00559,0,"bdl",0.021023,1.500925,"Within_Range",0.024315,1.735955,"Within_Range",514.2798,16.0412,NA,3838.6255,108.2828,NA,6.9364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_SOURCE_SW_20230607_T3",2023,6,7,"TMP","TMP-II","S",NA,NA,"T3","SOURCE",NA,20230607,1515,NA,"EDT",NA,4.85,404.17,NA,0.41,29.29,NA,-0.007169,0,"bdl",0.029058,2.074579,"Within_Range",0.021818,1.557683,"Within_Range",553.2006,17.2552,NA,4150.0979,117.0691,NA,7.4993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_PW_C_C6_15CM_20230202",2023,2,2,"TMP","Monitoring","C","C6",15,NA,"PW",20230130,20230202,1000,1,"EST",NA,8.27,689.17,NA,0.27,19.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS","CB","TMP_PW_C_H6_15CM_20230202",2023,2,2,"TMP","Monitoring","C","H6",15,NA,"PW",20230130,20230202,1000,1,"EST",NA,11.4,950,NA,0.39,27.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
