"","plot_1","min_npoc_mgL","max_npoc_mgL","mean_npoc_mgL","sd_npoc_mgL","min_tdn_mgL","max_tdn_mgL","mean_tdn_mgL","sd_tdn_mgL"
"1","Control",6.9,68.83,17.6982,8.1429,0.23,3.27,0.6417,0.4046
"2","Freshwater",1.27,38.88,11.5674,5.9908,0.0068,16.18,0.5647,1.0437
"3","Saltwater",2.78,109.2,24.9321,22.5822,0.06,6.704,1.0345,0.8244
