"","Year","plot_1","min_npoc_mgL","max_npoc_mgL","mean_npoc_mgL","sd_npoc_mgL","min_tdn_mgL","max_tdn_mgL","mean_tdn_mgL","sd_tdn_mgL"
"1","2022","Freshwater",0.59,9.12,3.6633,4.1063,0.06,0.25,0.1233,0.0703
"2","2022","Saltwater",4.765,20.55,11.7229,8.0453,0.34,0.5,0.4057,0.0517
"3","2022","Estuary",5.23,27.27,16.25,15.5846,0.43,0.88,0.655,0.3182
"4","2023","Freshwater",0.29,0.48,0.3733,0.0647,0.06,0.15,0.0967,0.0294
"5","2023","Saltwater",2.37,6.03,4.72,1.2326,0.26,0.44,0.3683,0.0611
"6","2023","Estuary",4.18,5.07,4.6817,0.3467,0.31,0.44,0.3667,0.0423
"7","2024","Freshwater",0.5653,0.8965,0.7471,0.0927,-0.0256,0.1068,0.006,0.0391
"8","2024","Saltwater",4.668,5.745,5.0599,0.2825,0.3225,0.4316,0.3659,0.0326
"9","2024","Estuary",4.621,5.53,4.9855,0.3645,0.294,0.3982,0.3444,0.0354
