"","Year","plot_1","min_npoc_mgL","max_npoc_mgL","mean_npoc_mgL","sd_npoc_mgL","min_tdn_mgL","max_tdn_mgL","mean_tdn_mgL","sd_tdn_mgL"
"1","2022","Control",6.9,26.29,14.7223,5.1555,0.23,3.27,0.6245,0.4285
"2","2022","Freshwater",1.27,26.89,12.0619,4.9225,0.05,2.87,0.5343,0.3903
"3","2022","Saltwater",2.78,109.2,24.2243,23.0086,0.06,5.07,1.1134,0.8997
"4","2023","Control",7.77,24.67,15.5587,4.4402,0.27,2.1,0.5667,0.2991
"5","2023","Freshwater",4.035,25.54,9.9602,3.8054,0.18,2.69,0.4963,0.4125
"6","2023","Saltwater",3.52,86.41,22.4443,20.4813,0.25,3.13,0.8648,0.6039
"7","2024","Control",16.43,68.83,27.6988,17.1625,0.366,1.475,0.6847,0.3694
"8","2024","Freshwater",3.634,38.88,9.6546,8.3249,0.0068,16.18,0.6863,2.205
"9","2024","Saltwater",3.641,70.1,11.1744,10.9059,0.121,6.704,0.6677,0.9433
"10","2025","Control",12.05,61.09,24.1714,8.6955,0.3898,3.034,0.7605,0.464
"11","2025","Freshwater",9.244,32.94,16.6044,5.2,0.2566,1.094,0.6025,0.2204
"12","2025","Saltwater",11.99,96.36,49.0139,18.5816,0.6051,2.976,1.6333,0.5622
