"Project","Sample_ID","Zone","Grid","Depth_cm","Source","Volume_mL","Collection_Date","Evacuation_date_YYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","H2S_mean","H2S_sd","H2S_cv","H2S_Conc_flag","H2S_cv_flag","H2S_QAQC_flag","Dilution","Analysis_rundate","Field_notes","Run_notes"
"TMP","TMP_C_PW_I5_20251101_15CM","C","I5","15cm","PW",5,20251101,20251029,1305,1052,"EDT",0,0,0,"bdl","Within Range","MC 10 out of range; MC 20 out of range",1,"20251110",NA,"Some sample IDs are missing from metadata: TMP_SW_PW_H6_20250926_15CM
Removed std 5 because it was low and none of the sample absorbances are above Std 3. 
Matrix checks were high, probably because std 5 was low. 
Dup and spk were good.
50 uL spike used"
"TMP","TMP_FW_PW_I5_20251101_15CM","FW","I5","15cm","PW",5,20251101,20251029,1406,1237,"EDT",0,0,0,"bdl","Within Range","MC 10 out of range; MC 20 out of range",1,"20251110",NA,"Some sample IDs are missing from metadata: TMP_SW_PW_H6_20250926_15CM
Removed std 5 because it was low and none of the sample absorbances are above Std 3. 
Matrix checks were high, probably because std 5 was low. 
Dup and spk were good.
50 uL spike used"
"TMP","TMP_SW_PW_B4_20250929_15CM","SW","B4","15cm","PW",5,20250929,20250926,1150,929,"EDT",0.34642729829287,0.0670080791376725,19.3426093924688,"Within Range","High CV","MC 10 out of range; MC 20 out of range",1,"20251110",NA,"Some sample IDs are missing from metadata: TMP_SW_PW_H6_20250926_15CM
Removed std 5 because it was low and none of the sample absorbances are above Std 3. 
Matrix checks were high, probably because std 5 was low. 
Dup and spk were good.
50 uL spike used"
"TMP","TMP_SW_PW_B4_20251101_15CM","SW","B4","15cm","PW",5,20251101,20251029,1330,1127,"EDT",0,0,0,"bdl","Within Range","MC 10 out of range; MC 20 out of range",1,"20251110",NA,"Some sample IDs are missing from metadata: TMP_SW_PW_H6_20250926_15CM
Removed std 5 because it was low and none of the sample absorbances are above Std 3. 
Matrix checks were high, probably because std 5 was low. 
Dup and spk were good.
50 uL spike used"
"TMP","TMP_SW_PW_C3_20251101_15CM","SW","C3","15cm","PW",5,20251101,20251029,1327,1120,"EDT",0,0,0,"bdl","Within Range","MC 10 out of range; MC 20 out of range",1,"20251110",NA,"Some sample IDs are missing from metadata: TMP_SW_PW_H6_20250926_15CM
Removed std 5 because it was low and none of the sample absorbances are above Std 3. 
Matrix checks were high, probably because std 5 was low. 
Dup and spk were good.
50 uL spike used"
"TMP","TMP_SW_PW_D5_20250926_15CM","SW","D5","15cm","PW",5,20250926,20250923,1107,1202,"EDT",0,0,0,"bdl","Within Range","MC 10 out of range; MC 20 out of range",1,"20251110",NA,"Some sample IDs are missing from metadata: TMP_SW_PW_H6_20250926_15CM
Removed std 5 because it was low and none of the sample absorbances are above Std 3. 
Matrix checks were high, probably because std 5 was low. 
Dup and spk were good.
50 uL spike used"
"TMP","TMP_SW_PW_D5_20251101_15CM","SW","D5","15cm","PW",5,20251101,20251029,1334,1135,"EDT",0,0,0,"bdl","Within Range","MC 10 out of range; MC 20 out of range",1,"20251110",NA,"Some sample IDs are missing from metadata: TMP_SW_PW_H6_20250926_15CM
Removed std 5 because it was low and none of the sample absorbances are above Std 3. 
Matrix checks were high, probably because std 5 was low. 
Dup and spk were good.
50 uL spike used"
"TMP","TMP_SW_PW_F6_20250929_15CM","SW","F6","15cm","PW",5,20250929,20250926,1211,947,"EDT",0.00737711411257003,0.0104328148291705,141.421356237309,"Within Range","High CV","MC 10 out of range; MC 20 out of range",1,"20251110",NA,"Some sample IDs are missing from metadata: TMP_SW_PW_H6_20250926_15CM
Removed std 5 because it was low and none of the sample absorbances are above Std 3. 
Matrix checks were high, probably because std 5 was low. 
Dup and spk were good.
50 uL spike used"
"TMP","TMP_SW_PW_F6_20251101_15CM","SW","F6","15cm","PW",5,20251101,20251029,1337,1143,"EDT",0,0,0,"bdl","Within Range","MC 10 out of range; MC 20 out of range",1,"20251110",NA,"Some sample IDs are missing from metadata: TMP_SW_PW_H6_20250926_15CM
Removed std 5 because it was low and none of the sample absorbances are above Std 3. 
Matrix checks were high, probably because std 5 was low. 
Dup and spk were good.
50 uL spike used"
"TMP","TMP_SW_PW_H3_20250926_15CM","SW","H3","15cm","PW",5,20250926,20250923,1116,1229,"EDT",0,0,0,"bdl","Within Range","MC 10 out of range; MC 20 out of range",1,"20251110",NA,"Some sample IDs are missing from metadata: TMP_SW_PW_H6_20250926_15CM
Removed std 5 because it was low and none of the sample absorbances are above Std 3. 
Matrix checks were high, probably because std 5 was low. 
Dup and spk were good.
50 uL spike used"
"TMP","TMP_SW_PW_H6_20250926_15CM","SW","H6","15cm","PW",5,20250926,20250923,1119,1215,"EDT",0,0,0,"bdl","Within Range","MC 10 out of range; MC 20 out of range",1,"20251110",NA,"Some sample IDs are missing from metadata: TMP_SW_PW_H6_20250926_15CM
Removed std 5 because it was low and none of the sample absorbances are above Std 3. 
Matrix checks were high, probably because std 5 was low. 
Dup and spk were good.
50 uL spike used"
"TMP","TMP_SW_PW_H6_20251101_15CM","SW","H6","15cm","PW",5,20251101,20251029,1345,1202,"EDT",0,0,0,"bdl","Within Range","MC 10 out of range; MC 20 out of range",1,"20251110",NA,"Some sample IDs are missing from metadata: TMP_SW_PW_H6_20250926_15CM
Removed std 5 because it was low and none of the sample absorbances are above Std 3. 
Matrix checks were high, probably because std 5 was low. 
Dup and spk were good.
50 uL spike used"
