Site,plot,grid,pH,collection_temp_C,datetime,tz,evacuation_date,flag
TEMPEST,Control,H6,6.16,23.3,2023-06-03T18:15:00Z,EDT,2023-05-31,NA
TEMPEST,Freshwater,D5,7.4,24.7,2023-06-03T19:52:00Z,EDT,2023-05-31,NA
TEMPEST,Freshwater,I5,6.96,22.4,2023-06-03T20:09:00Z,EDT,2023-05-31,NA
TEMPEST,Saltwater,C6,7.82,25.5,2023-06-03T19:14:00Z,EDT,2023-05-31,NA
TEMPEST,Control,C6,7.91,20.7,2023-06-05T14:48:00Z,EDT,2023-06-03,NA
TEMPEST,Control,H6,7.59,22,2023-06-05T20:00:00Z,EDT,2023-06-03,NA
TEMPEST,Control,I5,6.91,23.1,2023-06-05T20:29:00Z,EDT,2023-06-03,NA
TEMPEST,Freshwater,D5,5.36,NA,2023-06-05T19:21:00Z,EDT,2023-06-03,temperature not recorded
TEMPEST,Control,C6,5.82,24.4,2023-06-06T20:27:00Z,EDT,2023-06-05,NA
TEMPEST,Control,I5,5.39,24.4,2023-06-06T20:13:00Z,EDT,2023-06-05,NA
TEMPEST,Freshwater,F4,5.32,22.4,2023-06-06T21:16:00Z,EDT,2023-06-05,NA
TEMPEST,Freshwater,H3,5.45,23.2,2023-06-06T22:00:00Z,EDT,2023-06-05,NA
TEMPEST,Freshwater,D5,5.03,22.4,2023-06-06T20:50:00Z,EDT,2023-06-05,NA
TEMPEST,Freshwater,I5,6.05,22.9,2023-06-06T21:45:00Z,EDT,2023-06-05,NA
TEMPEST,Saltwater,C3,4.28,24.8,2023-06-06T20:19:00Z,EDT,2023-06-05,NA
TEMPEST,Saltwater,D5,4.77,23,2023-06-06T21:48:00Z,EDT,2023-06-05,NA
TEMPEST,Saltwater,I5,5.01,23.7,2023-06-06T21:22:00Z,EDT,2023-06-05,NA
TEMPEST,Freshwater,C3,5.97,18.6,2023-06-07T13:02:00Z,EDT,2023-06-07,NA
TEMPEST,Freshwater,C3,5.97,18.6,2023-06-07T13:02:00Z,EDT,2023-06-06,NA
TEMPEST,Freshwater,F4,5.55,18.6,2023-06-07T12:40:00Z,EDT,2023-06-07,NA
TEMPEST,Freshwater,F4,5.55,18.6,2023-06-07T12:40:00Z,EDT,2023-06-06,NA
TEMPEST,Freshwater,H3,5.49,18.9,2023-06-07T12:27:00Z,EDT,2023-06-07,NA
TEMPEST,Freshwater,H3,5.49,18.9,2023-06-07T12:27:00Z,EDT,2023-06-06,NA
TEMPEST,Freshwater,H6,5.91,18.6,2023-06-07T12:15:00Z,EDT,2023-06-07,NA
TEMPEST,Freshwater,H6,5.91,18.6,2023-06-07T12:15:00Z,EDT,2023-06-06,NA
TEMPEST,Freshwater,D5,5.52,19.1,2023-06-07T13:21:00Z,EDT,2023-06-07,NA
TEMPEST,Freshwater,D5,5.52,19.1,2023-06-07T13:21:00Z,EDT,2023-06-06,NA
TEMPEST,Freshwater,I5,6.01,17.8,2023-06-07T12:01:00Z,EDT,2023-06-07,NA
TEMPEST,Freshwater,I5,6.01,17.8,2023-06-07T12:01:00Z,EDT,2023-06-06,NA
TEMPEST,Saltwater,C3,4.33,19,2023-06-07T12:51:00Z,EDT,2023-06-07,NA
TEMPEST,Saltwater,C3,4.33,19,2023-06-07T12:51:00Z,EDT,2023-06-06,NA
TEMPEST,Saltwater,B4,4.81,18.8,2023-06-07T13:02:00Z,EDT,2023-06-07,NA
TEMPEST,Saltwater,B4,4.81,18.8,2023-06-07T13:02:00Z,EDT,2023-06-06,NA
TEMPEST,Saltwater,D5,4.54,18.8,2023-06-07T13:25:00Z,EDT,2023-06-07,NA
TEMPEST,Saltwater,D5,4.54,18.8,2023-06-07T13:25:00Z,EDT,2023-06-06,NA
TEMPEST,Saltwater,E3,4.74,18.5,2023-06-07T12:32:00Z,EDT,2023-06-07,NA
TEMPEST,Saltwater,E3,4.74,18.5,2023-06-07T12:32:00Z,EDT,2023-06-06,NA
TEMPEST,Saltwater,I5,3.94,18.5,2023-06-07T11:58:00Z,EDT,2023-06-07,NA
TEMPEST,Saltwater,I5,3.94,18.5,2023-06-07T11:58:00Z,EDT,2023-06-06,NA
TEMPEST,Freshwater,C3,6.03,20.7,2023-06-07T21:34:00Z,EDT,2023-06-07,NA
TEMPEST,Freshwater,C3,6.03,20.7,2023-06-07T21:34:00Z,EDT,2023-06-06,NA
TEMPEST,Freshwater,F4,5.83,20.8,2023-06-07T21:54:00Z,EDT,2023-06-07,NA
TEMPEST,Freshwater,F4,5.83,20.8,2023-06-07T21:54:00Z,EDT,2023-06-06,NA
TEMPEST,Freshwater,H3,5.66,22.4,2023-06-07T20:54:00Z,EDT,2023-06-07,NA
TEMPEST,Freshwater,H3,5.66,22.4,2023-06-07T20:54:00Z,EDT,2023-06-06,NA
TEMPEST,Freshwater,H6,6.3,22.5,2023-06-07T20:43:00Z,EDT,2023-06-07,NA
TEMPEST,Freshwater,H6,6.3,22.5,2023-06-07T20:43:00Z,EDT,2023-06-06,NA
TEMPEST,Freshwater,D5,5.56,20.3,2023-06-07T22:05:00Z,EDT,2023-06-07,NA
TEMPEST,Freshwater,D5,5.56,20.3,2023-06-07T22:05:00Z,EDT,2023-06-06,NA
TEMPEST,Freshwater,I5,6.25,21.4,2023-06-07T21:04:00Z,EDT,2023-06-07,NA
