Site,plot,grid,pH,Cond,Cond_units,collection_temp_C,Instrument,datetime,Date_YYYYMMDD,Time_24hr,tz,flag
TEMPEST,Freshwater,SOURCE,9.05,124.8,uS/cm,21.7,Oakton,2024-06-13T12:53:00Z,20240613,853,EDT,NA
TEMPEST,Saltwater,SOURCE,7.46,11.23,mS/cm,22.5,Oakton,2024-06-13T12:38:00Z,20240613,838,EDT,NA
TEMPEST,Estuary,SOURCE,7.94,10.45,mS/cm,29.1,Oakton,2024-06-13T20:57:00Z,20240613,1657,EDT,NA
TEMPEST,Freshwater,SOURCE,8.71,121,uS/cm,24.3,Oakton,2024-06-13T20:15:00Z,20240613,1615,EDT,NA
TEMPEST,Saltwater,SOURCE,7.44,11.35,mS/cm,27.3,Oakton,2024-06-13T19:48:00Z,20240613,1548,EDT,NA
TEMPEST,Freshwater,SOURCE,8.7,128.3,uS/cm,24.7,Oakton,2024-06-13T16:57:00Z,20240613,1257,EDT,NA
TEMPEST,Saltwater,SOURCE,7.33,10.56,mS/cm,26.5,Oakton,2024-06-13T16:28:00Z,20240613,1228,EDT,NA
TEMPEST,Estuary,SOURCE,7.42,18.89,mS/cm,27.5,Oakton,2024-06-13T14:33:00Z,20240613,1033,EDT,NA
TEMPEST,Freshwater,SOURCE,8.92,130.2,uS/cm,20.2,Oakton,2024-06-12T13:00:00Z,20240612,900,EDT,NA
TEMPEST,Saltwater,SOURCE,7.52,9.2,mS/cm,20.4,Oakton,2024-06-12T12:45:00Z,20240612,845,EDT,NA
TEMPEST,Estuary,SOURCE,7.97,10.27,mS/cm,27.9,Oakton,2024-06-12T21:04:00Z,20240612,1704,EDT,NA
TEMPEST,Freshwater,SOURCE,9,124.6,uS/cm,23,Oakton,2024-06-12T19:54:00Z,20240612,1554,EDT,NA
TEMPEST,Saltwater,SOURCE,7.52,10.84,mS/cm,25.1,Oakton,2024-06-12T19:35:00Z,20240612,1535,EDT,NA
TEMPEST,Freshwater,SOURCE,8.99,122.9,uS/cm,22.6,Oakton,2024-06-12T16:55:00Z,20240612,1255,EDT,NA
TEMPEST,Saltwater,SOURCE,7.43,10.81,mS/cm,23.7,Oakton,2024-06-12T16:30:00Z,20240612,1230,EDT,NA
TEMPEST,Estuary,SOURCE,7.77,12.06,mS/cm,24.1,Oakton,2024-06-12T14:08:00Z,20240612,1008,EDT,NA
TEMPEST,Estuary,SOURCE,7.47,11.11,mS/cm,23.6,Oakton,2024-06-11T13:40:00Z,20240611,940,EDT,NA
TEMPEST,Saltwater,SOURCE,7.53,9.49,mS/cm,21.3,Oakton,2024-06-11T12:47:00Z,20240611,847,EDT,NA
TEMPEST,Freshwater,SOURCE,8.73,155.2,uS/cm,20.8,Oakton,2024-06-11T12:34:00Z,20240611,834,EDT,NA
TEMPEST,Estuary,SOURCE,7.95,11.82,mS/cm,27.1,Oakton,2024-06-11T20:30:00Z,20240611,1630,EDT,NA
TEMPEST,Saltwater,SOURCE,7.71,11.7,mS/cm,25,Oakton,2024-06-11T19:50:00Z,20240611,1550,EDT,NA
TEMPEST,Freshwater,SOURCE,8.96,145.8,uS/cm,22.4,Oakton,2024-06-11T05:55:00Z,20240611,155,EDT,NA
TEMPEST,Saltwater,SOURCE,7.42,11.13,mS/cm,23.1,Oakton,2024-06-11T16:47:00Z,20240611,1247,EDT,NA
TEMPEST,Freshwater,SOURCE,8.83,136.5,uS/cm,21.4,Oakton,2024-06-11T16:32:00Z,20240611,1232,EDT,NA
