Site,plot,grid,pH,Cond,Cond_units,collection_temp_C,Instrument,datetime,Date_YYYYMMDD,Time_24hr,tz,evacuation_date,flag
TEMPEST,Control,I5,5.76,44.6,uS/cm,6.2,Oakton,2024-12-13T20:15:00Z,20241213,1515,EST,2024-12-10,NA
TEMPEST,Control,F6,6.29,34.8,uS/cm,5.7,Oakton,2024-12-13T20:02:00Z,20241213,1502,EST,2024-12-10,NA
TEMPEST,Control,E3,6.21,45.9,uS/cm,5.7,Oakton,2024-12-13T19:50:00Z,20241213,1450,EST,2024-12-10,NA
TEMPEST,Control,D5,6.14,28.3,uS/cm,5.6,Oakton,2024-12-13T19:30:00Z,20241213,1430,EST,2024-12-10,NA
TEMPEST,Control,C6,6.79,70.6,uS/cm,5.7,Oakton,2024-12-13T19:12:00Z,20241213,1412,EST,2024-12-10,NA
TEMPEST,Saltwater,B4,5.71,2.68,mS/cm,5.8,Oakton,2024-12-13T18:57:00Z,20241213,1357,EST,2024-12-10,NA
TEMPEST,Saltwater,C3,4.99,2.9,mS/cm,5.8,Oakton,2024-12-13T18:46:00Z,20241213,1346,EST,2024-12-10,NA
TEMPEST,Saltwater,E3,5.42,1284,uS/cm,5.3,Oakton,2024-12-13T18:42:00Z,20241213,1342,EST,2024-12-10,NA
TEMPEST,Saltwater,H3,6.25,1778,uS/cm,5.7,Oakton,2024-12-13T18:29:00Z,20241213,1329,EST,2024-12-10,NA
TEMPEST,Saltwater,I5,4.65,4,mS/cm,5.6,Oakton,2024-12-13T18:18:00Z,20241213,1318,EST,2024-12-10,NA
TEMPEST,Saltwater,H6,6.42,439,uS/cm,6.1,Oakton,2024-12-13T18:06:00Z,20241213,1306,EST,2024-12-10,NA
TEMPEST,Saltwater,F6,6.23,2.56,mS/cm,5.9,Oakton,2024-12-13T17:54:00Z,20241213,1254,EST,2024-12-10,NA
TEMPEST,Saltwater,D5,5.68,1045,uS/cm,6.5,Oakton,2024-12-13T17:36:00Z,20241213,1236,EST,2024-12-10,NA
TEMPEST,Freshwater,C6,6.2,44.4,uS/cm,6.4,Oakton,2024-12-13T17:18:00Z,20241213,1218,EST,2024-12-10,NA
TEMPEST,Freshwater,D5,6.31,63.8,uS/cm,6.2,Oakton,2024-12-13T17:05:00Z,20241213,1205,EST,2024-12-10,NA
TEMPEST,Freshwater,B4,6.78,63.3,uS/cm,6.4,Oakton,2024-12-13T16:58:00Z,20241213,1158,EST,2024-12-10,NA
TEMPEST,Freshwater,C3,6.84,56.6,uS/cm,6.1,Oakton,2024-12-13T16:46:00Z,20241213,1146,EST,2024-12-10,NA
TEMPEST,Freshwater,F4,6.39,44.9,uS/cm,6.2,Oakton,2024-12-13T16:20:00Z,20241213,1120,EST,2024-12-10,NA
TEMPEST,Freshwater,H6,7.14,46.6,uS/cm,6.6,Oakton,2024-12-13T15:54:00Z,20241213,1054,EST,2024-12-10,NA
TEMPEST,Freshwater,I5,7.19,83.2,uS/cm,6,Oakton,2024-12-13T15:36:00Z,20241213,1036,EST,2024-12-10,NA
TEMPEST,Saltwater,B4,5.6,6.98,mS/cm,21,Oakton,2024-10-07T15:17:00Z,20241007,1117,EDT,2024-10-03,NA
TEMPEST,Control,E3,6.37,45.4,uS/cm,22.2,Oakton,2024-10-03T19:03:00Z,20241003,1503,EDT,2024-09-30,NA
TEMPEST,Control,H6,6.3,52.6,uS/cm,22.1,Oakton,2024-10-03T18:47:00Z,20241003,1447,EDT,2024-09-30,NA
TEMPEST,Control,F6,5.79,77.3,uS/cm,21.8,Oakton,2024-10-03T18:41:00Z,20241003,1441,EDT,2024-09-30,NA
TEMPEST,Control,C6,6.83,97.7,uS/cm,21.5,Oakton,2024-10-03T18:24:00Z,20241003,1424,EDT,2024-09-30,NA
TEMPEST,Saltwater,C3,4.75,5.39,mS/cm,20.9,Oakton,2024-10-03T18:02:00Z,20241003,1402,EDT,2024-09-30,NA
TEMPEST,Saltwater,E3,5.11,3.26,mS/cm,21.1,Oakton,2024-10-03T17:55:00Z,20241003,1355,EDT,2024-09-30,NA
TEMPEST,Saltwater,F4,6.02,3.73,mS/cm,21.9,Oakton,2024-10-03T17:47:00Z,20241003,1347,EDT,2024-09-30,NA
TEMPEST,Saltwater,H3,5.77,2.84,mS/cm,20.8,Oakton,2024-10-03T17:36:00Z,20241003,1336,EDT,2024-09-30,NA
TEMPEST,Saltwater,H6,6.03,1376,uS/cm,20.9,Oakton,2024-10-03T17:04:00Z,20241003,1304,EDT,2024-09-30,NA
TEMPEST,Saltwater,F6,5.29,4.66,mS/cm,20.6,Oakton,2024-10-03T16:55:00Z,20241003,1255,EDT,2024-09-30,NA
TEMPEST,Saltwater,D5,5.33,3.19,mS/cm,21.4,Oakton,2024-10-03T16:40:00Z,20241003,1240,EDT,2024-09-30,NA
TEMPEST,Saltwater,C6,6.5,3.21,mS/cm,22.1,Oakton,2024-10-03T16:33:00Z,20241003,1233,EDT,2024-09-30,NA
TEMPEST,Freshwater,D5,6.31,39.3,uS/cm,22.2,Oakton,2024-10-03T16:25:00Z,20241003,1225,EDT,NA,NA
TEMPEST,Freshwater,F6,7.2,64.2,uS/cm,22.1,Oakton,2024-10-03T15:50:00Z,20241003,1150,EDT,NA,NA
TEMPEST,Freshwater,I5,7.55,134.7,uS/cm,22.8,Oakton,2024-10-03T15:43:00Z,20241003,1143,EDT,NA,NA
TEMPEST,Saltwater,F6,5.32,3.38,mS/cm,20.7,Oakton,2024-09-06T15:51:00Z,20240906,1151,EDT,2024-09-03,NA
TEMPEST,Saltwater,D5,5.15,2.49,mS/cm,21.7,Oakton,2024-09-06T15:40:00Z,20240906,1140,EDT,2024-09-03,NA
TEMPEST,Saltwater,F4,5.87,1623,uS/cm,22.1,Oakton,2024-09-06T15:31:00Z,20240906,1131,EDT,2024-09-03,NA
TEMPEST,Saltwater,C3,4.67,5.4,mS/cm,21.8,Oakton,2024-09-06T15:15:00Z,20240906,1115,EDT,2024-09-03,NA
TEMPEST,Saltwater,B4,6.48,5.33,mS/cm,21.8,Oakton,2024-09-06T15:07:00Z,20240906,1107,EDT,2024-09-03,NA
TEMPEST,Freshwater,B4,6.3,31.1,uS/cm,23,Oakton,2024-08-12T13:56:00Z,20240812,956,EDT,NA,NA
