Site,plot,grid,pH,collection_temp_C,datetime,Date_YYYYMMDD,Time_24hr,tz,flag
TEMPEST,Freshwater,SOURCE,8.43,19.6,2023-06-06T11:18:00Z,20230606,718,EDT,NA
TEMPEST,Freshwater,SOURCE,7.76,22.7,2023-06-06T17:26:00Z,20230606,1326,EDT,NA
TEMPEST,Freshwater,SOURCE,8.15,23.7,2023-06-06T19:11:00Z,20230606,1511,EDT,NA
TEMPEST,Saltwater,SOURCE,7.42,15.9,2023-06-06T11:09:00Z,20230606,709,EDT,NA
TEMPEST,Saltwater,SOURCE,6.94,23.8,2023-06-06T17:01:00Z,20230606,1301,EDT,NA
TEMPEST,Saltwater,SOURCE,6.91,23.8,2023-06-06T19:02:00Z,20230606,1502,EDT,NA
TEMPEST,Saltwater,SOURCE,6.94,NA,2023-06-06T17:16:00Z,20230606,1316,EDT,temperature not recorded
TEMPEST,Estuary,SOURCE,7.05,20.5,2023-06-06T10:32:00Z,20230606,632,EDT,NA
TEMPEST,Estuary,SOURCE,7.1,25.2,2023-06-06T16:36:00Z,20230606,1236,EDT,NA
TEMPEST,Estuary,SOURCE,7.33,24.9,2023-06-06T19:24:00Z,20230606,1524,EDT,NA
TEMPEST,Saltwater,SOURCE,6.92,19.3,2023-06-07T10:21:00Z,20230607,621,EDT,NA
TEMPEST,Saltwater,SOURCE,6.12,23,2023-06-07T16:55:00Z,20230607,1255,EDT,NA
TEMPEST,Saltwater,SOURCE,6.22,23.4,2023-06-07T19:15:00Z,20230607,1515,EDT,NA
TEMPEST,Saltwater,SOURCE,7.1,NA,2023-06-07T16:55:00Z,20230607,1255,EDT,temperature not recorded
TEMPEST,Estuary,SOURCE,6.41,20.3,2023-06-07T11:10:00Z,20230607,710,EDT,NA
TEMPEST,Estuary,SOURCE,6.34,25.7,2023-06-07T17:46:00Z,20230607,1346,EDT,NA
TEMPEST,Estuary,SOURCE,7.32,25.7,2023-06-07T19:00:00Z,20230607,1500,EDT,NA
TEMPEST,Estuary,SOURCE,7.32,NA,2023-06-07T19:00:00Z,20230607,1500,EDT,temperature not recorded
TEMPEST,Freshwater,SOURCE,6.07,16.8,2023-06-07T10:11:00Z,20230607,611,EDT,NA
TEMPEST,Freshwater,SOURCE,6.47,23.2,2023-06-07T16:46:00Z,20230607,1246,EDT,NA
TEMPEST,Freshwater,SOURCE,6.55,23.6,2023-06-07T19:19:00Z,20230607,1519,EDT,NA
TEMPEST,Freshwater,SOURCE,7.97,NA,2023-06-07T19:19:00Z,20230607,1519,EDT,temperature not recorded
