"","Project","plot","grid","Depth_cm","sample_type","Vial_ID","date","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Volume_mL"
"1","COMPASS: TEMPEST","C","C6","50","DOC","C_C6_50_DOC_20260508","20260508",1.979,164.916666666667,"",0.08792,6.28,"TN checks out of range; blank is ≥ 25% of sample value","5/12/2026 7:50:06 PM","Run Notes ",NA,20260505,20260508,934,1043,"EDT",10
"2","COMPASS: TEMPEST","C","H6","50","DOC","C_H6_50_DOC_20260508","20260508",5.702,475.166666666667,"",0.2498,17.8428571428571,"TN checks out of range","5/12/2026 8:17:56 PM","Run Notes ",NA,20260505,20260508,1023,1008,"EDT",10
"3","COMPASS: TEMPEST","FW","E3","15","DOC","FW_E3_15_DOC_20260508","20260508",10.01,834.166666666667,"",0.356,25.4285714285714,"TN checks out of range","5/12/2026 8:45:39 PM","Run Notes ",NA,20260505,20260508,1042,1402,"EDT",10
"4","COMPASS: TEMPEST","FW","C6","50","DOC","FW_C6_50_DOC_20260508","20260508",2.963,246.916666666667,"",0.1608,11.4857142857143,"TN checks out of range","5/12/2026 9:13:30 PM","Run Notes ",NA,20260505,20260508,1038,1139,"EDT",10
"5","COMPASS: TEMPEST","FW","H6","50","DOC","FW_H6_50_DOC_20260508","20260508",1.664,138.666666666667,"",0.343,24.5,"TN checks out of range","5/12/2026 9:41:21 PM","Run Notes ",NA,20260505,20260508,1055,1432,"EDT",10
"6","COMPASS: TEMPEST","SW","H3","15","DOC","SW_H3_15_DOC_20260508","20260508",53.06,4421.66666666667,"",1.907,136.214285714286,"TN checks out of range","5/12/2026 11:21:11 PM","Run Notes ",NA,20260505,20260508,1014,1153,"EDT",10
"7","COMPASS: TEMPEST","SW","C3","30","DOC","SW_C3_15_DOC_20260508","20260508",63.23,5269.16666666667,"",1.794,128.142857142857,"TN checks out of range","5/12/2026 11:40:57 PM","Run Notes ",NA,20260505,20260508,948,1102,"EDT",11
"8","COMPASS: TEMPEST","SW","C6","30","DOC","SW_C6_15_DOC_20260508","20260508",56.42,4701.66666666667,"",1.966,140.428571428571,"TN checks out of range","5/13/2026 12:01:45 AM","Run Notes ",NA,20260505,20260508,1027,1114,"EDT",10
"9","COMPASS: TEMPEST","SW","H6","30","DOC","SW_H6_30_DOC_20260508","20260508",30.28,2523.33333333333,"",1.163,83.0714285714286,"TN checks out of range","5/13/2026 12:31:45 AM","Run Notes ",NA,20260505,20260508,1021,1214,"EDT",10
"10","COMPASS: TEMPEST","SW","F4","50","DOC","SW_F4_50_DOC_20260508","20260508",10.83,902.5,"",0.9352,66.8,"TN checks out of range","5/13/2026 12:53:18 AM","Run Notes ",NA,20260505,20260508,1011,1141,"EDT",10
"11","COMPASS: TEMPEST","SW","H6","50","DOC","SW_H6_50_DOC_20260508","20260508",9.211,767.583333333333,"",0.4267,30.4785714285714,"TN checks out of range","5/13/2026 1:24:02 AM","Run Notes ",NA,20260505,20260508,1023,1222,"EDT",10
