"","Project","plot","grid","Depth_cm","sample_type","Vial_ID","date","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Volume_mL"
"1","COMPASS: TEMPEST","C","B4",15,"DOC","C_B4_DOC_20260309","20260309",17.15,1429.16666666667,"NPOC checks out of range",0.3328,23.7714285714286,"TN checks out of range","3/18/2026 7:52:08 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1228,1050,"EDT",10
"2","COMPASS: TEMPEST","C","C3",15,"DOC","C_C3_DOC_20260309","20260309",25.71,2142.5,"NPOC checks out of range",0.5052,36.0857142857143,"TN checks out of range","3/18/2026 8:16:42 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1230,1032,"EDT",10
"3","COMPASS: TEMPEST","C","D5",15,"DOC","C_D5_DOC_20260309","20260309",8.9,741.666666666667,"NPOC checks out of range",0.2227,15.9071428571429,"TN checks out of range","3/18/2026 8:47:47 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1518,1040,"EDT",10
"4","COMPASS: TEMPEST","C","F4",15,"DOC","C_F4_DOC_20260309","20260309",22.11,1842.5,"NPOC checks out of range",0.5453,38.95,"TN checks out of range","3/18/2026 9:30:20 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1218,1017,"EDT",10
"5","COMPASS: TEMPEST","C","F6",15,"DOC","C_F6_DOC_20260309","20260309",33.98,2831.66666666667,"NPOC checks out of range",0.6899,49.2785714285714,"TN checks out of range","3/18/2026 10:00:49 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1216,1010,"EDT",10
"6","COMPASS: TEMPEST","C","H3",15,"DOC","C_H3_DOC_20260309","20260309",28.96,2413.33333333333,"NPOC checks out of range",0.9303,66.45,"TN checks out of range","3/18/2026 10:31:56 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1206,925,"EDT",10
"7","COMPASS: TEMPEST","C","H6",15,"DOC","C_H6_DOC_20260309","20260309",30.17,2514.16666666667,"NPOC checks out of range",0.6907,49.3357142857143,"TN checks out of range","3/18/2026 11:03:55 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1214,957,"EDT",20
"8","COMPASS: TEMPEST","C","I5",15,"DOC","C_I5_DOC_20260309","20260309",27.93,2327.5,"NPOC checks out of range",0.539,38.5,"TN checks out of range","3/18/2026 12:04:45 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1210,943,"EDT",20
"9","COMPASS: TEMPEST","FW","B4",15,"DOC","FW_B4_DOC_20260309","20260309",23.87,1989.16666666667,"NPOC checks out of range",0.5007,35.7642857142857,"TN checks out of range","3/18/2026 2:10:15 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1415,1309,"EDT",10
"10","COMPASS: TEMPEST","FW","C6",15,"DOC","FW_C6_DOC_20260309","20260309",16.94,1411.66666666667,"NPOC checks out of range",0.3999,28.5642857142857,"TN checks out of range","3/18/2026 2:42:41 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1411,1248,"EDT",10
"11","COMPASS: TEMPEST","FW","D5",15,"DOC","FW_D5_DOC_20260309","20260309",15.94,1328.33333333333,"NPOC checks out of range",0.3295,23.5357142857143,"TN checks out of range","3/18/2026 3:15:22 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1421,1256,"EDT",10
"12","COMPASS: TEMPEST","FW","E3",15,"DOC","FW_E3_DOC_20260309","20260309",20.27,1689.16666666667,"NPOC checks out of range",0.3811,27.2214285714286,"TN checks out of range","3/18/2026 3:48:17 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1434,1323,"EDT",10
"13","COMPASS: TEMPEST","FW","F4",15,"DOC","FW_F4_DOC_20260309","20260309",25.9,2158.33333333333,"NPOC checks out of range",0.4926,35.1857142857143,"TN checks out of range","3/18/2026 4:17:18 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1432,1327,"EDT",10
"14","COMPASS: TEMPEST","FW","F6",15,"DOC","FW_F6_DOC_20260309","20260309",25.75,2145.83333333333,"NPOC checks out of range",0.4301,30.7214285714286,"TN checks out of range","3/18/2026 4:53:27 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1422,1348,"EDT",10
"15","COMPASS: TEMPEST","FW","H3",15,"DOC","FW_H3_DOC_20260309","20260309",18.06,1505,"NPOC checks out of range",0.2973,21.2357142857143,"TN checks out of range","3/18/2026 5:29:31 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1431,1334,"EDT",20
"16","COMPASS: TEMPEST","SW","B4",15,"DOC","SW_B4_DOC_20260309","20260309",93.09,7757.5,"NPOC checks out of range",1.241,88.6428571428572,"TN checks out of range","3/18/2026 7:45:09 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1252,1141,"EDT",10
"17","COMPASS: TEMPEST","SW","C6",15,"DOC","SW_C6_DOC_20260309","20260309",78.77,6564.16666666667,"NPOC checks out of range",1.749,124.928571428571,"TN checks out of range","3/18/2026 8:20:56 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1256,1153,"EDT",20
"18","COMPASS: TEMPEST","SW","F6",15,"DOC","SW_F6_DOC_20260309","20260309",56.91,4742.5,"NPOC checks out of range",1.085,77.5,"TN checks out of range","3/18/2026 9:35:55 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1300,1212,"EDT",10
"19","COMPASS: TEMPEST","SW","H6",15,"DOC","SW_H6_DOC_20260309","20260309",38.47,3205.83333333333,"NPOC checks out of range",1.578,112.714285714286,"TN checks out of range","3/18/2026 10:07:29 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1316,1235,"EDT",10
"20","COMPASS: TEMPEST","SW","I5",15,"DOC","SW_I5_DOC_20260309","20260309",105.5,8791.66666666667,"NPOC checks out of range; value above cal curve",1.501,107.214285714286,"TN checks out of range","3/18/2026 10:45:56 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1313,1230,"EDT",10
