TEMPEST Sample List: SO4/Cl/H2S 20260501 - 20260813,,,,,
Vial_Number,Sample_ID,Plot,Collection_Date_YYYYMMDD,Timepoint,type
1,TMP_C_PW_C6_50cm_SO4_20260604_Pre,Control,20260604,Pre,PW
2,TMP_C_PW_F4_30cm_SO4_20260604_Pre,Control,20260604,Pre,PW
3,TMP_C_PW_F4_50cm_SO4_20260604_Pre,Control,20260604,Pre,PW
4,TMP_C_PW_H3_30cm_SO4_20260604_Pre,Control,20260604,Pre,PW
5,TMP_C_PW_H6_30cm_SO4_20260604_Pre,Control,20260604,Pre,PW
6,TMP_C_PW_H6_50cm_SO4_20260604_Pre,Control,20260604,Pre,PW
7,TMP_SW_PW_C3_30cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
8,TMP_SW_PW_C6_30cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
9,TMP_SW_PW_F4_30cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
10,TMP_SW_PW_F4_50cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
11,TMP_SW_PW_H3_30cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
12,TMP_SW_PW_H6_30cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
13,TMP_SW_PW_H6_50cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
14,TMP_FW_PW_C3_30cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
15,TMP_FW_PW_C6_15cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
16,TMP_FW_PW_C6_30cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
17,TMP_FW_PW_C6_50cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
18,TMP_FW_PW_D5_15cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
19,TMP_FW_PW_F4_30cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
20,TMP_FW_PW_F4_50cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
21,TMP_FW_PW_H6_30cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
22,TMP_FW_PW_H6_50cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
23,TMP_SW_PW_C6_30cm_SO4_20260607_D1_PM,Saltwater,20260607,D1_PM,PW
24,TMP_SW_PW_F4_50cm_SO4_20260607_D1_PM,Saltwater,20260607,D1_PM,PW
25,TMP_SW_PW_H3_30cm_SO4_20260607_D1_PM,Saltwater,20260607,D1_PM,PW
26,TMP_SW_PW_H6_30cm_SO4_20260607_D1_PM,Saltwater,20260607,D1_PM,PW
27,TMP_FW_PW_D5_15cm_SO4_20260607_D1_PM,Freshwater,20260607,D1_PM,PW
28,TMP_FW_PW_H6_50cm_SO4_20260607_D1_PM,Freshwater,20260607,D1_PM,PW
29,TMP_SW_SCE_SO4_20260608_D2_AM,Saltwater,20260608,D2_AM,SCE
30,TMP_FW_SCE_SO4_20260608_D2_AM,Freshwater,20260608,D2_AM,SCE
55,TMP_EST_SCE_SO4_20260608_D2_LT,Estuary,20260608,D2_AM,SCE
53,TMP_SW_SCE_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,SCE
54,TMP_FW_SCE_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,SCE
56,TMP_EST_SCE_SO4_20260608_D2_HT,Estuary,20260608,D2_PM,SCE
31,TMP_SW_RO_SO4_20260608_D2_T1,Saltwater,20260608,D2_T1,RO
57,TMP_SW_RO_SO4_20260608_D2_T2,Saltwater,20260608,D2_T2,RO
32,TMP_C_PW_C6_50cm_SO4_20260608_D2_PM,Control,20260608,D2_PM,PW
33,TMP_SW_PW_C3_50cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
34,TMP_SW_PW_C6_30cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
35,TMP_SW_PW_C6_50cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
36,TMP_SW_PW_F4_30cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
37,TMP_SW_PW_F4_50cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
38,TMP_SW_PW_H3_30cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
39,TMP_SW_PW_H6_30cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
40,TMP_SW_PW_H6_50cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
41,TMP_FW_PW_C3_30cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
42,TMP_FW_PW_C3_50cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
43,TMP_FW_PW_C6_15cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
44,TMP_FW_PW_C6_30cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
45,TMP_FW_PW_C6_50cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
46,TMP_FW_PW_D5_15cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
47,TMP_FW_PW_F4_30cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
48,TMP_FW_PW_F4_50cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
49,TMP_FW_PW_H3_30cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
50,TMP_FW_PW_H3_50cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
51,TMP_FW_PW_H6_30cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
52,TMP_FW_PW_H6_50cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
90,TMP_SW_SCE_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,SCE
91,TMP_FW_SCE_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,SCE
92,TMP_EST_SCE_SO4_20260609_D3_LT,Estuary,20260609,D3_AM,SCE
131,TMP_SW_RO_SO4_20260609_D3-Macropore,Saltwater,20260609,D3-Macropore,RO
129,TMP_SW_SCE_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,SCE
130,TMP_FW_SCE_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,SCE
93,TMP_EST_SCE_SO4_20260609_D3_HT,Estuary,20260609,D3_PM,SCE
94,TMP_SW_RO_SO4_20260609_D3_T1,Saltwater,20260609,D3_T1,RO
95,TMP_FW_RO_SO4_20260609_D3_T1,Freshwater,20260609,D3_T1,RO
132,TMP_SW_RO_SO4_20260609_D3_T2,Saltwater,20260609,D3_T2,RO
133,TMP_FW_RO_SO4_20260609_D3_T2,Freshwater,20260609,D3_T2,RO
58,TMP_SW_PW_B4_15cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
59,TMP_SW_PW_C3_15cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
60,TMP_SW_PW_C3_30cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
61,TMP_SW_PW_C3_50cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
62,TMP_SW_PW_C6_15cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
63,TMP_SW_PW_C6_30cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
64,TMP_SW_PW_C6_50cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
65,TMP_SW_PW_D5_15cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
66,TMP_SW_PW_F4_30cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
67,TMP_SW_PW_F4_50cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
69,TMP_SW_PW_H3_30cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
70,TMP_SW_PW_H3_50cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
71,TMP_SW_PW_H6_30cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
72,TMP_SW_PW_I5_15cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
68,TMP_SW_PW_F6_15cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
73,TMP_FW_PW_C3_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
74,TMP_FW_PW_C3_30cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
75,TMP_FW_PW_C3_50cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
76,TMP_FW_PW_C6_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
77,TMP_FW_PW_C6_30cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
78,TMP_FW_PW_C6_50cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
79,TMP_FW_PW_D5_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
80,TMP_FW_PW_E3_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
81,TMP_FW_PW_F4_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
82,TMP_FW_PW_F4_30cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
83,TMP_FW_PW_F4_50cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
84,TMP_FW_PW_H3_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
85,TMP_FW_PW_H3_30cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
86,TMP_FW_PW_H3_50cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
87,TMP_FW_PW_H6_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
88,TMP_FW_PW_H6_30cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
