"Project","Region","Sample_ID","Sample_Year","Sample_Month","Sample_Day","Site","Event","Plot","Location","Depth_cm","Timepoint","Sample_Type","Evacuation_date_YYYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Notes","integration_time_s","dilution_factor","RSU_area_1s","abs_file_id","eem_file_id"
"COMPASS","CB","TMP_PW_C_B4_15CM_20230810",2023,8,10,"TMP","Monitoring","C","B4","15","NA","PW",20230807,20230810,1121,1101,"EDT",NA,1,0.5,3251,"TMP_PW_C_B4_15CM_20230810_ABS_DilCorr.dat","TMP_PW_C_B4_15CM_20230810_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_C3_15CM_20230628",2023,6,28,"TMP","Monitoring","C","C3","15","NA","PW",20230623,20230628,NA,NA,"EDT",NA,2,0.433333333333333,3327,"TMP_PW_C_C3_15CM_20230628_ABS_DilCorr.dat","TMP_PW_C_C3_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_C6_15CM_20230515",2023,5,15,"TMP","Monitoring","C","C6","15","NA","PW",20230512,20230515,1126,1502,"EDT",NA,2,0.75,3073,"TMP_PW_C_C6_15CM_20230515_ABS_DilCorr.dat","TMP_PW_C_C6_15CM_20230515_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_C6_15CM_20230603",2023,6,3,"TMP","Monitoring","C","C6","15","NA","PW",20230531,20230603,1512,1441,"EDT",NA,2,0.5,3056,"TMP_PW_C_C6_15CM_20230603_ABS_DilCorr.dat","TMP_PW_C_C6_15CM_20230603_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_C6_15CM_20230628",2023,6,28,"TMP","Monitoring","C","C6","15","NA","PW",20230623,20230628,1231,1524,"EDT",NA,2,0.416666666666667,3302,"TMP_PW_C_C6_15CM_20230628_ABS_DilCorr.dat","TMP_PW_C_C6_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_D5_15CM_20230628",2023,6,28,"TMP","Monitoring","C","D5","15","NA","PW",20230623,20230628,1412,1512,"EDT",NA,2,0.5,3295,"TMP_PW_C_D5_15CM_20230628_ABS_DilCorr.dat","TMP_PW_C_D5_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_D5_15CM_20230810",2023,8,10,"TMP","Monitoring","C","D5","15","NA","PW",20230807,20230810,1127,1049,"EDT",NA,1,0.4,3251,"TMP_PW_C_D5_15CM_20230810_ABS_DilCorr.dat","TMP_PW_C_D5_15CM_20230810_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_E3_15CM_20230628",2023,6,28,"TMP","Monitoring","C","E3","15","NA","PW",20230623,20230628,1406,1548,"EDT",NA,2,0.428571428571429,3327,"TMP_PW_C_E3_15CM_20230628_ABS_DilCorr.dat","TMP_PW_C_E3_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_F4_15CM_20230810",2023,8,10,"TMP","Monitoring","C","F4","15","NA","PW",20230807,20230810,1145,1027,"EDT",NA,1,0.5,3251,"TMP_PW_C_F4_15CM_20230810_ABS_DilCorr.dat","TMP_PW_C_F4_15CM_20230810_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_F6_15CM_20230515",2023,5,15,"TMP","Monitoring","C","F6","15","NA","PW",20230512,20230515,1136,1250,"EDT",NA,2,0.5,3077,"TMP_PW_C_F6_15CM_20230515_ABS_DilCorr.dat","TMP_PW_C_F6_15CM_20230515_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_F6_15CM_20230628",2023,6,28,"TMP","Monitoring","C","F6","15","NA","PW",20230623,20230628,1415,1504,"EDT",NA,1,0.5,3302,"TMP_PW_C_F6_15CM_20230628_ABS_DilCorr.dat","TMP_PW_C_F6_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_H3_15CM_20230628",2023,6,28,"TMP","Monitoring","C","H3","15","NA","PW",20230623,20230628,1402,1433,"EDT",NA,1,0.5,3327,"TMP_PW_C_H3_15CM_20230628_ABS_DilCorr.dat","TMP_PW_C_H3_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_H6_15CM_20230515",2023,5,15,"TMP","Monitoring","C","H6","15","NA","PW",20230512,20230515,1136,1232,"EDT",NA,1,0.75,3073,"TMP_PW_C_H6_15CM_20230515_ABS_DilCorr.dat","TMP_PW_C_H6_15CM_20230515_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_H6_15CM_20230603",2023,6,3,"TMP","Monitoring","C","H6","15","NA","PW",20230531,20230603,1426,1415,"EDT",NA,2,0.5,3056,"TMP_PW_C_H6_15CM_20230603_ABS_DilCorr.dat","TMP_PW_C_H6_15CM_20230603_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_H6_15CM_20230612",2023,6,12,"TMP","Monitoring","C","H6","15","NA","PW",20230608,20230612,1647,1022,"EDT",NA,4,0.15,3327,"TMP_PW_C_H6_15CM_20230612_ABS_DilCorr.dat","TMP_PW_C_H6_15CM_20230612_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_H6_15CM_20230628",2023,6,28,"TMP","Monitoring","C","H6","15","NA","PW",20230623,20230628,1418,1454,"EDT",NA,1,0.4,3302,"TMP_PW_C_H6_15CM_20230628_ABS_DilCorr.dat","TMP_PW_C_H6_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_H6_15CM_20230707",2023,7,7,"TMP","Monitoring","C","H6","15","NA","PW",20230705,20230707,1215,1142,"EDT",NA,1,0.428571428571429,3295,"TMP_PW_C_H6_15CM_20230707_ABS_DilCorr.dat","TMP_PW_C_H6_15CM_20230707_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_H6_15CM_20230710",2023,7,10,"TMP","Monitoring","C","H6","15","NA","PW",20230707,20230710,1142,1255,"EDT",NA,1,0.428571428571429,3295,"TMP_PW_C_H6_15CM_20230710_ABS_DilCorr.dat","TMP_PW_C_H6_15CM_20230710_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_H6_15CM_20230810",2023,8,10,"TMP","Monitoring","C","H6","15","NA","PW",20230807,20230810,1149,1008,"EDT",NA,2,0.5,3251,"TMP_PW_C_H6_15CM_20230810_ABS_DilCorr.dat","TMP_PW_C_H6_15CM_20230810_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_I5_15CM_20230603",2023,6,3,"TMP","Monitoring","C","I5","15","NA","PW",20230531,20230603,1436,1400,"EDT",NA,2,0.5,3056,"TMP_PW_C_I5_15CM_20230603_ABS_DilCorr.dat","TMP_PW_C_I5_15CM_20230603_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_I5_15CM_20230628",2023,6,28,"TMP","Monitoring","C","I5","15","NA","PW",20230623,20230628,1421,1440,"EDT",NA,1,0.5,3295,"TMP_PW_C_I5_15CM_20230628_ABS_DilCorr.dat","TMP_PW_C_I5_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat"
"COMPASS","CB","TMP_PW_C_I5_15CM_20230710",2023,7,10,"TMP","Monitoring","C","I5","15","NA","PW",20230707,20230710,1138,1310,"EDT",NA,1,0.5,3295,"TMP_PW_C_I5_15CM_20230710_ABS_DilCorr.dat","TMP_PW_C_I5_15CM_20230710_EEM_DilCorr_IFE_RamNorm.dat"
