"Plot","Timepoint","Date","Start_time","End_time","Grid","DOC","Ions","Water_Isotopes","HR-MS","Saccharides","Amino_Acids","Pooled","CDOM_Subsample","Total_Volume","Evacuated_cb","Time_Notes","Notes"
"C","T1",2022-06-22,NA,NA,"C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C","T1",2022-06-22,NA,NA,"C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C","T1",2022-06-22,NA,NA,"F4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C","T1",2022-06-22,NA,NA,"H3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C","T1",2022-06-22,NA,NA,"H6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C","T1",2022-06-22,NA,NA,"B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C","T1",2022-06-22,NA,NA,"D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C","T1",2022-06-22,NA,NA,"E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C","T1",2022-06-22,NA,NA,"F6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C","T1",2022-06-22,NA,NA,"I5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C","T2",2022-06-22,"16:34:00","17:40:00","C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA
"C","T2",2022-06-22,"16:34:00","17:40:00","C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA
"C","T2",2022-06-22,"16:34:00","17:40:00","F4",NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA
"C","T2",2022-06-22,"16:34:00","17:40:00","H3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C","T2",2022-06-22,"16:34:00","17:40:00","H6",7.5,3,1.5,NA,1.5,1.5,9,NA,NA,49,NA,"9 mL kept for CDOM, additional 1 mL thrown out - no use for further pooling"
"C","T2",2022-06-22,"16:34:00","17:40:00","B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA
"C","T2",2022-06-22,"16:34:00","17:40:00","D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA
"C","T2",2022-06-22,"16:34:00","17:40:00","E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA
"C","T2",2022-06-22,"16:34:00","17:40:00","F6",NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA
"C","T2",2022-06-22,"16:34:00","17:40:00","I5",NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA
"C","T4",2022-06-24,"12:00:00",NA,"C3",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"C","T4",2022-06-24,"12:00:00",NA,"C6",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"C","T4",2022-06-24,"12:00:00",NA,"F4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C","T4",2022-06-24,"12:00:00",NA,"H3",10,NA,1.5,NA,NA,NA,12.5,NA,24,50,NA,NA
"C","T4",2022-06-24,"12:00:00",NA,"H6",10,NA,1.5,NA,NA,NA,25,NA,40,50,NA,NA
"C","T4",2022-06-24,"12:00:00",NA,"B4",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"C","T4",2022-06-24,"12:00:00",NA,"D5",10,NA,1.5,NA,NA,NA,25,NA,42,50,NA,NA
"C","T4",2022-06-24,"12:00:00",NA,"E3",7,NA,1.5,NA,NA,NA,1.5,NA,11,NA,NA,NA
"C","T4",2022-06-24,"12:00:00",NA,"F6",10,NA,1.5,NA,NA,NA,17.5,NA,29,50,NA,NA
"C","T4",2022-06-24,"12:00:00",NA,"I5",10,NA,1.5,NA,NA,NA,25,NA,42,48,NA,NA
"C","T3",2022-06-23,"09:38:00",NA,"C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,"less than 1, discarded"
"C","T3",2022-06-23,"09:38:00",NA,"C6",7.5,3,1.5,NA,1.5,1.5,NA,NA,20,49,NA,NA
"C","T3",2022-06-23,"09:38:00",NA,"F4",NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,"got knocked or not sealed properly, no pressure built"
"C","T3",2022-06-23,"09:38:00",NA,"H3",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,"less than 1, discarded"
"C","T3",2022-06-23,"09:38:00",NA,"H6",7.5,3.5,1.5,30,1.5,1.5,NA,NA,45,46,NA,NA
"C","T3",2022-06-23,"09:38:00",NA,"B4",8,NA,1.5,NA,NA,NA,18,NA,30,49,NA,"lost a couple mLs of pooled samples"
"C","T3",2022-06-23,"09:38:00",NA,"D5",NA,NA,1.5,NA,NA,NA,2,NA,4,46,NA,NA
"C","T3",2022-06-23,"09:38:00",NA,"E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,"dry"
"C","T3",2022-06-23,"09:38:00",NA,"F6",NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,"less than 0.5, discarded"
"C","T3",2022-06-23,"09:38:00",NA,"I5",7,NA,1.5,NA,NA,NA,15,NA,25,49,NA,NA
"C","T0",2022-06-20,"09:36:00","11:32:00","C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA
"C","T0",2022-06-20,"09:36:00","11:32:00","C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,"1mL- didn't keep"
"C","T0",2022-06-20,"09:36:00","11:32:00","F4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA
"C","T0",2022-06-20,"09:36:00","11:32:00","H3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA
