"Project","Site","plot","grid","Depth_cm","Analyte","Sample_ID","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Volume_mL"
"COMPASS","TEMPEST","FW","H6","15cm","DOC","TMP_FW_H6_20220620_T0_15cm",14.41,1200.83333333333,NA,0.54,38.5714285714286,NA,"NA",NA,"DOC+iso+pool",NA,"20220620","1015",1415,NA,7
"COMPASS","TEMPEST","FW","C6","15cm","DOC","TMP_FW_C6_20220620_T0_15cm",8.27,689.166666666667,NA,0.36,25.7142857142857,"blank is ≥ 25% of sample value","NA",NA,"DOC+iso+pool",NA,"20220620","1015",1415,NA,7
"COMPASS","TEMPEST","FW","I5","15cm","DOC","TMP_FW_I5_20220620_T0_15cm",15.67,1305.83333333333,NA,0.7,50,NA,"NA",NA,"All subsample",NA,"20220620","1015",1415,NA,7
"COMPASS","TEMPEST","SW","C3","15cm","DOC","TMP_SW_C3_20220622_T1_15cm",15.5,1291.66666666667,NA,0.93,66.4285714285714,NA,"NA",NA,"1 rinse between lysimeters",NA,"20220622","1247",1647,NA,10
"COMPASS","TEMPEST","SW","H6","15cm","DOC","TMP_SW_H6_20220622_T1_15cm",7.25,604.166666666667,NA,0.37,26.4285714285714,"blank is ≥ 25% of sample value","NA",NA,"1 rinse between lysimeters",NA,"20220622","1247",1647,NA,9
"COMPASS","TEMPEST","SW","B4","15cm","DOC","TMP_SW_B4_20220622_T1_15cm",11.37,947.5,NA,0.48,34.2857142857143,NA,"NA",NA,"1 rinse between lysimeters",NA,"20220622","1247",1647,NA,10
"COMPASS","TEMPEST","FW","F4","15cm","DOC","TMP_FW_F4_20220622_T1_15cm",10.45,870.833333333333,NA,0.49,35,NA,"NA",NA,NA,NA,"20220622","1245",1645,NA,9
"COMPASS","TEMPEST","SW","E3","15cm","DOC","TMP_SW_E3_20220622_T1_15cm",4.9,408.333333333333,NA,0.44,31.4285714285714,NA,"NA",NA,"3 rinse between lysimeter",NA,"20220622","1247",1647,NA,10
"COMPASS","TEMPEST","FW","I5","15cm","DOC","TMP_FW_I5_20220622_T1_15cm",26.89,2240.83333333333,NA,0.42,30,NA,"NA",NA,NA,NA,"20220622","1245",1645,NA,10
"COMPASS","TEMPEST","FW","C6","15cm","DOC","TMP_FW_C6_20220622_T1_15cm",1.27,105.833333333333,"blank is ≥ 25% of sample value",0.08,5.71428571428571,"blank is ≥ 25% of sample value","NA",NA,NA,NA,"20220622","1245",1645,NA,7
"COMPASS","TEMPEST","FW","C3","15cm","DOC","TMP_FW_C3_20220622_T1_15cm",5.54,461.666666666667,NA,0.18,12.8571428571429,"blank is ≥ 25% of sample value","NA",NA,"General note: vibes- spicy",NA,"20220622","1245",1645,NA,7.5
"COMPASS","TEMPEST","FW","H3","15cm","DOC","TMP_FW_H3_20220622_T1_15cm",5.62,468.333333333333,NA,0.24,17.1428571428571,"blank is ≥ 25% of sample value","NA",NA,NA,NA,"20220622","1245",1645,NA,10
