ABS1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.051,0.053,0.052,0.055,0.055,0.06,0.067,0.069,0.068,0.056,0.052,0.056
B,0.123,0.121,0.162,0.054,0.054,0.055,0.056,0.052,0.072,0.053,0.055,0.055
C,0.253,0.237,0.268,0.054,0.056,0.058,0.052,0.054,0.054,0.052,0.055,0.054
D,0.446,0.422,0.443,0.055,0.055,0.054,0.055,0.053,0.056,0.05,0.052,0.051
E,0.805,0.783,0.708,0.055,0.055,0.052,0.056,0.057,0.054,0.054,0.054,0.053
F,1.632,1.53,1.73,0.053,0.054,0.056,0.055,0.054,0.058,0.053,0.052,0.053
G,1.66,1.627,1.725,0.055,0.055,0.054,0.053,0.053,0.054,0.052,0.055,0.054
H,1.463,1.516,1.578,0.075,0.078,0.074,0.549,0.415,0.654,0.054,0.052,0.052
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,STD_S0,STD_S0,STD_S0,20230807_SW_B4,20230807_SW_B4,20230807_SW_B4,20230807_SW_H6,20230807_SW_H6,20230807_SW_H6,20230710_C_I5,20230710_C_I5,20230710_C_I5
B,STD_S1,STD_S1,STD_S1,20230807_SW_C3,20230807_SW_C3,20230807_SW_C3,20230807_SW_I5,20230807_SW_I5,20230807_SW_I5,20230627_FW_D5,20230627_FW_D5,20230627_FW_D5
C,STD_S2,STD_S2,STD_S2,20230807_SW_C6,20230807_SW_C6,20230807_SW_C6,20230810_C_B4,20230810_C_B4,20230810_C_B4,20230627_SW_D5,20230627_SW_D5,20230627_SW_D5
D,STD_S3,STD_S3,STD_S3,20230807_SW_D5,20230807_SW_D5,20230807_SW_D5,20230807_FW_F4,20230807_FW_F4,20230807_FW_F4,20230627_SW_F4,20230627_SW_F4,20230627_SW_F4
E,STD_S4,STD_S4,STD_S4,20230807_SW_E3,20230807_SW_E3,20230807_SW_E3,20230707_FW_I5,20230707_FW_I5,20230707_FW_I5,20230628_C_D5,20230628_C_D5,20230628_C_D5
F,STD_S5,STD_S5,STD_S5,20230807_SW_F4,20230807_SW_F4,20230807_SW_F4,20230707_FW_I5_dup,20230707_FW_I5_dup,20230707_FW_I5_dup,20230617_FW_C3,20230617_FW_C3,20230617_FW_C3
G,10ppt_S5,10ppt_S5,10ppt_S5,20230807_SW_F6,20230807_SW_F6,20230807_SW_F6,20230707_SW_D5,20230707_SW_D5,20230707_SW_D5,20230617_C_H3,20230617_C_H3,20230617_C_H3
H,20ppt_S5,20ppt_S5,20ppt_S5,20230807_SW_H3,20230807_SW_H3,20230807_SW_H3,20230707_SW_D5_spk,20230707_SW_D5_spk,20230707_SW_D5_spk,20230617_SW_B4,20230617_SW_B4,20230617_SW_B4
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
Std_Conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,5.00,5.00,5.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,12.50,12.50,12.50,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,25.00,25.00,25.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
E,50.00,50.00,50.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,100.00,100.00,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
G,100.00,100.00,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,100.00,100.00,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
