Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Type
No.	Selected Peak:		min	µg/mL	%	µS*min	µS	
			CD	CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	3.420 	0.0186 	54.19 	0.0261 	0.07 	 MB
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	Standard 1	Calibration Standard	3.430 	5.1187 	92.59 	7.1765 	39.52 	 M 
5	Standard 2	Calibration Standard	3.427 	11.2205 	92.58 	15.7314 	85.63 	 M 
6	Standard 3	Calibration Standard	3.427 	20.4308 	92.19 	28.6445 	154.92 	 M 
7	Standard 4	Calibration Standard	3.423 	100.9045 	92.27 	141.4703 	754.77 	BM 
8	Standard 5	Calibration Standard	3.423 	199.4407 	92.18 	279.6202 	1474.62 	BM 
9	Lab Blank	Unknown	3.433 	0.0162 	63.01 	0.0227 	0.13 	 MB
10	Lab Blank	Unknown	3.430 	0.0093 	49.66 	0.0131 	0.06 	 MB
11	TEMPEST_FW_B4_20230606	Unknown	3.490 	173.8469 	81.88 	194.9897 	196.50 	BM 
12	TEMPEST_FW_C3_20230606	Unknown	3.553 	27.3401 	22.04 	34.8467 	118.23 	 M 
13	TEMPEST_FW_C6_20230606	Unknown	3.420 	98.7008 	55.00 	110.7045 	186.67 	BM 
14	TEMPEST_FW_D5_20230606	Unknown	3.557 	30.2096 	26.99 	38.5041 	95.86 	 M 
15	TEMPEST_FW_F4_20230606	Unknown	3.543 	26.1745 	21.66 	33.3611 	108.62 	 M 
16	TEMPEST_FW_F6_20230606	Unknown	3.517 	200.5441 	93.24 	224.9338 	201.35 	BM 
17	TEMPEST_FW_H3_20230606	Unknown	3.453 	157.5116 	81.91 	176.6678 	192.72 	BM 
18	TEMPEST_FW_H6_20230606	Unknown	3.490 	197.4170 	96.05 	221.4264 	198.67 	BMB
19	TEMPEST_FW_I5_20230606	Unknown	3.533 	31.6279 	23.86 	35.4744 	118.14 	 M 
20	TEMPEST_FW_I5_20230606_spk	Unknown	3.547 	31.4901 	22.92 	35.3198 	116.39 	 M 
21	TEMPEST_SW_B4_20230606	Unknown	3.420 	3115.1523 	81.21 	87.3502 	467.10 	 M 
22	TEMPEST_SW_C3_20230606	Unknown	3.423 	3070.1995 	82.20 	86.0897 	458.59 	 M 
23	Standard 1	Check Standard	3.427 	5.1432 	91.37 	7.2109 	39.89 	 M 
24	Lab Blank	Unknown	3.427 	0.0024 	3.77 	0.0034 	0.02 	Rd
25	Lab Blank	Unknown	3.430 	0.0014 	2.41 	0.0020 	0.01 	Rd
26	TEMPEST_SW_C6_20230606	Unknown	3.430 	1060.2300 	76.20 	29.7293 	138.10 	BM 
27	TEMPEST_SW_D5_20230606	Unknown	3.427 	1925.5950 	77.20 	53.9945 	286.13 	 M 
