"","Project","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Sample_ID","NH3_uM","PO4_uM","NOx_uM","NH3_range","PO4_range","NOx_range","Run_notes","Field_notes"
"27","TEMPEST","C","F6","15cm",NA,NA,"PW",8,"20230810",20230807,1136,1017,"TMP_C_F6_20230810_15cm","2.29076085016456","0.574367981037646","0.749855426331684","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"28","TEMPEST","C","H3","15cm",NA,NA,"PW",6,"20230628",20230623,1402,1433,"TMP_C_H3_20230628_15cm","65.3095304390042","0.431436384016221","4.00829602975719","Within_Range","Within_Range","Within_Range","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"29","TEMPEST","C","H3","15cm",NA,NA,"PW",6,"20230807",20230804,1156,1200,"TMP_C_H3_20230807_15cm","0.704234402107563","0.664039352595543","0.908493792256563","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"30","TEMPEST","C","H3","15cm",NA,NA,"PW",8,"20231211",20231208,946,1006,"TMP_C_H3_20231211_15cm","12.1619653451562","0.349903974526477","1.40675533851657","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"31","TEMPEST","C","H6","15cm",NA,NA,"PW",3.5,"20230612",20230608,1647,1022,"TMP_C_H6_20230612_15cm","8.86861287812261","0.51475365360863","2.16503530453283","Within_Range","Within_Range","Within_Range","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"32","TEMPEST","C","H6","15cm",NA,NA,"PW",8,"20230628",20230623,1418,1454,"TMP_C_H6_20230628_15cm","1.51913013058037","0.345905887896507","0.619703427645341","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"33","TEMPEST","C","H6","15cm",NA,NA,"PW",5.5,"20230707",20230705,1215,1142,"TMP_C_H6_20230707_15cm","3.25908315306246","0.480127367616926","0.846237871875602","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"34","TEMPEST","C","H6","15cm",NA,NA,"PW",8,"20230710",20230707,1142,1255,"TMP_C_H6_20230710_15cm","11.3095875545275","0.623415936658885","1.65442252636238","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"35","TEMPEST","C","H6","15cm",NA,NA,"PW",8,"20230807",20230804,1203,1149,"TMP_C_H6_20230807_15cm","1.26932111061135","0.462992710631341","0.706661811847187","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"36","TEMPEST","C","H6","15cm",NA,NA,"PW",8,"20231211",20231208,1000,1023,"TMP_C_H6_20231211_15cm","0.343264294944562","0.616919045885183","0.56987013357893","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"37","TEMPEST","C","I5","15cm",NA,NA,"PW",8,"20230710",20230707,1138,1310,"TMP_C_I5_20230710_15cm","5.07114452369223","0.482340594144231","1.20892144473716","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"38","TEMPEST","C","I5","15cm",NA,NA,"PW",8,"20230810",20230807,1156,957,"TMP_C_I5_20230810_15cm","2.29454475358221","0.468918446172189","0.545024880949831","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"39","TEMPEST","C","I5","15cm",NA,NA,"PW",8,"20230628",20230623,1421,1440,"TMP_C_I5_20230628_15cm","1.80627842389713","0.336838798574968","0.750712159180963","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"40","TEMPEST","C","I5","15cm",NA,NA,"PW",8,"20231208",20231205,950,949,"TMP_C_I5_20231208_15cm","3.18861687620924","0.393097589010973","0.800188481226841","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"41","TEMPEST","FW","B4","15cm",NA,NA,"PW",8,"20230627",20230623,1304,1202,"TMP_FW_B4_20230627_15cm","6.05196084730879","0.314777927706026","4.79491957420377","Within_Range","Within_Range","Within_Range","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"42","TEMPEST","FW","B4","15cm",NA,NA,"PW",6,"20230807",20230804,1257,953,"TMP_FW_B4_20230807_15cm","2.78409618254121","0.403092805585898","1.96398866256863","Within_Range","Within_Range","Within_Range","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"43","TEMPEST","FW","C3","15cm",NA,NA,"PW",6,"20230614",20230612,939,1502,"TMP_FW_C3_20230614_15cm","0.66389656378733","0.292288690412445","0.723867863236879","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"44","TEMPEST","FW","C3","15cm",NA,NA,"PW",6,"20230617",20230614,1502,1156,"TMP_FW_C3_20230617_15cm","1.53326622259347","0.279294908865043","1.03686093084024","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"45","TEMPEST","FW","C3","15cm",NA,NA,"PW",8,"20230627",20230623,1306,1211,"TMP_FW_C3_20230627_15cm","1.11646569141911","0.250665752818294","0.859303047827111","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"46","TEMPEST","FW","C3","15cm",NA,NA,"PW",8,"20230710",20230707,1009,1105,"TMP_FW_C3_20230710_15cm","1.7507335775022","0.308709403356965","0.865157388963853","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"47","TEMPEST","FW","C6","15cm",NA,NA,"PW",7,"20230614",20230612,927,1451,"TMP_FW_C6_20230614_15cm","35.1569605974284","0.277867020782911","2.89454332569413","Within_Range","Within_Range","Within_Range","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"48","TEMPEST","FW","C6","15cm",NA,NA,"PW",7.5,"20231208",20231205,1105,1120,"TMP_FW_C6_20231208_15cm","22.0672963653109","3.59106713215818","0.923843589139483","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"49","TEMPEST","FW","D5","15cm",NA,NA,"PW",8,"20230612",20230608,1555,944,"TMP_FW_D5_20230612_15cm","0.489979795383638","0.378390341765012","0.615134185782518","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"50","TEMPEST","FW","D5","15cm",NA,NA,"PW",6.5,"20230614",20230612,944,1513,"TMP_FW_D5_20230614_15cm","0.689241577245175","0.374606438347362","0.973819672014107","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"51","TEMPEST","FW","D5","15cm",NA,NA,"PW",6,"20230617",20230614,1513,1210,"TMP_FW_D5_20230617_15cm","0.785481233980881","0.430865228783368","0.539884483854155","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
