"","Sample_Type","Year","T_num","TOD"
"1","PW","2022","T0",NA
"2","PW","2022","T1",NA
"3","PW","2022","T2",NA
"4","PW","2022","T3",NA
"5","PW","2022","T4",NA
"6","SOURCE","2022","HR0",NA
"7","SOURCE","2022","HR1",NA
"8","SOURCE","2022","HR2",NA
"9","SOURCE","2022","HR3",NA
"10","SOURCE","2022","HR4",NA
"11","SOURCE","2022","HR5",NA
"12","SOURCE","2022","HR7",NA
"13","PW","2022",NA,NA
"14","SOURCE","2023","T1",NA
"15","SOURCE","2023","T2",NA
"16","SOURCE","2023","T3",NA
"17","PW","2023",NA,NA
"18","PW","2023",NA,"PM"
"19","PW","2024","T0",NA
"20","PW","2024","T1",NA
"21","PW","2024","T3","PM"
"22","PW","2024","T6",NA
"23","PW","2024","T2","AM"
"24","PW","2024","T4","AM"
"25","PW","2024","T5","PM"
"26","PW","2024",NA,NA
"27","SOURCE","2024",NA,"AM"
"28","SOURCE","2024",NA,"MID"
"29","SOURCE","2024",NA,"PM"
"30","RAINWATER","2024",NA,NA
"31","PW","2025",NA,NA
"32","PW","2026",NA,NA
"33","PW","2023",NA,"AM"
