date,Project,plot,grid,sample_name,evacuation_datetime,collection_datetime,tz,doc_mg_l,tdn_mg_l,doc_flag,tdn_flag
2025-01-31,COMPASS: TEMPEST,Control,B4,C_B4_DOC_20250131,2025-01-28T17:36:00Z,2025-01-31T17:19:00Z,EST,31.35,0.9852,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Control,C3,C_C3_DOC_20250131,2025-01-28T17:25:00Z,2025-01-31T16:37:00Z,EST,30.54,0.6599,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Control,D5,C_D5_DOC_20250131,2025-01-28T17:30:00Z,2025-01-31T17:27:00Z,EST,21.09,0.5605,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Control,E3,C_E3_DOC_20250131,2025-01-28T17:22:00Z,2025-01-31T16:26:00Z,EST,25.9,0.7722,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Control,H6,C_H6_DOC_20250131,2025-01-28T17:15:00Z,2025-01-31T16:13:00Z,EST,36.77,1.233,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Control,I5,C_I5_DOC_20250131,2025-01-28T17:12:00Z,2025-01-31T16:00:00Z,EST,16.82,0.5264,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Freshwater,C3,FW_C3_DOC_20250131,2025-01-28T18:22:00Z,2025-01-31T19:14:00Z,EST,23.94,0.8356,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Freshwater,C6,FW_C6_DOC_20250131,2025-01-28T18:14:00Z,2025-01-31T19:05:00Z,EST,14.64,0.611,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Freshwater,D5,FW_D5_DOC_20250131,2025-01-28T18:16:00Z,2025-01-31T19:08:00Z,EST,21.37,0.8061,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Freshwater,H3,FW_H3_DOC_20250131,2025-01-28T19:26:00Z,2025-01-31T19:20:00Z,EST,15.27,0.5781,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20250131,2025-01-28T19:21:00Z,2025-01-31T19:27:00Z,EST,32.94,1.094,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20250131,2025-01-28T17:44:00Z,2025-01-31T17:52:00Z,EST,53.78,1.417,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20250131,2025-01-28T18:49:00Z,2025-01-31T18:08:00Z,EST,51.3,1.41,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Saltwater,E3,SW_E3_DOC_20250131,2025-01-28T17:57:00Z,2025-01-31T18:55:00Z,EST,11.99,0.7017,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Saltwater,F4,SW_F4_DOC_20250131,2025-01-28T17:55:00Z,2025-01-31T18:51:00Z,EST,60.74,2.508,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20250131,2025-01-28T17:53:00Z,2025-01-31T18:47:00Z,EST,30.94,1.255,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Saltwater,H6,SW_H6_DOC_20250131,2025-01-28T18:00:00Z,2025-01-31T19:00:00Z,EST,55.88,1.829,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Control,B4,C_B4_DOC_20250204,2025-01-31T17:19:00Z,2025-02-04T15:55:00Z,EST,27.65,0.8189,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Control,C3,C_C3_DOC_20250204,2025-01-31T16:37:00Z,2025-02-04T15:43:00Z,EST,29.65,0.6686,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Control,C6,C_C6_DOC_20250204,2025-01-31T17:35:00Z,2025-02-04T16:07:00Z,EST,20.61,0.5474,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Control,D5,C_D5_DOC_20250204,2025-01-31T17:27:00Z,2025-02-04T16:15:00Z,EST,20.73,0.5411,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Control,E3,C_E3_DOC_20250204,2025-01-31T16:26:00Z,2025-02-04T15:33:00Z,EST,28.82,0.73740000000000006,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Control,F4,C_F4_DOC_20250204,2025-01-31T16:23:00Z,2025-02-04T15:26:00Z,EST,18.53,0.5041,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Control,F6,C_F6_DOC_20250204,2025-01-31T16:21:00Z,2025-02-04T15:19:00Z,EST,61.09,1.366,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Control,H3,C_H3_DOC_20250204,2025-01-31T15:51:00Z,2025-02-04T14:41:00Z,EST,28.35,0.9795,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Control,H6,C_H6_DOC_20250204,2025-01-31T16:13:00Z,2025-02-04T15:06:00Z,EST,34.06,0.9847,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Control,I5,C_I5_DOC_20250204,2025-01-31T16:00:00Z,2025-02-04T14:53:00Z,EST,23.44,0.6517,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Freshwater,B4,FW_B4_DOC_20250204,2025-01-31T19:12:00Z,2025-02-04T19:07:00Z,EST,16.71,1.074,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Freshwater,C3,FW_C3_DOC_20250204,2025-01-31T19:14:00Z,2025-02-04T19:17:00Z,EST,22.56,0.6396,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Freshwater,C6,FW_C6_DOC_20250204,2025-01-31T19:05:00Z,2025-02-04T18:58:00Z,EST,10.73,0.498,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Freshwater,D5,FW_D5_DOC_20250204,2025-01-31T19:08:00Z,2025-02-04T19:24:00Z,EST,21.4,0.6562,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Freshwater,E3,FW_E3_DOC_20250204,2025-01-31T19:16:00Z,2025-02-04T19:33:00Z,EST,19.4,0.633,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Freshwater,F4,FW_F4_DOC_20250204,2025-01-31T19:18:00Z,2025-02-04T19:44:00Z,EST,19.47,0.5781,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Freshwater,F6,FW_F6_DOC_20250204,2025-01-31T19:33:00Z,2025-02-04T20:22:00Z,EST,18.19,0.5225,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Freshwater,H3,FW_H3_DOC_20250204,2025-01-31T19:20:00Z,2025-02-04T19:54:00Z,EST,15.4,0.5379,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Freshwater,H6,FW_H6_DOC_20250204,2025-01-31T19:31:00Z,2025-02-04T20:12:00Z,EST,20.43,0.7514,NA,TN r2 low
2025-02-04,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20250204,2025-01-31T19:27:00Z,2025-02-04T20:02:00Z,EST,27.28,0.8174,NA,TN r2 low
