Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.189,0.197,0.182,0.311,0.298,0.313,0.039,0.039,0.043,0.043,0.039,0.039
B,0.159,0.149,,0.592,0.593,0.52,0.042,0.039,0.038,0.04,0.043,0.042
C,0.129,0.129,0.118,1.063,1.123,0.992,0.038,0.038,0.038,0.048,0.048,0.043
D,0.081,0.087,0.082,0.047,0.048,0.047,0.073,0.084,0.08,0.087,0.093,0.138
E,0.061,0.063,0.061,0.047,0.047,0.047,0.038,0.037,0.037,0.047,0.047,0.048
F,0.052,0.053,0.053,0.047,0.047,0.047,0.037,0.038,0.043,0.047,0.048,0.047
G,0.045,0.045,0.045,0.047,0.047,0.047,0.037,0.037,0.038,0.047,0.048,0.049
H,0.038,0.038,0.039,0.038,0.038,0.039,0.037,0.059,0.039,0.037,0.039,0.039
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.321,0.312,0.284,0.518,0.464,0.471,0.144,0.178,0.169,0.213,0.224,0.212
B,0.242,0.245,0.221,0.753,0.783,0.764,0.134,0.152,0.118,0.271,0.261,0.342
C,0.191,0.183,0.193,1.148,1.213,1.029,0.118,0.093,0.115,0.312,0.311,0.313
D,0.2,0.18,0.166,1.623,1.121,0.47,0.073,0.084,0.08,0.087,0.092,0.138
E,0.085,0.086,0.083,0.047,0.047,0.047,0.058,0.063,0.056,0.047,0.047,0.048
F,0.068,0.066,0.068,0.047,0.047,0.047,0.057,0.052,0.063,0.047,0.048,0.047
G,0.05,0.052,0.052,0.047,0.047,0.047,0.045,0.045,0.047,0.047,0.048,0.049
H,0.04,0.041,0.04,0.039,0.039,0.04,0.039,0.04,0.04,0.038,0.04,0.04
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,Fe_2_60 uM,Fe_2_60 uM,Fe_2_60 uM,Fe_2_100_uM,Fe_2_100_uM,Fe_2_100_uM,Fe_3_60 uM,Fe_3_60 uM,Fe_3_60 uM,Fe_3_100 uM,Fe_3_100 uM,Fe_3_100 uM
B,Fe_2_45 uM,Fe_2_45 uM,Fe_2_45 uM,Fe_2_250 uM,Fe_2_250 uM,Fe_2_250 uM,Fe_3_45 uM,Fe_3_45 uM,Fe_3_45 uM,Fe_3_250 uM,Fe_3_250 uM,Fe_3_250 uM
C,Fe_2_30 uM,Fe_2_30 uM,Fe_2_30 uM,Fe_2_500 uM,Fe_2_500 uM,Fe_2_500 uM,Fe_3_30 uM,Fe_3_30 uM,Fe_3_30 uM,Fe_3_500 uM,Fe_3_500 uM,Fe_3_500 uM
D,Fe_2_18 uM,Fe_2_18 uM,Fe_2_18 uM,NA,NA,NA,Fe_3_18 uM,Fe_3_18 uM,Fe_3_18 uM,NA,NA,NA
E,Fe_2_9 uM,Fe_2_9 uM,Fe_2_9 uM,NA,NA,NA,Fe_3_9 uM,Fe_3_9 uM,Fe_3_9 uM,NA,NA,NA
F,Fe_2_6 uM,Fe_2_6 uM,Fe_2_6 uM,NA,NA,NA,Fe_3_6 uM,Fe_3_6 uM,Fe_3_6 uM,NA,NA,NA
G,Fe_2_3 uM,Fe_2_3 uM,Fe_2_3 uM,NA,NA,NA,Fe_3_3 uM,Fe_3_3 uM,Fe_3_3 uM,NA,NA,NA
H,Fe_2_0.6 uM,Fe_2_0.6 uM,Fe_2_0.6 uM,0.5 M HCl,0.5 M HCl,0.5 M HCl,Fe_3_0.6 uM,Fe_3_0.6 uM,Fe_3_0.6 uM,0.5 M HCl,0.5 M HCl,0.5 M HCl
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
