Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.187,0.193,0.189,0.048,0.049,0.047,0.102,0.097,0.094,0.046,0.047,0.051
B,0.073,0.081,0.075,0.047,0.046,0.046,0.119,0.115,0.114,0.047,0.047,0.047
C,0.054,0.052,0.052,0.071,0.069,0.068,0.088,0.073,0.085,0.047,0.047,0.047
D,0.038,0.037,0.037,0.1,0.097,0.095,0.087,0.084,0.084,0.047,0.047,0.048
E,0.039,0.039,0.038,0.062,0.059,0.059,1.097,0.981,1.097,0.047,0.047,0.047
F,0.037,0.037,0.046,0.116,0.113,0.114,0.49,0.583,0.566,0.047,0.047,0.047
G,0.037,0.038,0.037,0.133,0.125,0.125,0.967,1.219,1.19,0.047,0.047,0.047
H,0.038,0.038,0.038,0.181,0.182,0.179,0.933,1.276,1.074,0.047,0.047,0.046
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.307,0.306,0.297,0.051,0.05,0.048,0.107,0.099,0.097,0.047,0.047,0.051
B,0.113,0.111,0.116,0.048,0.047,0.048,0.121,0.119,0.12,0.047,0.047,0.046
C,0.065,0.067,0.063,0.083,0.098,0.082,0.087,0.089,0.085,0.047,0.047,0.047
D,0.038,0.037,0.038,0.101,0.097,0.094,0.088,0.085,0.084,0.047,0.047,0.048
E,0.157,0.148,0.169,0.063,0.06,0.059,1.185,1.083,1.234,0.047,0.047,0.047
F,0.103,0.102,0.124,0.117,0.115,0.117,0.627,0.726,0.753,0.047,0.047,0.047
G,0.054,0.052,0.049,0.133,0.128,0.127,1.349,1.279,1.234,0.047,0.047,0.047
H,0.038,0.038,0.038,0.189,0.189,0.184,1.304,1.237,1.129,0.047,0.047,0.047
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,Fe_2_60 uM,Fe_2_60 uM,Fe_2_60 uM,FW_D5_20231002,FW_D5_20231002,FW_D5_20231002,SW_F6_202311,SW_F6_20231116,SW_F6_202311,NA,NA,NA
B,Fe_2_18 uM,Fe_2_18 uM,Fe_2_18 uM,FW_E3_20231002,FW_E3_20231002,FW_E3_20231002,C_H3_20231002,C_H3_20231002,C_H3_20231002,NA,NA,NA
C,Fe_2_6 uM,Fe_2_6 uM,Fe_2_6 uM,FW_H3_20231002,FW_H3_20231002,FW_H3_20231002,C_I5_20231002,C_I5_20231002,C_I5_20231002,NA,NA,NA
D,0.5 M HCl,0.5 M HCl,0.5 M HCl,FW_I5_20231002,FW_I5_20231002,FW_I5_20231002,C_15_20231002_dup,C_15_20231002_dup,C_15_20231002_dup,NA,NA,NA
E,Fe_3_60 uM,Fe_3_60 uM,Fe_3_60 uM,SW_C3_20231002,SW_C3_20231002,SW_C3_20231002,AQUIFER_A,AQUIFER_A,AQUIFER_A,NA,NA,NA
F,Fe_3_30 uM,Fe_3_30 uM,Fe_3_30 uM,SW_D5_20231002,SW_D5_20231002,SW_D5_20231002,AQUIFER_A_spk,AQUIFER_A_spk,AQUIFER_A_spk,NA,NA,NA
G,Fe_3_6 uM,Fe_3_6 uM,Fe_3_6 uM,SW_F6_20231002,SW_F6_20231002,SW_F6_20231002,AQUIFER_B,AQUIFER_B,AQUIFER_B,NA,NA,NA
H,0.5 M HCl,0.5 M HCl,0.5 M HCl,SW_H3_20231002,SW_H3_20231002,SW_H3_20231002,AQUIFER_C,AQUIFER_C,AQUIFER_C,NA,NA,NA
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
