Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.039,0.037,0.037,0.226,0.253,0.245,0.04,0.04,0.039,0.039,0.039,0.041
B,0.036,0.037,0.036,0.487,0.51,0.499,0.039,0.039,0.039,0.041,0.043,0.041
C,0.037,0.037,0.037,NA,0.871,0.863,0.038,0.038,0.038,0.042,0.044,0.044
D,0.039,0.036,0.036,0.174,0.154,0.154,0.038,0.038,0.038,0.056,0.059,0.057
E,0.038,0.036,0.037,0.123,0.131,0.121,0.037,0.037,0.037,0.047,0.047,0.048
F,0.049,0.056,0.05,0.095,0.105,0.092,0.037,0.038,0.038,0.047,0.047,0.047
G,0.043,0.042,0.044,0.071,0.073,0.074,0.037,0.037,0.037,0.047,0.047,0.047
H,0.038,0.039,0.038,0.039,0.037,0.037,0.039,0.037,0.039,0.038,0.038,0.038
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.059,0.038,0.037,0.399,0.421,0.472,0.163,0.164,0.183,0.219,0.262,0.229
B,0.036,0.037,0.037,0.652,0.747,0.68,0.136,0.164,0.125,NA,0.305,0.294
C,0.037,0.037,0.036,0.91,0.963,0.966,0.103,0.113,NA,0.351,0.365,0.363
D,0.039,0.037,0.036,0.289,0.27,0.271,0.076,0.088,0.082,0.073,0.08,0.074
E,0.038,0.036,0.037,0.205,0.224,0.196,0.057,0.054,NA,0.05,0.047,0.048
F,0.063,0.075,0.061,0.157,0.156,0.166,0.047,0.052,0.051,0.047,0.047,0.047
G,0.05,0.051,0.055,0.103,0.117,0.12,0.045,0.042,0.044,0.047,0.049,0.047
H,0.041,0.04,0.04,0.039,0.04,0.038,NA,0.039,0.04,0.038,0.04,0.041
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,Fe_2_100_uM,Fe_2_100_uM,Fe_2_100_uM,Fe_3_60 uM,Fe_3_60 uM,Fe_3_60 uM,Fe_3_100 uM,Fe_3_100 uM,Fe_3_100 uM
B,NA,NA,NA,Fe_2_250 uM,Fe_2_250 uM,Fe_2_250 uM,Fe_3_45 uM,Fe_3_45 uM,Fe_3_45 uM,Fe_3_250 uM,Fe_3_250 uM,Fe_3_250 uM
C,NA,NA,NA,Fe_2_500 uM,Fe_2_500 uM,Fe_2_500 uM,Fe_3_30 uM,Fe_3_30 uM,Fe_3_30 uM,Fe_3_500 uM,Fe_3_500 uM,Fe_3_500 uM
D,NA,NA,NA,Fe_2_60 uM,Fe_2_60 uM,Fe_2_60 uM,Fe_3_18 uM,Fe_3_18 uM,Fe_3_18 uM,Fe_2_9 uM,Fe_2_9 uM,Fe_2_9 uM
E,NA,NA,NA,Fe_2_45 uM,Fe_2_45 uM,Fe_2_45 uM,Fe_3_9 uM,Fe_3_9 uM,Fe_3_9 uM,NA,NA,NA
F,Fe_2_6 uM,Fe_2_6 uM,Fe_2_6 uM,Fe_2_30 uM,Fe_2_30 uM,Fe_2_30 uM,Fe_3_6 uM,Fe_3_6 uM,Fe_3_6 uM,NA,NA,NA
G,Fe_2_3 uM,Fe_2_3 uM,Fe_2_3 uM,Fe_2_18 uM,Fe_2_18 uM,Fe_2_18 uM,Fe_3_3 uM,Fe_3_3 uM,Fe_3_3 uM,NA,NA,NA
H,Fe_2_0.6 uM,Fe_2_0.6 uM,Fe_2_0.6 uM,0.5 M HCl,0.5 M HCl,0.5 M HCl,Fe_3_0.6 uM,Fe_3_0.6 uM,Fe_3_0.6 uM,0.5 M HCl,0.5 M HCl,0.5 M HCl
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
Conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,100,100,100,60,60,60,100,100,100
B,,,,250,250,250,45,45,45,250,250,250
C,,,,500,500,500,30,30,30,500,500,500
D,,,,60,60,60,18,18,18,9,9,9
E,,,,45,45,45,9,9,9,,,
F,6,6,6,30,30,30,6,6,6,,,
G,3,3,3,18,18,18,3,3,3,,,
H,0.6,0.6,0.6,0,0,0,0.6,0.6,0.6,0,0,0
