Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.158,0.133,0.159,0.045,0.052,0.047,0.051,0.048,0.049,0.042,0.042,0.042
B,0.061,0.061,0.079,0.045,0.045,0.043,0.045,0.044,0.045,0.078,0.071,0.058
C,0.04,0.039,0.039,0.043,0.044,0.043,0.056,0.049,0.052,0.058,0.06,0.054
D,0.039,0.038,0.038,0.048,0.048,0.047,0.05,0.056,0.047,0.039,0.039,0.039
E,0.04,0.039,0.04,0.048,0.051,0.05,0.159,0.15,0.153,0.038,0.038,0.039
F,0.038,0.038,0.039,0.055,0.053,0.056,0.176,0.203,0.182,0.039,0.04,0.039
G,0.038,0.038,0.038,0.042,0.046,0.045,0.06,0.053,0.053,0.038,0.038,0.039
H,0.038,0.038,0.038,0.044,0.048,0.048,0.056,0.051,0.056,0.043,0.043,0.043
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.264,0.252,0.26,0.054,0.056,0.054,0.054,0.052,0.053,0.045,0.046,0.044
B,0.08,0.079,0.101,0.05,0.051,0.05,0.048,0.047,0.047,0.082,0.084,0.08
C,0.042,0.041,0.041,0.046,0.047,0.045,0.059,0.057,0.057,0.073,0.07,0.07
D,0.04,0.039,0.038,0.051,0.049,0.051,0.056,0.058,0.057,0.044,0.044,0.044
E,0.194,0.195,0.172,0.055,0.058,0.058,0.169,0.157,0.156,0.045,0.046,0.045
F,0.063,0.06,0.058,0.056,0.056,0.057,0.259,0.296,0.268,0.049,0.049,0.048
G,0.039,0.041,0.04,0.047,0.046,0.047,0.062,0.057,0.056,0.043,0.043,0.043
H,0.039,0.039,0.039,0.052,0.051,0.05,0.072,0.072,0.078,0.046,0.045,0.046
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,Fe_2_45,Fe_2_45,Fe_2_45,T5_20240613_FW_B4,T5_20240613_FW_B4,T5_20240613_FW_B4,T5_20240613_FW_H6,T5_20240613_FW_H6,T5_20240613_FW_H6,T5_20240613_SW_H3,T5_20240613_SW_H3,T5_20240613_SW_H3
B,Fe_2_9,Fe_2_9,Fe_2_9,T5_20240613_FW_C3,T5_20240613_FW_C3,T5_20240613_FW_C3,T5_20240613_FW_I5,T5_20240613_FW_I5,T5_20240613_FW_I5,T5_20240613_SW_H6,T5_20240613_SW_H6,T5_20240613_SW_H6
C,Fe_2_0.6,Fe_2_0.6,Fe_2_0.6,T5_20240613_FW_C6,T5_20240613_FW_C6,T5_20240613_FW_C6,T5_20240613_SW_B4,T5_20240613_SW_B4,T5_20240613_SW_B4,T5_20240613_SW_I5,T5_20240613_SW_I5,T5_20240613_SW_I5
D,Blank,Blank,Blank,T5_20240613_FW_D5,T5_20240613_FW_D5,T5_20240613_FW_D5,T5_20240613_SW_B4_DUP,T5_20240613_SW_B4_DUP,T5_20240613_SW_B4_DUP,20240617_FW_C6,20240617_FW_C6,20240617_FW_C6
E,Fe_3_60,Fe_3_60,Fe_3_60,T5_20240613_FW_E3,T5_20240613_FW_E3,T5_20240613_FW_E3,T5_20240613_SW_C3,T5_20240613_SW_C3,T5_20240613_SW_C3,20240617_FW_D5,20240617_FW_D5,20240617_FW_D5
F,Fe_3_9,Fe_3_9,Fe_3_9,T5_20240613_FW_F4,T5_20240613_FW_F4,T5_20240613_FW_F4,T5_20240613_SW_SPK,T5_20240613_SW_SPK,T5_20240613_SW_SPK,20240617_FW_F4,20240617_FW_F4,20240617_FW_F4
G,Fe_3_0.6,Fe_3_0.6,Fe_3_0.6,T5_20240613_FW_F6,T5_20240613_FW_F6,T5_20240613_FW_F6,T5_20240613_SW_D5,T5_20240613_SW_D5,T5_20240613_SW_D5,20240617_FW_H6,20240617_FW_H6,20240617_FW_H6
H,Blank,Blank,Blank,T5_20240613_FW_H3,T5_20240613_FW_H3,T5_20240613_FW_H3,T5_20240613_SW_F6,T5_20240613_SW_F6,T5_20240613_SW_F6,20240617_FW_I5,20240617_FW_I5,20240617_FW_I5
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
