Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.235,0.269,0.182,0.053,0.049,0.049,0.052,0.054,0.054,0.048,0.048,0.047
B,0.057,0.066,0.064,0.069,0.068,0.068,0.046,0.046,0.05,0.043,0.042,0.045
C,0.039,0.039,0.039,0.064,0.067,0.058,0.107,0.092,0.101,0.067,0.046,0.045
D,0.038,0.038,0.037,0.055,0.057,0.052,0.083,0.085,0.081,0.044,0.044,0.044
E,0.04,0.039,0.04,0.058,0.057,0.055,0.145,0.203,0.199,0.051,0.048,0.053
F,0.038,0.038,0.038,0.049,0.051,0.05,0.055,0.061,0.062,0.05,0.05,0.049
G,0.038,0.037,0.037,0.046,0.043,0.044,0.223,0.198,0.124,0.051,0.048,0.05
H,0.037,0.037,0.038,0.049,0.051,0.049,0.049,0.053,0.053,0.042,0.042,0.044
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.402,0.404,0.37,0.062,0.057,0.056,0.061,0.058,0.057,0.051,0.05,0.05
B,0.087,0.097,0.093,0.073,0.071,0.07,0.053,0.051,0.052,0.048,0.047,0.047
C,0.042,0.042,0.043,0.077,0.076,0.072,0.114,0.112,0.119,0.052,0.052,0.051
D,0.039,0.038,0.038,0.057,0.056,0.055,0.113,0.111,0.11,0.048,0.048,0.049
E,0.18,0.238,0.212,0.066,0.07,0.07,0.215,0.232,0.224,0.061,0.058,0.058
F,0.07,0.07,0.056,0.054,0.052,0.053,0.064,0.063,0.063,0.053,0.053,0.051
G,0.04,0.04,0.041,0.056,0.054,0.055,0.253,0.232,0.238,0.059,0.054,0.056
H,0.038,0.038,0.038,0.053,0.052,0.051,0.056,0.057,0.059,0.046,0.046,0.046
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,Fe_2_60 uM,Fe_2_60 uM,Fe_2_60 uM,T0_20240610_FW_C6,T0_20240610_FW_C6,T0_20240610_FW_C6,T1_20240611_FW_F4,T1_20240611_FW_F4,T1_20240611_FW_F4,T2_20240612_FW_C6,T2_20240612_FW_C6,T2_20240612_FW_C6
B,Fe_2_18 uM,Fe_2_18 uM,Fe_2_18 uM,T0_20240610_FW_F4,T0_20240610_FW_F4,T0_20240610_FW_F4,T1_20240611_FW_I5,T1_20240611_FW_I5,T1_20240611_FW_I5,T2_20240612_FW_D5,T2_20240612_FW_D5,T2_20240612_FW_D5
C,Fe_2_0.6 uM,Fe_2_0.6 uM,Fe_2_0.6 uM,T0_20240610_FW_H6,T0_20240610_FW_H6,T0_20240610_FW_H6,T1_20240611_SW_B4,T1_20240611_SW_B4,T1_20240611_SW_B4,T2_20240612_FW_E3,T2_20240612_FW_E3,T2_20240612_FW_E3
D,0.5 M HCl,0.5 M HCl,0.5 M HCl,T0_20240610_FW_I5,T0_20240610_FW_I5,T0_20240610_FW_I5,T1_20240611_SW_B4_DUP,T1_20240611_SW_B4_DUP,T1_20240611_SW_B4_DUP,T2_20240612_FW_F4,T2_20240612_FW_F4,T2_20240612_FW_F4
E,Fe_3_60 uM,Fe_3_60 uM,Fe_3_60 uM,T0_20240610_C_H6,T0_20240610_C_H6,T0_20240610_C_H6,T1_20240611_SW_F6,T1_20240611_SW_F6,T1_20240611_SW_F6,T2_20240612_FW_F6,T2_20240612_FW_F6,T2_20240612_FW_F6
F,Fe_3_30 uM,Fe_3_30 uM,Fe_3_30 uM,T1_20240611_FW_C3,T1_20240611_FW_C3,T1_20240611_FW_C3,T2_20240612_FW_B4,T2_20240612_FW_B4,T2_20240612_FW_B4,T2_20240612_FW_H3,T2_20240612_FW_H3,T2_20240612_FW_H3
G,Fe_3_0.6 uM,Fe_3_0.6 uM,Fe_3_0.6 uM,T1_20240611_FW_C6,T1_20240611_FW_C6,T1_20240611_FW_C6,T1_20240611_SW_F6_DUP,T1_20240611_SW_F6_DUP,T1_20240611_SW_F6_DUP,T2_20240612_FW_H6,T2_20240612_FW_H6,T2_20240612_FW_H6
H,0.5 M HCl,0.5 M HCl,0.5 M HCl,T1_20240611_FW_D5,T1_20240611_FW_D5,T1_20240611_FW_D5,T2_20240612_FW_C3,T2_20240612_FW_C3,T2_20240612_FW_C3,T2_20240612_FW_I5,T2_20240612_FW_I5,T2_20240612_FW_I5
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
