"Project","Region","Sample_ID","Sample_Year","Sample_Month","Sample_Day","Site","Event","Plot","Location","Depth_cm","Timepoint","Sample_Type","Evacuation_date_YYYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Notes","integration_time_s","dilution_factor","RSU_area_1s","abs_file_id","eem_file_id"
"COMPASS","CB","TMP_PW_SW_B4_15CM_20250131",2025,1,31,"TMP","Monitoring","S","B4","15","NA","PW",20250128,20250131,1244,1252,"EST","colored; field collection",2,0.133333333333333,2449.82606,"TMP_PW_SW_B4_15CM_20250131_ABS_DilCorr.csv","TMP_PW_SW_B4_15CM_20250131_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_SW_C3_15CM_20250131",2025,1,31,"TMP","Monitoring","S","C3","15","NA","PW",20250128,20250131,1349,1308,"EST","colored; field collection",2,0.133333333333333,2449.82606,"TMP_PW_SW_C3_15CM_20250131_ABS_DilCorr.csv","TMP_PW_SW_C3_15CM_20250131_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_SW_F4_15CM_20250131",2025,1,31,"TMP","Monitoring","S","F4","15","NA","PW",20250128,20250131,1255,1351,"EST","colored; sub-sampled in lab at 1516",2,0.1,2449.82606,"TMP_PW_SW_F4_15CM_20250131_ABS_DilCorr.csv","TMP_PW_SW_F4_15CM_20250131_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_FW_I5_15CM_20250131",2025,1,31,"TMP","Monitoring","F","I5","15","NA","PW",20250128,20250131,1421,1427,"EST","light color; sub-sampled in lab at 1627",2,0.266666666666667,2449.82606,"TMP_PW_FW_I5_15CM_20250131_ABS_DilCorr.csv","TMP_PW_FW_I5_15CM_20250131_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_C_C3_15CM_20250131",2025,1,31,"TMP","Monitoring","C","C3","15","NA","PW",20250128,20250131,1225,1137,"EST",NA,2,0.233333333333333,2449.82606,"TMP_PW_C_C3_15CM_20250131_ABS_DilCorr.csv","TMP_PW_C_C3_15CM_20250131_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_SW_F6_15CM_20250131",2025,1,31,"TMP","Monitoring","S","F6","15","NA","PW",20250128,20250131,1253,1347,"EST","colored; sub-sampled in the lab at 1525",2,0.3,2449.82606,"TMP_PW_SW_F6_15CM_20250131_ABS_DilCorr.csv","TMP_PW_SW_F6_15CM_20250131_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_FW_C6_15CM_20250131",2025,1,31,"TMP","Monitoring","F","C6","15","NA","PW",20250128,20250131,1314,1405,"EST","sub-sampled in lab at 1549",2,0.666666666666667,2449.82606,"TMP_PW_FW_C6_15CM_20250131_ABS_DilCorr.csv","TMP_PW_FW_C6_15CM_20250131_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_FW_D5_15CM_20250131",2025,1,31,"TMP","Monitoring","F","D5","15","NA","PW",20250128,20250131,1316,1408,"EST","sub-sampled in lab at 1619",2,0.466666666666667,2449.82606,"TMP_PW_FW_D5_15CM_20250131_ABS_DilCorr.csv","TMP_PW_FW_D5_15CM_20250131_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_FW_H3_15CM_20250131",2025,1,31,"TMP","Monitoring","F","H3","15","NA","PW",20250128,20250131,1426,1420,"EST","sub-sampled in lab at 1611",2,0.5,2449.82606,"TMP_PW_FW_H3_15CM_20250131_ABS_DilCorr.csv","TMP_PW_FW_H3_15CM_20250131_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_C_B4_15CM_20250131",2025,1,31,"TMP","Monitoring","C","B4","15","NA","PW",20250128,20250131,1236,1219,"EST",NA,2,0.333333333333333,2449.82606,"TMP_PW_C_B4_15CM_20250131_ABS_DilCorr.csv","TMP_PW_C_B4_15CM_20250131_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_C_E3_15CM_20250131",2025,1,31,"TMP","Monitoring","C","E3","15","NA","PW",20250128,20250131,1222,1126,"EST",NA,2,0.333333333333333,2449.82606,"TMP_PW_C_E3_15CM_20250131_ABS_DilCorr.csv","TMP_PW_C_E3_15CM_20250131_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_C_H6_15CM_20250131",2025,1,31,"TMP","Monitoring","C","H6","15","NA","PW",20250128,20250131,1215,1113,"EST",NA,2,0.266666666666667,2449.82606,"TMP_PW_C_H6_15CM_20250131_ABS_DilCorr.csv","TMP_PW_C_H6_15CM_20250131_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_C_I5_15CM_20250131",2025,1,31,"TMP","Monitoring","C","I5","15","NA","PW",20250128,20250131,1212,1100,"EST",NA,2,0.6,2449.82606,"TMP_PW_C_I5_15CM_20250131_ABS_DilCorr.csv","TMP_PW_C_I5_15CM_20250131_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_C_B4_15CM_20250204",2025,2,4,"TMP","Monitoring","C","B4","15","NA","PW",20250131,20250204,1219,1055,"EST",NA,2,0.333333333333333,2431.17885,"TMP_PW_C_B4_15CM_20250204_ABS_DilCorr.csv","TMP_PW_C_B4_15CM_20250204_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_C_C3_15CM_20250204",2025,2,4,"TMP","Monitoring","C","C3","15","NA","PW",20250131,20250204,1137,1043,"EST","light color",2,0.266666666666667,2431.17885,"TMP_PW_C_C3_15CM_20250204_ABS_DilCorr.csv","TMP_PW_C_C3_15CM_20250204_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_C_C6_15CM_20250204",2025,2,4,"TMP","Monitoring","C","C6","15","NA","PW",20250131,20250204,1235,1107,"EST",NA,2,0.266666666666667,2431.17885,"TMP_PW_C_C6_15CM_20250204_ABS_DilCorr.csv","TMP_PW_C_C6_15CM_20250204_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_C_D5_15CM_20250204",2025,2,4,"TMP","Monitoring","C","D5","15","NA","PW",20250131,20250204,1227,1115,"EST",NA,2,0.333333333333333,2431.17885,"TMP_PW_C_D5_15CM_20250204_ABS_DilCorr.csv","TMP_PW_C_D5_15CM_20250204_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_C_E3_15CM_20250204",2025,2,4,"TMP","Monitoring","C","E3","15","NA","PW",20250131,20250204,1126,1033,"EST",NA,2,0.266666666666667,2431.17885,"TMP_PW_C_E3_15CM_20250204_ABS_DilCorr.csv","TMP_PW_C_E3_15CM_20250204_EEM_DilCorr_IFE_RamNorm.csv"
