Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	3.1	0.0117	14.45	0.0137	0.03
5	Standard 1	Calibration Standard	3.103	5.1193	93.22	5.992	62.18
6	Standard 2	Calibration Standard	3.1	9.9352	93.15	11.6289	119.47
7	Standard 3	Calibration Standard	3.097	19.7977	93.05	23.1728	234.19
8	Standard 4	Calibration Standard	3.08	101.2949	93.07	118.5634	1160.15
9	Standard 5	Calibration Standard	3.083	199.373	92.94	233.3615	2262.43
10	Lab Blank	Unknown	3.1	0.0207	24.17	0.0242	0.13
11	Lab Blank	Unknown	3.1	0.0143	18.1	0.0167	0.06
12	92_TEMPEST_FW_D5_20250602_15cm	Unknown	3.107	0.034	0.01	0.0008	0.02
13	93_TEMPEST_FW_C3_20250602_15cm	Unknown	3.107	17.6029	5.14	0.4121	4.49
14	94_TEMPEST_FW_C6_20250602_15cm	Unknown	3.107	0.2138	0.06	0.005	0.08
15	95_TEMPEST_FW_I5_20250602_15cm	Unknown	3.107	0.3591	0.1	0.0084	0.12
16	96_TEMPEST_FW_F4_20250711_15cm	Unknown	3.107	0.4786	0.13	0.0112	0.16
17	97_TEMPEST_FW_C3_20250711_15cm	Unknown	3.11	0.8746	0.25	0.0205	0.28
18	98_TEMPEST_FW_C6_20250711_15cm	Unknown	3.11	0.3108	0.09	0.0073	0.11
19	99_TEMPEST_FW_H3_20250711_15cm	Unknown	3.107	0.7916	0.23	0.0185	0.25
20	100_TEMPEST_FW_I5_20250711_15cm	Unknown	3.107	0.0847	0.02	0.002	0.04
