Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	4.213	0.0259	24.09	0.0229	0.02
5	Standard 1	Calibration Standard	4.227	0.4926	6.78	0.4357	3.54
6	Standard 2	Calibration Standard	4.223	0.9404	6.66	0.8319	6.7
7	Standard 3	Calibration Standard	4.217	1.9183	6.81	1.697	13.49
8	Standard 4	Calibration Standard	4.173	9.9578	6.92	8.809	62.75
9	Standard 5	Calibration Standard	4.133	20.0324	7.06	17.7214	112.2
10	Lab Blank	Unknown	4.223	0.045	39.81	0.0399	0.03
11	Lab Blank	Unknown	4.223	0.0121	11.58	0.0107	0.02
12	92_TEMPEST_FW_D5_20250602_15cm	Unknown	4.22	0.4973	0.1	0.0088	0.07
13	93_TEMPEST_FW_C3_20250602_15cm	Unknown	4.22	0.7647	0.17	0.0135	0.11
14	94_TEMPEST_FW_C6_20250602_15cm	Unknown	4.22	0.8893	0.19	0.0157	0.13
15	95_TEMPEST_FW_I5_20250602_15cm	Unknown	4.133	0.0954	0.02	0.0017	0
16	96_TEMPEST_FW_F4_20250711_15cm	Unknown	4.217	0.4377	0.09	0.0077	0.07
17	97_TEMPEST_FW_C3_20250711_15cm	Unknown	4.217	0.3939	0.08	0.007	0.06
18	98_TEMPEST_FW_C6_20250711_15cm	Unknown	4.223	1.1597	0.26	0.0205	0.17
19	99_TEMPEST_FW_H3_20250711_15cm	Unknown	4.1	9.3896	2.04	0.1661	0
20	100_TEMPEST_FW_I5_20250711_15cm	Unknown	4.11	0.1402	0.03	0.0025	0
