"","Sample_ID","Project","Plot","Grid","Depth_cm","Event_Time","Time_of_day","Volume_mL","Collection_Date_YYYYMMDD","Evacuation_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","TMP_ESTUARY_SOURCEWATER_20230606_T1_","TMP","ESTUARY","Source",NA,"T1","AM",5,"20230606",NA,NA,632,"557.6408","17.3936618839676",NA,NA,"4194.5484","118.322944992948",NA,NA,"7.5795749588",NA,NA,NA
"2","TMP_ESTUARY_SOURCEWATER_20230606_T2_","TMP","ESTUARY","Source",NA,"T2","PM",5,"20230606",NA,NA,1236,"480.7045","14.99390205864",NA,NA,"3636.5862","102.583531734838",NA,NA,"6.5713372634",NA,NA,NA
"3","TMP_ESTUARY_SOURCEWATER_20230606_T3_","TMP","ESTUARY","Source",NA,"T3","PM",5,"20230606",NA,NA,1524,"519.0515","16.1900031191516",NA,NA,"3928.058","110.805585331453",NA,NA,"7.098026806",NA,NA,NA
"4","TMP_ESTUARY_SOURCEWATER_20230607_T1_","TMP","ESTUARY","Source",NA,"T1","AM",5,"20230607",NA,NA,710,"581.2849","18.1311572052402",NA,NA,"4335.7195","122.305204513399",NA,NA,"7.8346711365",NA,NA,NA
"5","TMP_ESTUARY_SOURCEWATER_20230607_T2_","TMP","ESTUARY","Source",NA,"T2","PM",5,"20230607",NA,NA,1346,"547.2306","17.0689519650655",NA,NA,"4145.0144","116.92565303244",NA,NA,"7.4900670208",NA,NA,NA
"6","TMP_ESTUARY_SOURCEWATER_20230607_T3_","TMP","ESTUARY","Source",NA,"T3","PM",5,"20230607",NA,NA,1500,"553.9434","17.2783343730505",NA,NA,"4153.6146","117.168253878702",NA,NA,"7.5056075822",NA,NA,NA
"7","TMP_FW_SOURCEWATER_20230606_T1_","TMP","FW","Source",NA,"T1","AM",5,"20230606",NA,NA,718,"13.4461","0.419404242046163",NA,NA,"25.8769","0.729954866008462",NA,NA,"0.0467855583",NA,NA,NA
"8","TMP_FW_SOURCEWATER_20230606_T2_","TMP","FW","Source",NA,"T2","PM",5,"20230606",NA,NA,1326,"17.3696","0.541784154709919",NA,NA,"23.3014","0.657303244005642",NA,NA,"0.0421316298",NA,NA,NA
"9","TMP_FW_SOURCEWATER_20230606_T3_","TMP","FW","Source",NA,"T3","PM",5,"20230606",NA,NA,1511,"13.9474","0.43504054897068",NA,NA,"24.5413","0.692279266572637",NA,NA,"0.0443721291",NA,NA,NA
"10","TMP_FW_SOURCEWATER_20230607_T1_","TMP","FW","Source",NA,"T1","AM",5,"20230607",NA,NA,611,"12.776","0.398502807236432",NA,NA,"22.8178","0.64366149506347",NA,NA,"0.0412577646",NA,NA,NA
"11","TMP_FW_SOURCEWATER_20230607_T2_","TMP","FW","Source",NA,"T2","PM",5,"20230607",NA,NA,1246,"0.014","0.000436681222707424",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"12","TMP_FW_SOURCEWATER_20230607_T3_","TMP","FW","Source",NA,"T3","PM",5,"20230607",NA,NA,1519,"581.1936","18.1283094198378",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,"water in flow thru has one large bubble"
"13","TMP_SW_SOURCEWATER_20230606_T1_","TMP","SW","Source",NA,"T1","AM",5,"20230606",NA,NA,709,"181.224","5.65265127885215",NA,NA,"1507.7995","42.5331311706629",NA,NA,"2.7246196965",NA,NA,NA
"14","TMP_SW_SOURCEWATER_20230606_T2_","TMP","SW","Source",NA,"T2","PM",5,"20230606",NA,NA,1301,"556.0527","17.3441266375546",NA,NA,"4182.4438","117.981489421721",NA,NA,"7.5577019466",NA,NA,NA
"15","TMP_SW_SOURCEWATER_20230606_T3_","TMP","SW","Source",NA,"T3","PM",5,"20230606",NA,NA,1502,"537.7491","16.7732096069869",NA,NA,"4075.8849","114.975596614951",NA,NA,"7.3651500143",NA,NA,NA
