"","Project","Plot","Grid","Date","Time","Sample_ID","SO4_ppm","SO4_Area","Cl_ppm","Cl_Area","SO4_mM","Cl_mM","salinity"
"20","TEMPEST","FW","I5","20230607","0800","TEMPEST_FW_I5_20230607_0800",2.3636,2.5057,29.6801,38.0632,0.0737242669993762,0.837238363892807,0.0536579407
"21","TEMPEST","FW","I5","20230607","1600","TEMPEST_FW_I5_20230607_1600",10.9701,11.6299,23.0978,29.6217,0.342174048658765,0.65155994358251,0.0417637246
"22","TEMPEST","FW","SOURCE","20230607","0611","TEMPEST_FW_SOURCE_20230607_0611",12.776,13.5445,22.8178,29.2627,0.398502807236432,0.64366149506347,0.0412577646
"23","TEMPEST","FW","SOURCE","20230607","1300","TEMPEST_FW_SOURCE_20230607_1300",0.014,3e-04,0,0,0.000436681222707424,0,2.6e-05
"24","TEMPEST","FW","SOURCE","20230607","1519","TEMPEST_FW_SOURCE_20230607_1519",581.1936,13.5553,0,0,18.1283094198378,0,2.6e-05
"25","TEMPEST","SW","B4","20230607","0800","TEMPEST_SW_B4_20230607_0800",377.6524,8.8081,3087.8008,87.1188,11.7795508421709,87.1029844851904,5.5796820456
"26","TEMPEST","SW","B4","20230607","1600","TEMPEST_SW_B4_20230607_1600",440.3089,10.2694,3507.0649,98.9478,13.73390205864,98.929898448519,6.3372922743
"27","TEMPEST","SW","C3","20230607","0800","TEMPEST_SW_C3_20230607_0800",409.0203,9.5397,3340.0572,94.2359,12.7579631940112,94.2188208744711,6.0355093604
"28","TEMPEST","SW","C3","20230607","1600","TEMPEST_SW_C3_20230607_1600",434.1722,10.1263,3528.5845,99.555,13.5424890829694,99.5369393511989,6.3761781915
"29","TEMPEST","SW","C6","20230607","0800","TEMPEST_SW_C6_20230607_0800",191.714,4.4714,1712.0744,48.3042,5.97985028072364,48.2954696755994,3.0937444408
"30","TEMPEST","SW","C6","20230607","1600","TEMPEST_SW_C6_20230607_1600",211.2396,4.9268,1895.1985,53.4709,6.5888833437305,53.4611706629055,3.4246496895
"31","TEMPEST","SW","D5","20230607","0800","TEMPEST_SW_D5_20230607_0800",293.4522,6.8443,2353.5321,66.4022,9.15321896444167,66.3901861777151,4.2528585047
"32","TEMPEST","SW","D5","20230607","1600","TEMPEST_SW_D5_20230607_1600",274.7726,6.4086,2345.3236,66.1706,8.5705739238927,66.158634696756,4.2380257452
"33","TEMPEST","SW","E3","20230607","0800","TEMPEST_SW_E3_20230607_0800",307.0719,7.1619,2632.0821,74.2612,9.57803805364941,74.2477320169252,4.7561983547
"34","TEMPEST","SW","E3","20230607","1600","TEMPEST_SW_E3_20230607_1600",259.0745,6.0425,2327.3879,65.6646,8.08092638802246,65.6526911142454,4.2056159353
"35","TEMPEST","SW","F4","20230607","0800","TEMPEST_SW_F4_20230607_0800",302.8753,6.2503,2552.3805,63.7166,9.44713973799126,71.9994499294781,4.6121775635
"36","TEMPEST","SW","F4","20230607","1600","TEMPEST_SW_F4_20230607_1600",331.2376,7.3242,2631.1215,70.3774,10.3318028696195,74.220634696756,4.7544625505
"37","TEMPEST","SW","F6","20230607","0800","TEMPEST_SW_F6_20230607_0800",179.5693,4.1881,2040.5184,57.5709,5.60103867747972,57.5604626234133,3.6872427488
"38","TEMPEST","SW","F6","20230607","1600","TEMPEST_SW_F6_20230607_1600",241.3634,5.6294,2475.2435,69.8362,7.52849033063007,69.8235119887165,4.4727910045
"39","TEMPEST","SW","H3","20230607","1600","TEMPEST_SW_H3_20230607_1600",417.903,9.7469,3346.2074,94.4094,13.0350280723643,94.3923102961918,6.0466227718
"40","TEMPEST","SW","H6","20230607","0800","TEMPEST_SW_H6_20230607_0800",328.6347,7.6648,2596.6389,73.2612,10.2506144728634,73.2479238363893,4.6921524923
"41","TEMPEST","SW","H6","20230607","1600","TEMPEST_SW_H6_20230607_1600",348.1968,8.1211,2769.4651,78.1373,10.8607860262009,78.1231339915374,5.0044494357
"42","TEMPEST","SW","I5","20230607","0800","TEMPEST_SW_I5_20230607_0800",284.5868,6.6375,2842.5038,80.198,8.87669369931379,80.1834640338505,5.1364303666
"43","TEMPEST","SW","I5","20230607","1600","TEMPEST_SW_I5_20230607_1600",336.2264,7.8419,3120.4635,88.0403,10.4874111041797,88.0243582510578,5.6387035445
"44","TEMPEST","SW","SOURCE","20230607","0621","TEMPEST_SW_SOURCE_20230607_0621",571.0464,13.3187,4300.3781,121.3302,17.8118028696195,121.308267983075,7.7708092267
"45","TEMPEST","SW","SOURCE","20230607","1255","TEMPEST_SW_SOURCE_20230607_1255",514.2798,11.9947,3838.6255,108.3024,16.0411665626949,108.282806770099,6.9364222785
"46","TEMPEST","SW","SOURCE","20230607","1515","TEMPEST_SW_SOURCE_20230607_1515",553.2006,12.9024,4150.0979,117.0902,17.2551653150343,117.069052186178,7.4992529053
"47","TEMPEST","SW","SOURCE","20230607","1515spk","TEMPEST_SW_SOURCE_20230607_1515spk",535.8099,12.4968,4345.0138,122.5896,16.7127230193387,122.567385049365,7.8514659366
