"","Project","Plot","Grid","Date","Sample_ID","SO4_ppm","SO4_Area","Cl_ppm","Cl_Area","SO4_mM","Cl_mM","salinity"
"1","TEMEPST","FW","H6","20230608","TEMEPST_FW_H6_20230608",10.0574,10.8297,0,0,0.313705552089832,0,2.6e-05
"2","TEMEPST","SW","C3","20230608","TEMEPST_SW_C3_20230608",436.0629,10.33,3597.9994,103.0974,13.6014628820961,101.495046544429,6.5016109158
"3","TEMPEST","FW","B4","20230608","TEMPEST_FW_B4_20230608",28.2839,28.7072,0,0,0.882217716781035,0,2.6e-05
"4","TEMPEST","FW","C3","20230608","TEMPEST_FW_C3_20230608",11.6026,12.4935,24.1648,31.4737,0.361902682470368,0.681658674188999,0.0436917936
"5","TEMPEST","FW","D5","20230608","TEMPEST_FW_D5_20230608",3.1147,3.3538,27.7577,36.1532,0.0971522145976294,0.783009873060649,0.0501841639
"6","TEMPEST","FW","E3","20230608","TEMPEST_FW_E3_20230608",23.9154,24.2733,0,0,0.745957579538366,0,2.6e-05
"7","TEMPEST","FW","F4","20230608","TEMPEST_FW_F4_20230608",11.3258,12.1955,24.0322,31.301,0.353268870867124,0.677918194640338,0.0434521854
"8","TEMPEST","SW","B4","20230608","TEMPEST_SW_B4_20230608",457.36,10.8345,3706.9076,106.2181,14.2657517155334,104.567210155148,6.6984080332
"9","TEMPEST","SW","C6","20230608","TEMPEST_SW_C6_20230608",230.3789,5.174,2189.405,59.4761,7.18586712414223,61.7603667136812,3.956280835
"10","TEMPEST","SW","D5","20230608","TEMPEST_SW_D5_20230608",271.8114,6.439,2363.8493,67.734,8.4782096069869,66.681221438646,4.2715016851
"11","TEMPEST","SW","E3","20230608","TEMPEST_SW_E3_20230608",243.9557,5.7791,2299.434,65.8882,7.60934809731753,64.8641466854725,4.155103238
"12","TEMPEST","SW","F4","20230608","TEMPEST_SW_F4_20230608",331.4751,7.8524,2680.0956,76.7957,10.3392108546475,75.6021325811001,4.8429587492
"13","TEMPEST","SW","F6","20230608","TEMPEST_SW_F6_20230608",322.4074,7.6376,2978.7836,85.3543,10.0563755458515,84.0277461212976,5.3826879652
"14","TEMPEST","SW","H3","20230608","TEMPEST_SW_H3_20230608",449.9766,10.1058,3516.9592,95.5397,14.0354522769807,99.2090042313117,6.3551712744
"15","TEMPEST","SW","H6","20230608","TEMPEST_SW_H6_20230608",355.9622,7.9944,2795.8812,75.9513,11.1030006238303,78.8682990126939,5.0521833284
"16","TEMPEST","SW","I5","20230608","TEMPEST_SW_I5_20230608",413.5339,9.7963,3579.4092,102.5647,12.8987492202121,100.970640338505,6.4680184244
