"","Project","Plot","Grid","Date","Time","Sample_ID","SO4_ppm","SO4_Area","Cl_ppm","Cl_Area","SO4_mM","Cl_mM","salinity"
"1","TEMEPST","SW","SOURCE","20230606","1301","TEMEPST_SW_SOURCE_20230606_1301",556.0527,12.9549,4182.4438,117.2776,17.3441266375546,117.981489421721,7.5577019466
"2","TEMPEST","ESTUARY","SOURCE","20230606","0632","TEMPEST_ESTUARY_SOURCE_20230606_0632",557.6408,12.9919,4194.5484,117.617,17.3936618839676,118.322944992948,7.5795749588
"3","TEMPEST","ESTUARY","SOURCE","20230606","1236","TEMPEST_ESTUARY_SOURCE_20230606_1236",480.7045,11.1994,3636.5862,101.9715,14.99390205864,102.583531734838,6.5713372634
"4","TEMPEST","ESTUARY","SOURCE","20230606","1524","TEMPEST_ESTUARY_SOURCE_20230606_1524",519.0515,12.0928,3928.058,110.1445,16.1900031191516,110.805585331453,7.098026806
"5","TEMPEST","FW","B4","20230606","TEMPEST","TEMPEST_FW_B4_20230606",2.228,2.0763,173.8469,194.9897,0.0694946974422957,4.90400282087447,0.3141673483
"6","TEMPEST","FW","C3","20230606","TEMPEST","TEMPEST_FW_C3_20230606",12.2001,12.9198,27.3401,34.8467,0.380539613225203,0.771229901269393,0.0494295607
"7","TEMPEST","FW","C6","20230606","TEMPEST","TEMPEST_FW_C6_20230606",0.1956,0.1823,98.7008,110.7045,0.00610106051154086,2.78422566995769,0.1783783456
"8","TEMPEST","FW","D5","20230606","TEMPEST","TEMPEST_FW_D5_20230606",2.7038,2.8633,30.2096,38.5041,0.0843356207111666,0.852174894217207,0.0546147472
"9","TEMPEST","FW","F4","20230606","TEMPEST","TEMPEST_FW_F4_20230606",11.6992,12.3894,26.1745,33.3611,0.364915782907049,0.738349788434415,0.0473233215
"10","TEMPEST","FW","F6","20230606","TEMPEST","TEMPEST_FW_F6_20230606",0.6646,0.6193,200.5441,224.9338,0.0207298814722395,5.65709732016925,0.3624091887
"11","TEMPEST","FW","H3","20230606","TEMPEST","TEMPEST_FW_H3_20230606",2.6645,2.4831,157.5116,176.6678,0.083109794135995,4.44320451339915,0.2846494612
"12","TEMPEST","FW","H6","20230606","TEMPEST","TEMPEST_FW_H6_20230606",2.4067,2.2428,197.417,221.4264,0.0750686213349969,5.56888575458392,0.356758519
"13","TEMPEST","FW","I5","20230606","TEMPEST","TEMPEST_FW_I5_20230606",12.8534,11.9783,31.6279,35.4744,0.400917030567686,0.892183356840621,0.0571776153
"14","TEMPEST","FW","SOURCE","20230606","0718","TEMPEST_FW_SOURCE_20230606_0718",13.4461,14.2394,25.8769,32.9819,0.419404242046163,0.729954866008462,0.0467855583
"15","TEMPEST","FW","SOURCE","20230606","1326","TEMPEST_FW_SOURCE_20230606_1326",17.3696,18.3944,23.3014,29.6992,0.541784154709919,0.657303244005642,0.0421316298
"16","TEMPEST","FW","SOURCE","20230606","1511","TEMPEST_FW_SOURCE_20230606_1511",13.9474,14.7702,24.5413,31.2795,0.43504054897068,0.692279266572637,0.0443721291
"17","TEMPEST","SW","B4","20230606","TEMPEST","TEMPEST_SW_B4_20230606",391.7182,9.1262,3115.1523,87.3502,12.2182844666251,87.8745359661495,5.6291062061
"18","TEMPEST","SW","C3","20230606","TEMPEST","TEMPEST_SW_C3_20230606",370.9801,8.6431,3070.1995,86.0897,11.5714316905802,86.6064739069111,5.5478764965
"19","TEMPEST","SW","C6","20230606","TEMPEST","TEMPEST_SW_C6_20230606",110.9942,2.5859,1060.23,29.7293,3.46207735495945,29.9077574047955,1.91586161
"20","TEMPEST","SW","D5","20230606","TEMPEST","TEMPEST_SW_D5_20230606",245.8095,5.7269,1925.595,53.9945,7.66717092950717,54.3186177715092,3.479576165
"21","TEMPEST","SW","E5","20230606","TEMPEST","TEMPEST_SW_E5_20230606",319.0442,7.4331,2621.7744,73.5157,9.95147223955084,73.9569647390691,4.7375723408
"22","TEMPEST","SW","F4","20230606","TEMPEST","TEMPEST_SW_F4_20230606",221.8389,5.1684,1951.5172,54.7214,6.9194915782907,55.049850493653,3.5264175804
"23","TEMPEST","SW","F6","20230606","TEMPEST","TEMPEST_SW_F6_20230606",98.5531,2.2961,986.1711,27.6527,3.0740205864005,27.8186488011283,1.7820371777
"24","TEMPEST","SW","H3","20230606","TEMPEST","TEMPEST_SW_H3_20230606",253.6332,5.9091,2040.63,57.2202,7.91120399251403,57.563610719323,3.68744441
"25","TEMPEST","SW","H6","20230606","TEMPEST","TEMPEST_SW_H6_20230606",289.7861,6.7514,2333.7833,65.4403,9.03886774797255,65.8330973201692,4.2171724231
"26","TEMPEST","SW","I5","20230606","TEMPEST","TEMPEST_SW_I5_20230606",236.291,5.5051,2285.8504,64.0963,7.37027448533999,64.4809703808181,4.1305576728
"27","TEMPEST","SW","SOURCE","20230606","0709","TEMPEST_SW_SOURCE_20230606_0709",181.224,4.2221,1507.7995,42.2794,5.65265127885215,42.5331311706629,2.7246196965
"28","TEMPEST","SW","SOURCE","20230606","1502","TEMPEST_SW_SOURCE_20230606_1502",537.7491,12.5284,4075.8849,114.2896,16.7732096069869,114.975596614951,7.3651500143
