"","Project","Plot","Grid","Date","Sample_ID","Number","SO4_ppm","SO4_Area","Cl_ppm","Cl_Area","SO4_mM","Cl_mM","salinity"
"1","TEMPEST","C","C6","20230515","TEMPEST_C_C6_20230515","61",0.3224,0.3338,30.5616,38.1427,0.0100561447286338,0.86210437235543,0.0552508112
"2","TEMPEST","C","C6","20230603","TEMPEST_C_C6_20230603","44",0,0,0,0,0,0,2.6e-05
"3","TEMPEST","C","F6","20230515","TEMPEST_C_F6_20230515","62",0,0,28.2531,35.2615,0,0.796984485190409,0.0510793517
"4","TEMPEST","C","H3","20230515","TEMPEST_C_H3_20230515","64",0.5567,0.5765,27.4189,34.2204,0.0173643169058016,0.773452750352609,0.0495719523
"5","TEMPEST","C","H3","20230518","TEMPEST_C_H3_20230518","63",0.4633,0.4798,30.2118,37.7061,0.014451029320025,0.852236953455571,0.0546187226
"6","TEMPEST","C","H6","20230515","TEMPEST_C_H6_20230515","65",4.3694,4.5246,24.2582,30.2756,0.136288209606987,0.684293370944993,0.0438605674
"7","TEMPEST","C","H6","20230603","TEMPEST_C_H6_20230603","45",0,0,0,0,0,0,2.6e-05
"8","TEMPEST","C","H6","20230605","TEMPEST_C_H6_20230605","47",2.3894,0.0544,0,0,0.0745290081097941,0,2.6e-05
"9","TEMPEST","C","I5","20230518","TEMPEST_C_I5_20230518","66",4.4207,4.5778,25.4606,31.7763,0.137888334373051,0.718211565585331,0.0460333042
"10","TEMPEST","C","I5","20230603","TEMPEST_C_I5_20230603","46",0,0,0,0,0,0,2.6e-05
"11","TEMPEST","FW","B4","20230515","TEMPEST_FW_B4_20230515","68",0.7675,0.7948,30.1197,37.5911,0.0239394884591391,0.849638928067701,0.0544522979
"12","TEMPEST","FW","C3","20230515","TEMPEST_FW_C3_20230515","69",4.9565,5.1326,24.266,30.2854,0.154600748596382,0.684513399153738,0.043874662
"13","TEMPEST","FW","C3","20230603","TEMPEST_FW_C3_20230603","48",6.9627,0.1403,0,0,0.217177167810356,0,2.6e-05
"14","TEMPEST","FW","C6","20230515","TEMPEST_FW_C6_20230515","70",4.749,4.9177,23.8922,29.8189,0.14812850904554,0.673968970380818,0.0431992054
"15","TEMPEST","FW","D5","20230515","TEMPEST_FW_D5_20230515","71",4.6013,4.7647,0,0,0.143521522145976,0,2.6e-05
"16","TEMPEST","FW","D5","20230603","TEMPEST_FW_D5_20230603","49",0,0,0,0,0,0,2.6e-05
"17","TEMPEST","FW","D5","20230605","TEMPEST_FW_D5_20230605","51",0,0,0,0,0,0,2.6e-05
"18","TEMPEST","FW","E3","20230515","TEMPEST_FW_E3_20230515","75",0.8464,0.8765,30.2239,37.7212,0.0264004990642545,0.852578279266573,0.0546405873
"19","TEMPEST","FW","F4","20230605","TEMPEST_FW_F4_20230605","101",11.898,2.6316,0,0,0.371116656269495,0,2.6e-05
"20","TEMPEST","FW","F6","20230515","TEMPEST_FW_F6_20230515","76",0,0,24.6057,30.7094,0,0.694095909732017,0.0444884999
"21","TEMPEST","FW","H3","20230515","TEMPEST_FW_H3_20230515","77",1.7905,1.8542,29.3985,36.6911,0.0558484092326887,0.829294781382228,0.0531490895
"22","TEMPEST","FW","H6","20230515","TEMPEST_FW_H6_20230515","78",1.5176,1.5715,27.5025,34.3247,0.0473362445414847,0.775811001410437,0.0497230175
"23","TEMPEST","FW","I5","20230515","TEMPEST_FW_I5_20230515","79",0,0,25.359,31.6495,0,0.715345557122708,0.045849713
"24","TEMPEST","FW","I5","20230603","TEMPEST_FW_I5_20230603","50",0,0,0,0,0,0,2.6e-05
"25","TEMPEST","SW","B4","20230515","TEMPEST_SW_B4_20230515","80",4.4366,4.5943,26.1651,32.6557,0.138384279475983,0.738084626234133,0.0473063357
"26","TEMPEST","SW","B4","20230603","TEMPEST_SW_B4_20230603","102",0,0,0,0,0,0,2.6e-05
"27","TEMPEST","SW","C3","20230515","TEMPEST_SW_C3_20230515","81",11.635,12.0484,28.1102,35.0832,0.362913287585777,0.792953455571227,0.0508211314
"28","TEMPEST","SW","C3","20230603","TEMPEST_SW_C3_20230603","103",16.9613,3.7515,72.6361,19.363,0.529048658764816,2.04897320169252,0.1312794327
"29","TEMPEST","SW","C6","20230515","TEMPEST_SW_C6_20230515","82",1.2634,1.3082,30.8629,38.5187,0.0394073611977542,0.870603667136812,0.0557952603
"30","TEMPEST","SW","D5","20230518","TEMPEST_SW_D5_20230518","83",0.7589,0.7859,28.6422,35.7472,0.0236712414223331,0.807960507757405,0.0517824554
"31","TEMPEST","SW","E3","20230515","TEMPEST_SW_E3_20230515","84",1.325,1.372,30.4506,38.0041,0.0413287585776669,0.858973201692525,0.0550502342
"32","TEMPEST","SW","F6","20230515","TEMPEST_SW_F6_20230515","87",1.4835,1.5362,32.0722,40.028,0.0462726138490331,0.904716502115656,0.0579804654
"33","TEMPEST","SW","H3","20230603","TEMPEST_SW_H3_20230603","104",0,0,0,0,0,0,2.6e-05
"34","TEMPEST","SW","H6","20230515","TEMPEST_SW_H6_20230515","88",0.3839,0.3975,28.1246,35.1012,0.0119744229569557,0.793359661495063,0.0508471522
