"Project","Sample_ID","Zone","Grid","Depth_cm","Source","Volume_mL","Collection_Date","H2S_mean","H2S_sd","H2S_cv","H2S_Conc_flag","H2S_cv_flag","H2S_QAQC_flag","Dilution","Analysis_rundate","Field_notes"
"TMP","TMP_C_PW_B4_20250131_15CM","C","B4","15cm","PW",5,20250131,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA
"TMP","TMP_C_PW_B4_20250204_15CM","C","B4","15cm","PW",5,20250204,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA
"TMP","TMP_C_PW_B4_20250509_15CM","C","B4","15cm","PW",5,20250509,0,0,0,"bdl","Within Range","",1,"20250926","sub-sampled at 1422"
"TMP","TMP_C_PW_B4_20250602_15CM","C","B4","15cm","PW",5,20250602,0,0,0,"bdl","Within Range","",1,"20250926",NA
"TMP","TMP_C_PW_C3_20250131_15CM","C","C3","15cm","PW",5,20250131,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA
"TMP","TMP_C_PW_C3_20250204_15CM","C","C3","15cm","PW",5,20250204,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926","light color"
"TMP","TMP_C_PW_C3_20250602_15CM","C","C3","15cm","PW",5,20250602,0,0,0,"bdl","Within Range","",1,"20250926",NA
"TMP","TMP_C_PW_C6_20250204_15CM","C","C6","15cm","PW",5,20250204,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA
"TMP","TMP_C_PW_C6_20250403_15CM","C","C6","15cm","PW",5,20250403,0,0,0,"bdl","Within Range","",1,"20250926",NA
"TMP","TMP_C_PW_C6_20250602_15CM","C","C6","15cm","PW",5,20250602,0,0,0,"bdl","Within Range","",1,"20250926",NA
"TMP","TMP_C_PW_D5_20250131_15CM","C","D5","15cm","PW",5,20250131,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA
"TMP","TMP_C_PW_D5_20250204_15CM","C","D5","15cm","PW",5,20250204,0,0,0,"bdl","Within Range","",1,"20250926",NA
"TMP","TMP_C_PW_D5_20250602_15CM","C","D5","15cm","PW",5,20250602,0,0,0,"bdl","Within Range","",1,"20250926",NA
"TMP","TMP_C_PW_E3_20250131_15CM","C","E3","15cm","PW",5,20250131,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA
"TMP","TMP_C_PW_E3_20250204_15CM","C","E3","15cm","PW",5,20250204,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA
"TMP","TMP_C_PW_E3_20250711_15CM","C","E3","15cm","PW",5,20250711,0,0,0,"bdl","Within Range","MC 10 out of range",1,"20250926",NA
"TMP","TMP_C_PW_F4_20250204_15CM","C","F4","15cm","PW",5,20250204,1.35242439876625,0.202838693410816,14.9981539519588,"Within Range","High CV","Std curve r2 low; MC 10 out of range",1,"20250926",NA
"TMP","TMP_C_PW_F4_20250403_15CM","C","F4","15cm","PW",5,20250403,0,0,0,"bdl","Within Range","",1,"20250926",NA
"TMP","TMP_C_PW_F4_20250509_15CM","C","F4","15cm","PW",5,20250509,0,0,0,"bdl","Within Range","",1,"20250926","sub-sampled at 1418"
"TMP","TMP_C_PW_F4_20250602_15CM","C","F4","15cm","PW",5,20250602,0,0,0,"bdl","Within Range","",1,"20250926",NA
"TMP","TMP_C_PW_F6_20250204_15CM","C","F6","15cm","PW",5,20250204,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926","light color"
"TMP","TMP_C_PW_F6_20250403_15CM","C","F6","15cm","PW",5,20250403,0,0,0,"bdl","Within Range","",1,"20250926",NA
"TMP","TMP_C_PW_F6_20250602_15CM","C","F6","15cm","PW",5,20250602,0,0,0,"bdl","Within Range","",1,"20250926",NA
