"Project","Zone","Grid","Depth_cm","sample_type","Vial_ID","date","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Volume_mL"
"COMPASS: TEMPEST","C","B4",15,"DOC","C_B4_DOC_20250131",20250131,31.35,2612.5,NA,0.9852,70.3714285714286,"TN r2 low","2/4/2025 9:12:13 PM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1236,1219,"EST",10
"COMPASS: TEMPEST","C","C3",15,"DOC","C_C3_DOC_20250131",20250131,30.54,2545,NA,0.6599,47.1357142857143,"TN r2 low","2/4/2025 9:42:02 PM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1225,1137,"EST",10
"COMPASS: TEMPEST","C","D5",15,"DOC","C_D5_DOC_20250131",20250131,21.09,1757.5,NA,0.5605,40.0357142857143,"TN r2 low","2/4/2025 10:00:23 PM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1230,1227,"EST",10
"COMPASS: TEMPEST","C","E3",15,"DOC","C_E3_DOC_20250131",20250131,25.9,2158.33333333333,NA,0.7722,55.1571428571429,"TN r2 low","2/4/2025 10:29:44 PM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1222,1126,"EST",10
"COMPASS: TEMPEST","C","H6",15,"DOC","C_H6_DOC_20250131",20250131,36.77,3064.16666666667,NA,1.233,88.0714285714286,"TN r2 low","2/4/2025 10:58:13 PM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1215,1113,"EST",10
"COMPASS: TEMPEST","C","I5",15,"DOC","C_I5_DOC_20250131",20250131,16.82,1401.66666666667,NA,0.5264,37.6,"TN r2 low","2/4/2025 11:26:31 PM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1212,1100,"EST",10
"COMPASS: TEMPEST","FW","C3",15,"DOC","FW_C3_DOC_20250131",20250131,23.94,1995,NA,0.8356,59.6857142857143,"TN r2 low","2/5/2025 1:09:38 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1322,1414,"EST",10
"COMPASS: TEMPEST","FW","C6",15,"DOC","FW_C6_DOC_20250131",20250131,14.64,1220,NA,0.611,43.6428571428571,"TN r2 low","2/5/2025 1:38:03 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1314,1405,"EST",10
"COMPASS: TEMPEST","FW","D5",15,"DOC","FW_D5_DOC_20250131",20250131,21.37,1780.83333333333,NA,0.8061,57.5785714285714,"TN r2 low","2/5/2025 2:06:34 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1316,1408,"EST",13
"COMPASS: TEMPEST","FW","H3",15,"DOC","FW_H3_DOC_20250131",20250131,15.27,1272.5,NA,0.5781,41.2928571428571,"TN r2 low","2/5/2025 2:34:41 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1426,1420,"EST",10
"COMPASS: TEMPEST","FW","I5",15,"DOC","FW_I5_DOC_20250131",20250131,32.94,2745,NA,1.094,78.1428571428572,"TN r2 low","2/5/2025 3:04:02 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1421,1427,"EST",20
"COMPASS: TEMPEST","SW","B4",15,"DOC","SW_B4_DOC_20250131",20250131,53.78,4481.66666666667,NA,1.417,101.214285714286,"TN r2 low","2/5/2025 5:10:42 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1244,1252,"EST",10
"COMPASS: TEMPEST","SW","C3",15,"DOC","SW_C3_DOC_20250131",20250131,51.3,4275,NA,1.41,100.714285714286,"TN r2 low","2/5/2025 5:40:20 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1349,1308,"EST",10
"COMPASS: TEMPEST","SW","E3",15,"DOC","SW_E3_DOC_20250131",20250131,11.99,999.166666666667,NA,0.7017,50.1214285714286,"TN r2 low","2/5/2025 6:07:29 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1257,1355,"EST",10
"COMPASS: TEMPEST","SW","F4",15,"DOC","SW_F4_DOC_20250131",20250131,60.74,5061.66666666667,NA,2.508,179.142857142857,"TN r2 low","2/5/2025 6:32:37 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1255,1351,"EST",10
"COMPASS: TEMPEST","SW","F6",15,"DOC","SW_F6_DOC_20250131",20250131,30.94,2578.33333333333,NA,1.255,89.6428571428571,"TN r2 low","2/5/2025 7:00:52 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1253,1347,"EST",10
"COMPASS: TEMPEST","SW","H6",15,"DOC","SW_H6_DOC_20250131",20250131,55.88,4656.66666666667,NA,1.829,130.642857142857,"TN r2 low","2/5/2025 7:20:40 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1300,1400,"EST",10
"COMPASS: TEMPEST","C","B4",15,"DOC","C_B4_DOC_20250204",20250204,27.65,2304.16666666667,NA,0.8189,58.4928571428571,"TN r2 low","2/5/2025 8:57:20 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250131,20250204,1219,1055,"EST",20
