"","Project","Sample_ID","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","TMP","TMP_FW_D5_20250602_15CM","FW","D5","15CM",NA,NA,"PW",5,"20250602",0.4973,0.0155115408608858,"Within_Range","",0.034,0.000959097320169252,"Within_Range","",8.7438e-05,"2025-12-15","Some sample IDs are missing from metadata: TMP_SW_H6_20250926_15CM. 
  One bad dup and one bad spk. 
  ",NA
"2","TMP","TMP_FW_C3_20250602_15CM","FW","C3","15CM",NA,NA,"PW",5,"20250602",0.7647,0.0238521522145976,"Within_Range","",17.6029,0.496555712270804,"Within_Range","",0.0318344403,"2025-12-15","Some sample IDs are missing from metadata: TMP_SW_H6_20250926_15CM. 
  One bad dup and one bad spk. 
  ",NA
"3","TMP","TMP_FW_C6_20250602_15CM","FW","C6","15CM",NA,NA,"PW",5,"20250602",0.8893,0.0277386150966937,"Within_Range","",0.2138,0.00603102961918195,"Within_Range","",0.0004123366,"2025-12-15","Some sample IDs are missing from metadata: TMP_SW_H6_20250926_15CM. 
  One bad dup and one bad spk. 
  ",NA
"4","TMP","TMP_FW_I5_20250602_15CM","FW","I5","15CM",NA,NA,"PW",5,"20250602",0.0954,0.00297567061759201,"Within_Range","",0.3591,0.01012976022567,"Within_Range","",0.0006748937,"2025-12-15","Some sample IDs are missing from metadata: TMP_SW_H6_20250926_15CM. 
  One bad dup and one bad spk. 
  ",NA
"5","TMP","TMP_FW_F4_20250711_15CM","FW","F4","15CM",NA,NA,"PW",5,"20250711",0.4377,0.0136525265127885,"Within_Range","",0.4786,0.0135007052186178,"Within_Range","",0.0008908302,"2025-12-15","Some sample IDs are missing from metadata: TMP_SW_H6_20250926_15CM. 
  One bad dup and one bad spk. 
  ",NA
"6","TMP","TMP_FW_C3_20250711_15CM","FW","C3","15CM",NA,NA,"PW",5,"20250711",0.3939,0.0122863381160324,"Within_Range","",0.8746,0.0246713681241185,"Within_Range","",0.0016064022,"2025-12-15","Some sample IDs are missing from metadata: TMP_SW_H6_20250926_15CM. 
  One bad dup and one bad spk. 
  ",NA
"7","TMP","TMP_FW_C6_20250711_15CM","FW","C6","15CM",NA,NA,"PW",5,"20250711",1.1597,0.0361728009981285,"Within_Range","",0.3108,0.0087672778561354,"Within_Range","",0.0005876156,"2025-12-15","Some sample IDs are missing from metadata: TMP_SW_H6_20250926_15CM. 
  One bad dup and one bad spk. 
  ",NA
"8","TMP","TMP_FW_H3_20250711_15CM","FW","H3","15CM",NA,NA,"PW",5,"20250711",9.3896,0.292875857766687,"Within_Range","",0.7916,0.0223300423131171,"Within_Range","",0.0014564212,"2025-12-15","Some sample IDs are missing from metadata: TMP_SW_H6_20250926_15CM. 
  One bad dup and one bad spk. 
  ",NA
"9","TMP","TMP_FW_I5_20250711_15CM","FW","I5","15CM",NA,NA,"PW",5,"20250711",0.1402,0.00437305053025577,"Within_Range","",0.0847,0.00238928067700987,"Within_Range","",0.0001790529,"2025-12-15","Some sample IDs are missing from metadata: TMP_SW_H6_20250926_15CM. 
  One bad dup and one bad spk. 
  ",NA
"10","TMP","TMP_FW_D5_20250711_15CM","FW","D5","15CM",NA,NA,"PW",5,"20250711",0.689,0.0214909544603868,"Within_Range","",0.2765,0.00779971791255289,"Within_Range","",0.0005256355,"2025-12-15","Some sample IDs are missing from metadata: TMP_SW_H6_20250926_15CM. 
  One bad dup and one bad spk. 
  ",NA
