"","Project","Sample_ID","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","TMP","TMP_SW_H6_20250131_15CM","SW","H6","15CM",NA,NA,"PW",5,"20250131",0.170555208983157,"Within_Range","",0.476634696755994,"Within_Range","",0.0305583369,"2025-12-05","
  ","colored; sub-sampled in lab at 1532"
"2","TMP","TMP_SW_D5_20250131_15CM","SW","D5","15CM",NA,NA,"PW",5,"20250131",1.29997816593886,"Within_Range","",2.85575176304654,"Within_Range","",0.1829601748,"2025-12-05","
  ","colored; sub-sampled in the lab at 1508"
"3","TMP","TMP_SW_F4_20250131_15CM","SW","F4","15CM",NA,NA,"PW",5,"20250131",0.480311915159077,"Within_Range","",2.51505500705219,"Within_Range","",0.1611357709,"2025-12-05","
  ","colored; sub-sampled in lab at 1516"
"4","TMP","TMP_SW_I5_20250131_15CM","SW","I5","15CM",NA,NA,"PW",5,"20250131",2.0561135371179,"Within_Range","",7.37592947813822,"Within_Range","",0.4725143969,"2025-12-05","
  ","colored; sub-sampled in the lab at 1500"
"5","TMP","TMP_SW_E3_20250131_15CM","SW","E3","15CM",NA,NA,"PW",5,"20250131",1.96610417966313,"Within_Range","",6.4438730606488,"Within_Range","",0.4128085871,"2025-12-05","
  ","clear; sub-sampled in the lab at 1512"
"6","TMP","TMP_SW_C3_20250131_15CM","SW","C3","15CM",NA,NA,"PW",5,"20250131",2.35597005614473,"Within_Range","",7.45332863187588,"Within_Range","",0.4774724435,"2025-12-05","
  ","colored; field collection"
"7","TMP","TMP_SW_F6_20250131_15CM","SW","F6","15CM",NA,NA,"PW",5,"20250131",2.01605739238927,"Within_Range","",7.16381382228491,"Within_Range","",0.4589266604,"2025-12-05","
  ","colored; sub-sampled in the lab at 1525"
"8","TMP","TMP_SW_B4_20250131_15CM","SW","B4","15CM",NA,NA,"PW",5,"20250131",1.99037741734248,"Within_Range","",11.0749196050776,"Within_Range","",0.7094648613,"2025-12-05","
  ","colored; field collection"
"9","TMP","TMP_SW_C3_20250204_15CM","SW","C3","15CM",NA,NA,"PW",5,"20250204",1.7127354959451,"Within_Range","",3.63998871650212,"Within_Range","",0.2331969432,"2025-12-05","
  ","colored"
"10","TMP","TMP_SW_H3_20250204_15CM","SW","H3","15CM",NA,NA,"PW",5,"20250204",0.466615720524017,"Within_Range","",1.30177433004231,"Within_Range","",0.0834152553,"2025-12-05","
  ","colored"
"11","TMP","TMP_SW_C6_20250204_15CM","SW","C6","15CM",NA,NA,"PW",5,"20250204",0.304316905801622,"Within_Range","",0.556440056417489,"Within_Range","",0.0356705206,"2025-12-05","
  ","colored"
"12","TMP","TMP_SW_D5_20250204_15CM","SW","D5","15CM",NA,NA,"PW",5,"20250204",0.746384903306301,"Within_Range","",0.960318758815233,"Within_Range","",0.0615422431,"2025-12-05","
  ","colored"
"13","TMP","TMP_SW_H6_20250204_15CM","SW","H6","15CM",NA,NA,"PW",5,"20250204",0.0878228321896444,"Within_Range","",0.191703808180536,"Within_Range","",0.0123061913,"2025-12-05","
  ","colored"
"14","TMP","TMP_SW_F4_20250204_15CM","SW","F4","15CM",NA,NA,"PW",5,"20250204",0.270452276980661,"Within_Range","",0.746843441466855,"Within_Range","",0.0478674092,"2025-12-05","
  ","colored"
"15","TMP","TMP_SW_I5_20250204_15CM","SW","I5","15CM",NA,NA,"PW",5,"20250204",1.27589831565814,"Within_Range","",2.02903808180536,"Within_Range","",0.1300024258,"2025-12-05","
  ","colored"
"16","TMP","TMP_SW_B4_20250204_15CM","SW","B4","15CM",NA,NA,"PW",5,"20250204",1.36314722395508,"Within_Range","",5.37501551480959,"Within_Range","",0.3443395501,"2025-12-05","
  ","colored"
"17","TMP","TMP_SW_E3_20250204_15CM","SW","E3","15CM",NA,NA,"PW",5,"20250204",1.19272925764192,"Within_Range","",2.63786741889986,"Within_Range","",0.1690029068,"2025-12-05","
  ","colored"
"18","TMP","TMP_SW_F6_20250204_15CM","SW","F6","15CM",NA,NA,"PW",5,"20250204",0.977726138490331,"Within_Range","",2.83893370944993,"Within_Range","",0.1818828414,"2025-12-05","
  ","colored"
"19","TMP","TMP_SW_I5_20250403_15CM","SW","I5","15CM",NA,NA,"PW",5,"20250403",0.643521522145976,"Within_Range","",0.371119887165021,"Within_Range","",0.0237992534,"2025-12-05","
  ",NA
"20","TMP","TMP_SW_B4_20250403_15CM","SW","B4","15CM",NA,NA,"PW",5,"20250403",0.423580786026201,"Within_Range","",0.724631875881523,"Within_Range","",0.0464445774,"2025-12-05","
  ",NA
"21","TMP","TMP_SW_F6_20250403_15CM","SW","F6","15CM",NA,NA,"PW",5,"20250403",0.403627573300062,"Within_Range","",0.301669957686883,"Within_Range","",0.0193504194,"2025-12-05","
  ",NA
"22","TMP","TMP_SW_E3_20250403_15CM","SW","E3","15CM",NA,NA,"PW",5,"20250403",0.35845601996257,"Within_Range","",0.148631875881523,"Within_Range","",0.009547083,"2025-12-05","
  ",NA
"23","TMP","TMP_SW_D5_20250403_15CM","SW","D5","15CM",NA,NA,"PW",5,"20250403",0.280118527760449,"Within_Range","",0.173904090267983,"Within_Range","",0.0111659743,"2025-12-05","
  ",NA
"24","TMP","TMP_SW_C3_20250403_15CM","SW","C3","15CM",NA,NA,"PW",5,"20250403",0.367305053025577,"Within_Range","",0.257619181946403,"Within_Range","",0.0165286082,"2025-12-05","
  ",NA
"25","TMP","TMP_SW_H6_20250403_15CM","SW","H6","15CM",NA,NA,"PW",5,"20250403",0.0541141609482221,"Within_Range","",0.0452214386459803,"Within_Range","",0.0029228017,"2025-12-05","
  ",NA
"26","TMP","TMP_SW_C6_20250403_15CM","SW","C6","15CM",NA,NA,"PW",5,"20250403",0.275177791640674,"Within_Range","",0.23425952045134,"Within_Range","",0.0150322315,"2025-12-05","
  ",NA
"27","TMP","TMP_SW_B4_20250509_15CM","SW","B4","15CM",NA,NA,"PW",5,"20250509",0.212888334373051,"Within_Range","",0.581466854724965,"Within_Range","",0.037273691,"2025-12-05","
  ","sub-sampled at 1215"
"28","TMP","TMP_SW_C3_20250509_15CM","SW","C3","15CM",NA,NA,"PW",5,"20250509",0.296590767311291,"Within_Range","",0.571926657263752,"Within_Range","",0.0366625636,"2025-12-05","
  ","sub-sampled at 1213"
"29","TMP","TMP_SW_F6_20250509_15CM","SW","F6","15CM",NA,NA,"PW",5,"20250509",0.312245789145352,"Within_Range","",0.263681241184767,"Within_Range","",0.0169169325,"2025-12-05","
  ","sub-sampled at 1205"
"30","TMP","TMP_SW_D5_20250509_15CM","SW","D5","15CM",NA,NA,"PW",5,"20250509",0.290318153462258,"Within_Range","",0.417861777150917,"Within_Range","",0.0267934524,"2025-12-05","
  ","sub-sampled at 1209"
"31","TMP","TMP_SW_F4_20250509_15CM","SW","F4","15CM",NA,NA,"PW",5,"20250509",0.298777292576419,"Within_Range","",0.205066290550071,"Within_Range","",0.0131621672,"2025-12-05","
  ","sub-sampled at 1221"
"32","TMP","TMP_SW_H3_20250509_15CM","SW","H3","15CM",NA,NA,"PW",5,"20250509",0.217411104179663,"Within_Range","",0.448377997179125,"Within_Range","",0.028748265,"2025-12-05","
  ","sub-sampled at 1224"
"33","TMP","TMP_SW_C6_20250509_15CM","SW","C6","15CM",NA,NA,"PW",5,"20250509",0.300711166562695,"Within_Range","",0.459796897038082,"Within_Range","",0.0294797386,"2025-12-05","
  ","sub-sampled at 1219"
"34","TMP","TMP_SW_H6_20250509_15CM","SW","H6","15CM",NA,NA,"PW",5,"20250509",0.176210230817218,"Within_Range","",0.517083215796897,"Within_Range","",0.0331493942,"2025-12-05","
  ","sub-sampled at 1229"
"35","TMP","TMP_SW_H3_20250602_15CM","SW","H3","15CM",NA,NA,"PW",5,"20250602",0.125424204616344,"Within_Range","",0.115122708039492,"Within_Range","",0.0074005477,"2025-12-05","
  ",NA
"36","TMP","TMP_SW_F6_20250602_15CM","SW","F6","15CM",NA,NA,"PW",5,"20250602",0.0725171553337492,"Within_Range","",0.0395119887165021,"Within_Range","",0.0025570649,"2025-12-05","
  ",NA
"37","TMP","TMP_SW_F4_20250602_15CM","SW","F4","15CM",NA,NA,"PW",5,"20250602",0.0791640673736743,"Within_Range","",0.0467983074753173,"Within_Range","",0.003023813,"2025-12-05","
  ",NA
"38","TMP","TMP_SW_C6_20250602_15CM","SW","C6","15CM",NA,NA,"PW",5,"20250602",0.144610106051154,"Within_Range","",0.110733427362482,"Within_Range","",0.0071193785,"2025-12-05","
  ",NA
"39","TMP","TMP_SW_E3_20250602_15CM","SW","E3","15CM",NA,NA,"PW",5,"20250602",0.0985620711166563,"Within_Range","",0.140383638928068,"Within_Range","",0.0090187162,"2025-12-05","
  ",NA
"40","TMP","TMP_SW_C3_20250602_15CM","SW","C3","15CM",NA,NA,"PW",5,"20250602",0.137735495945103,"Within_Range","",0.128682651622003,"Within_Range","",0.0082691726,"2025-12-05","
  ",NA
"41","TMP","TMP_SW_B4_20250602_15CM","SW","B4","15CM",NA,NA,"PW",5,"20250602",0.0621834061135371,"Within_Range","",0.0772919605077574,"Within_Range","",0.00497718,"2025-12-05","
  ",NA
"42","TMP","TMP_SW_D5_20250602_15CM","SW","D5","15CM",NA,NA,"PW",5,"20250602",0.211494073611978,"Within_Range","",0.224801128349788,"Within_Range","",0.0144263444,"2025-12-05","
  ",NA
"43","TMP","TMP_SW_H6_20250602_15CM","SW","H6","15CM",NA,NA,"PW",5,"20250602",0.0937461010605115,"Within_Range","",0.119238363892807,"Within_Range","",0.007664189,"2025-12-05","
  ",NA
