Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.187,0.207,0.197,0.073,0.071,0.071,0.104,0.175,0.107,0.055,0.06,0.05
B,0.063,0.062,0.063,0.064,0.064,0.061,0.223,0.185,0.382,0.081,0.077,0.078
C,0.04,0.041,0.04,0.066,0.064,0.064,0.151,0.136,0.113,0.074,0.072,0.073
D,0.039,0.038,0.038,0.232,0.153,0.226,0.119,0.213,0.128,0.103,0.101,0.101
E,0.039,0.04,0.04,0.226,0.227,0.28,0.071,0.066,0.067,0.107,0.102,0.101
F,0.038,0.039,0.039,0.23,0.192,0.214,0.107,0.118,0.108,0.088,0.09,0.089
G,0.039,0.038,0.038,0.045,0.053,0.055,0.075,0.093,0.07,0.255,0.319,0.324
H,0.038,0.039,0.038,0.158,0.148,0.146,0.104,0.101,0.101,0.047,0.044,0.046
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.283,0.313,0.311,0.075,0.072,0.072,0.148,0.182,0.176,0.066,0.068,0.066
B,0.082,0.08,0.077,0.065,0.334,0.063,0.313,0.287,0.396,0.08,0.077,0.076
C,0.041,0.042,0.041,0.066,0.064,0.063,0.225,0.202,0.17,0.073,0.072,0.073
D,0.038,0.038,0.039,0.282,0.212,0.265,0.191,0.223,0.175,0.107,0.103,0.101
E,0.167,0.177,0.162,0.359,0.308,0.354,0.07,0.067,0.067,0.107,0.101,0.101
F,0.058,0.063,0.058,0.253,0.234,0.235,0.177,0.184,0.193,0.098,0.094,0.092
G,0.04,0.04,0.04,0.056,0.056,0.059,0.095,0.094,0.095,0.346,0.353,0.345
H,0.039,0.039,0.038,0.173,0.166,0.158,0.105,0.101,0.099,0.054,0.053,0.053
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,60 uM Fe_2 A,60 uM Fe_2 A,60 uM Fe_2 A,FW_I5_20250406,FW_I5_20250406,FW_I5_20250406,SW_E3_20250602,SW_E3_20250602,SW_E3_20250602,C_D5_20250602,C_D5_20250602,C_D5_20250602
B,9 uM Fe_2 E,9 uM Fe_2 E,9 uM Fe_2 E,FW_B4_20250509,FW_B4_20250509,FW_B4_20250509,SW_C3_20250602,SW_C3_20250602,SW_C3_20250602,C_F6_20250602,C_F6_20250602,C_F6_20250602
C,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,FW_I5_2020509,FW_I5_2020509,FW_I5_2020509,SW_B4_20250602,SW_B4_20250602,SW_B4_20250602,C_F4_20250602,C_F4_20250602,C_F4_20250602
D,0.5 M HCl,0.5 M HCl,0.5 M HCl,SW_B4_20250509,SW_B4_20250509,SW_B4_20250509,SW_B4_20250602 dup,SW_B4_20250602 dup,SW_B4_20250602 dup,C_H3_20250602,C_H3_20250602,C_H3_20250602
E,60 uM Fe_3 A,60 uM Fe_3 A,60 uM Fe_3 A,SW_C6_20250509,SW_C6_20250509,SW_C6_20250509,C_C6_20250602,C_C6_20250602,C_C6_20250602,C_I5_20250602,C_I5_20250602,C_I5_20250602
F,9 uM Fe_3 E,9 uM Fe_3 E,9 uM Fe_3 E,SW_D5_20250509,SW_D5_20250509,SW_D5_20250509,C_C6_20250602 spk,C_C6_20250602 spk,C_C6_20250602 spk,C_H6_20250602,C_H6_20250602,C_H6_20250602
G,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,FW_E3_20250602,FW_E3_20250602,FW_E3_20250602,C_B4_20250602,C_B4_20250602,C_B4_20250602,SW_B4_20250711,SW_B4_20250711,SW_B4_20250711
H,0.5 M HCl,0.5 M HCl,0.5 M HCl,SW_F4_20250602,SW_F4_20250602,SW_F4_20250602,C_C3_20250602,C_C3_20250602,C_C3_20250602,FW_C6_20250711,FW_C6_20250711,FW_C6_20250711
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
