,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.065,0.064,0.063,0.046,0.047,0.05,0.051,0.046,0.048,0.047,0.047,0.047,670
B,0.128,0.129,0.128,0.045,0.046,0.046,0.048,0.048,0.047,0.052,0.046,0.046,670
C,0.234,0.21,0.201,0.045,0.045,0.046,0.047,0.046,0.046,0.045,0.045,0.049,670
D,0.405,0.555,0.326,0.045,0.045,0.046,0.046,0.047,0.045,0.047,0.045,0.05,670
E,0.702,0.789,0.679,0.044,0.045,0.045,0.045,0.045,0.045,0.048,0.045,0.045,670
F,1.228,1.128,1.212,0.046,0.047,0.045,0.046,0.049,0.045,0.046,0.046,0.046,670
G,1.161,1.191,1.112,0.045,0.047,0.046,0.046,0.045,0.05,0.047,0.047,0.048,670
H,0.045,0.047,0.047,0.046,0.053,0.046,0.047,0.047,0.053,0.048,0.047,0.049,670
,,,,,,,,,,,,,
,0,0.064,,,,,,,,,,,
,5,0.128333333,,,,,,,,,,,
,12.5,0.215,,,,,,,,,,,
,25,0.3655,,,,,,,,,,,
,50,0.723333333,,,,,,,,,,,
,100,1.189333333,,,,,,,,,,,
,,1.154666667,,,,,,,,,,,
,,0.046333333,,,,,,,,,,,
