,1,2,3,4,5,6,7,8,9,10,11,12
A,0.067,0.07,0.069,0.083,0.067,0.068,0.067,0.063,0.066,0.064,0.065,0.063
B,0.126,0.138,0.12,0.067,0.07,0.065,0.148,0.098,0.089,0.067,0.066,0.065
C,0.414,0.238,0.229,0.067,0.065,0.067,0.092,0.064,0.067,0.069,0.066,0.065
D,0.573,0.457,0.413,0.062,0.065,0.059,0.063,0.064,0.066,0.064,0.068,0.068
E,0.74,0.694,0.816,0.068,0.062,0.069,0.06,0.063,0.061,0.066,0.064,0.07
F,1.481,1.274,1.187,0.071,0.068,0.067,0.067,0.084,0.063,0.067,0.07,0.072
G,1.281,1.486,1.315,0.078,0.07,0.063,0.068,0.061,0.061,0.059,0.06,0.065
H,0.066,0.065,0.076,0.066,0.067,0.067,0.386,0.439,0.416,0.074,0.068,0.074
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,2,2,2,10,10,10,16,16,16
B,Std 1,Std 1,Std 1,3,3,3,11,11,11,17,17,17
C,Std 2,Std 2,Std 2,4,4,4,12,12,12,18,18,18
D,Std 3,Std 3,Std 3,5,5,5,13,13,13,19,19,19
E,Std 4,Std 4,Std 4,6,6,6,14,14,14,20,20,20
F,Std 5,Std 5,Std 5,7,7,7,14 dup,14 dup,14 dup,21,21,21
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,8,8,8,15,15,15,22,22,22
H,1,1,1,9,9,9,15 spk,15 spk,15 spk,23,23,23
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
