,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.053,0.051,0.053,0.061,0.062,0.061,0.045,0.047,0.046,0.045,0.045,0.045,670
B,0.113,0.138,0.109,0.151,0.148,0.123,0.047,0.044,0.045,0.044,0.044,0.046,670
C,0.35,0.254,0.233,0.329,0.255,0.23,0.044,0.044,0.044,0.044,0.044,0.046,670
D,0.571,0.473,0.646,0.504,0.409,0.503,0.045,0.044,0.044,0.045,0.045,0.044,670
E,0.934,1.079,0.716,0.826,0.905,0.767,0.045,0.044,0.044,0.045,0.044,0.044,670
F,1.555,1.271,1.259,1.443,1.537,1.003,0.044,0.045,0.044,0.045,0.044,0.045,670
G,1.595,1.493,1.393,1.353,1.378,1.16,0.044,0.044,0.044,0.044,0.044,0.045,670
H,1.529,1.632,1.298,1.15,1.18,1.165,0.045,0.045,0.046,0.044,0.045,0.046,670
,,,,,,,,,,,,,
,,,,0,0.061333333,,,,,,,,
,,,,5,0.140666667,,,,,,,,
,,,,12.5,0.2425,,,,,,,,
,,,,25,0.5035,,,,,,,,
,,,,50,0.7965,,,,,,,,
,,,,100,1.49,,,,,,,,
,,,,,1.297,,,,,,,,
,,,,,1.165,,,,,,,,
