,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.05,0.049,0.049,0.048,0.049,0.049,0.062,0.066,0.065,0.045,0.045,0.045,670
B,0.104,0.135,0.105,0.151,0.149,0.126,0.129,0.124,0.13,0.044,0.045,0.048,670
C,0.341,0.253,0.218,0.465,0.278,0.254,0.246,0.225,0.245,0.044,0.045,0.047,670
D,0.553,0.456,0.639,0.586,0.417,0.515,0.446,0.475,0.383,0.045,0.045,0.046,670
E,0.896,1.066,0.708,0.86,0.913,0.791,0.859,0.886,0.709,0.045,0.044,0.045,670
F,1.564,1.278,1.247,1.53,1.551,1.122,1.327,1.374,1.082,0.045,0.047,0.045,670
G,1.604,1.524,1.397,1.601,1.434,1.35,1.253,1.181,1.212,0.044,0.044,0.045,670
H,1.561,1.608,1.276,1.357,1.306,1.358,0.045,0.046,0.046,0.044,0.045,0.046,670
,,,,,,,,,,,,,
,,,,,,0,0.064333333,,,,,,
,,,,,,5,0.127666667,,,,,,
,,,,,,12.5,0.238666667,,,,,,
,,,,,,25,0.434666667,,,,,,
,,,,,,50,0.818,,,,,,
,,,,,,100,1.3505,,,,,,
