TEMPEST Sample List: SO4/Cl/H2S 20260501 - 20260612,,,,,,
Sample_Number,Vial_Number,Sample_ID,Plot,Collection_Date_YYYYMMDD,Timepoint,type
1,1,TMP_C_PW_C6_50cm_SO4_20260604_Pre,Control,20260604,Pre,PW
2,2,TMP_C_PW_F4_30cm_SO4_20260604_Pre,Control,20260604,Pre,PW
3,3,TMP_C_PW_F4_50cm_SO4_20260604_Pre,Control,20260604,Pre,PW
4,4,TMP_C_PW_H3_30cm_SO4_20260604_Pre,Control,20260604,Pre,PW
5,5,TMP_C_PW_H6_30cm_SO4_20260604_Pre,Control,20260604,Pre,PW
6,6,TMP_C_PW_H6_50cm_SO4_20260604_Pre,Control,20260604,Pre,PW
7,7,TMP_SW_PW_C3_30cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
8,8,TMP_SW_PW_C6_30cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
9,9,TMP_SW_PW_F4_30cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
10,10,TMP_SW_PW_F4_50cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
11,11,TMP_SW_PW_H3_30cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
12,12,TMP_SW_PW_H6_30cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
13,13,TMP_SW_PW_H6_50cm_SO4_20260604_Pre,Saltwater,20260604,Pre,PW
14,14,TMP_FW_PW_C3_30cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
15,15,TMP_FW_PW_C6_15cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
16,16,TMP_FW_PW_C6_30cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
17,17,TMP_FW_PW_C6_50cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
18,18,TMP_FW_PW_D5_15cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
19,19,TMP_FW_PW_F4_30cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
20,20,TMP_FW_PW_F4_50cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
21,21,TMP_FW_PW_H6_30cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
22,22,TMP_FW_PW_H6_50cm_SO4_20260604_Pre,Freshwater,20260604,Pre,PW
23,23,TMP_SW_PW_C6_30cm_SO4_20260607_D1_PM,Saltwater,20260607,D1_PM,PW
24,24,TMP_SW_PW_F4_50cm_SO4_20260607_D1_PM,Saltwater,20260607,D1_PM,PW
25,25,TMP_SW_PW_H3_30cm_SO4_20260607_D1_PM,Saltwater,20260607,D1_PM,PW
26,26,TMP_SW_PW_H6_30cm_SO4_20260607_D1_PM,Saltwater,20260607,D1_PM,PW
27,27,TMP_FW_PW_D5_15cm_SO4_20260607_D1_PM,Freshwater,20260607,D1_PM,PW
28,28,TMP_FW_PW_H6_50cm_SO4_20260607_D1_PM,Freshwater,20260607,D1_PM,PW
29,29,TMP_SW_SCE_SO4_20260608_D2-AM,Saltwater,20260608,D2-AM,SCE
30,30,TMP_FW_SCE_SO4_20260608_D2-AM,Freshwater,20260608,D2-AM,SCE
31,55,TMP_EST_SCE_SO4_20260608_D2-AM,Estuary,20260608,D2-AM,SCE
32,53,TMP_SW_SCE_SO4_20260608_D2-PM,Saltwater,20260608,D2-PM,SCE
33,54,TMP_FW_SCE_SO4_20260608_D2-PM,Freshwater,20260608,D2-PM,SCE
34,56,TMP_EST_SCE_SO4_20260608_D2-PM,Estuary,20260608,D2-PM,SCE
35,31,TMP_SW_RO_SO4_20260608_D2-T1,Saltwater,20260608,D2-T1,RO
36,57,TMP_SW_RO_SO4_20260608_D2-T2,Saltwater,20260608,D2-T2,RO
37,32,TMP_C_PW_C6_50cm_SO4_20260608_D2_PM,Control,20260608,D2_PM,PW
38,33,TMP_SW_PW_C3_50cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
39,34,TMP_SW_PW_C6_30cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
40,35,TMP_SW_PW_C6_50cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
41,36,TMP_SW_PW_F4_30cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
42,37,TMP_SW_PW_F4_50cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
43,38,TMP_SW_PW_H3_30cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
44,39,TMP_SW_PW_H6_30cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
