"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag"
"1","30",0.918800696690724,0.234226702079629,25.4926561247995,0.0885,0.918800696690724,"",1,"High CV","Within_Range"
"2","37 Dup",0.587554117939792,0.0780755673598752,13.2882342197925,0.0855,0.587554117939792,"",1,"High CV","Within_Range"
"3","37",0.587554117939792,0.0780755673598752,13.2882342197925,0.0855,0.587554117939792,"",1,"High CV","Within_Range"
"4","40",2.02295595919384,0.390377836799381,19.2973967142097,0.0985,2.02295595919384,"",1,"High CV","Within_Range"
"5","45",0.256307539188859,0.0780755673598762,30.4616741306024,0.0825,0.256307539188859,"",1,"High CV","Within_Range"
"6","34",2.26218959940284,1.27496867606663,56.3599389018137,0.100666666666667,2.26218959940284,"",1,"High CV","Within_Range"
"7","36",1.41567056481712,0.614767632159605,43.425896351742,0.093,1.41567056481712,"",1,"High CV","Within_Range"
"8","46",1.67330679273452,0.254993735213325,15.2389111381431,0.0953333333333333,1.67330679273452,"",1,"High CV","Within_Range"
