"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag","Analysis_rundate"
"1","130 Spike",3.02852574240206,0.22009598483932,7.26742988371472,0.1175,3.02852574240206,"",1,"Within range","Within_Range","20250926"
"2","116",0,0,0,0.0653333333333333,-2.38398722889108,"",1,"Within range","bdl","20250926"
"3","117",0,0,0,0.0666666666666667,-2.24564823920947,"",1,"Within range","bdl","20250926"
"4","118",0,0,0,0.071,-1.79604652274423,"",1,"Within range","bdl","20250926"
"5","119",0,0,0,0.0683333333333333,-2.07272450210745,"",1,"Within range","bdl","20250926"
"6","120",0,0,0,0.0703333333333333,-1.86521601758503,"",1,"Within range","bdl","20250926"
"7","121",0,0,0,0.0683333333333333,-2.07272450210745,"",1,"Within range","bdl","20250926"
"8","122",0,0,0,0.0673333333333333,-2.17647874436866,"",1,"Within range","bdl","20250926"
"9","123",0,0,0,0.0696666666666667,-1.93438551242584,"",1,"Within range","bdl","20250926"
"10","124",0,0,0,0.0716666666666667,-1.72687702790342,"",1,"Within range","bdl","20250926"
"11","125",0,0,0,0.0706666666666667,-1.83063127016463,"",1,"Within range","bdl","20250926"
"12","126",0,0,0,0.07,-1.89980076500544,"",1,"Within range","bdl","20250926"
"13","127",0,0,0,0.0713333333333333,-1.76146177532382,"",1,"Within range","bdl","20250926"
"14","128",0,0,0,0.0743333333333333,-1.45019904854019,"",1,"Within range","bdl","20250926"
"15","129",0,0,0,0.0683333333333333,-2.07272450210745,"",1,"Within range","bdl","20250926"
"16","129 Dup",0,0,0,0.0736666666666667,-1.519368543381,"",1,"Within range","bdl","20250926"
"17","130",0,0,0,0.074,-1.48478379596059,"",1,"Within range","bdl","20250926"
"18","131",0,0,0,0.0703333333333333,-1.86521601758503,"",1,"Within range","bdl","20250926"
"19","132",0,0,0,0.0743333333333333,-1.45019904854019,"",1,"Within range","bdl","20250926"
"20","133",0,0,0,0.076,-1.27727531143817,"",1,"Within range","bdl","20250926"
"21","134",0,0,0,0.0696666666666667,-1.93438551242584,"",1,"Within range","bdl","20250926"
"22","135",0,0,0,0.0763333333333333,-1.24269056401777,"",1,"Within range","bdl","20250926"
"23","136",0,0,0,0.068,-2.10730924952786,"",1,"Within range","bdl","20250926"
"24","137",0,0,0,0.07,-1.89980076500544,"",1,"Within range","bdl","20250926"
"25","138",0,0,0,0.0686666666666667,-2.03813975468705,"",1,"Within range","bdl","20250926"
