"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag","Analysis_rundate"
"1","154",0,0,0,0.071,-1.59383947884022,"",1,"Within range","bdl","20250926"
"2","160",0,0,0,0.0705,-1.64961578313234,"",1,"Within range","bdl","20250926"
"3","153 Spike",2.4778307344845,0.236638817966892,9.55024145408883,0.1075,2.4778307344845,"",1,"Within range","Within_Range","20250926"
"4","145",0,0,0,0.066,-2.15160252176142,"",1,"Within range","bdl","20250926"
"5","153",0,0,0,0.068,-1.92849730459294,"",1,"Within range","bdl","20250926"
"6","139",0,0,0,0.0673333333333333,-2.00286571031576,"",1,"Within range","bdl","20250926"
"7","140",0,0,0,0.072,-1.48228687025598,"",1,"Within range","bdl","20250926"
"8","141",0,0,0,0.0716666666666667,-1.5194710731174,"",1,"Within range","bdl","20250926"
"9","142",0,0,0,0.0703333333333333,-1.66820788456305,"",1,"Within range","bdl","20250926"
"10","143",0,0,0,0.072,-1.48228687025598,"",1,"Within range","bdl","20250926"
"11","144",0,0,0,0.08,-0.589866001582073,"",1,"Within range","bdl","20250926"
"12","146",0,0,0,0.069,-1.8169446960087,"",1,"Within range","bdl","20250926"
"13","147",0,0,0,0.0666666666666667,-2.07723411603859,"",1,"Within range","bdl","20250926"
"14","148",0,0,0,0.07,-1.70539208742446,"",1,"Within range","bdl","20250926"
"15","149",0,0,0,0.065,-2.26315513034566,"",1,"Within range","bdl","20250926"
"16","150",0,0,0,0.067,-2.04004991317718,"",1,"Within range","bdl","20250926"
"17","151",0,0,0,0.0726666666666667,-1.40791846453316,"",1,"Within range","bdl","20250926"
"18","152",0,0,0,0.0663333333333333,-2.1144183189,"",1,"Within range","bdl","20250926"
"19","152 Dup",0,0,0,0.0686666666666667,-1.85412889887011,"",1,"Within range","bdl","20250926"
"20","155",0,0,0,0.071,-1.59383947884022,"",1,"Within range","bdl","20250926"
"21","156",0,0,0,0.0693333333333333,-1.77976049314729,"",1,"Within range","bdl","20250926"
"22","157",0,0,0,0.0716666666666667,-1.5194710731174,"",1,"Within range","bdl","20250926"
"23","158",0,0,0,0.0733333333333333,-1.33355005881033,"",1,"Within range","bdl","20250926"
"24","159",0,0,0,0.0746666666666667,-1.18481324736468,"",1,"Within range","bdl","20250926"
"25","161",0,0,0,0.0676666666666667,-1.96568150745435,"",1,"Within range","bdl","20250926"
