"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag","Analysis_rundate"
"1","14 Spike",1.94642692697302,0.0778149556605511,3.99783596199857,0.1185,1.94642692697302,"",1,"Within range","Within_Range","20250925"
"2","8",0,0,0,0.0845,-1.7951699051478,"",1,"Within range","bdl","20250925"
"3","9",0,0,0,0.087,-1.52005249102127,"",1,"Within range","bdl","20250925"
"4","1",0,0,0,0.0836666666666667,-1.88687570985664,"",1,"Within range","bdl","20250925"
"5","10",0,0,0,0.0886666666666667,-1.33664088160358,"",1,"Within range","bdl","20250925"
"6","11",0,0,0,0.0823333333333333,-2.03360499739079,"",1,"Within range","bdl","20250925"
"7","12",0,0,0,0.0876666666666667,-1.44668784725419,"",1,"Within range","bdl","20250925"
"8","13",0,0,0,0.082,-2.07028731927433,"",1,"Within range","bdl","20250925"
"9","13 Dup",0,0,0,0.083,-1.96024035362372,"",1,"Within range","bdl","20250925"
"10","14",0,0,0,0.0923333333333333,-0.933135340884668,"",1,"Within range","bdl","20250925"
"11","15",0,0,0,0.0786666666666667,-2.4371105381097,"",1,"Within range","bdl","20250925"
"12","16",0,0,0,0.09,-1.18991159406943,"",1,"Within range","bdl","20250925"
"13","17",0,0,0,0.077,-2.62052214752739,"",1,"Within range","bdl","20250925"
"14","18",0,0,0,0.0873333333333333,-1.48337016913773,"",1,"Within range","bdl","20250925"
"15","19",0,0,0,0.078,-2.51047518187678,"",1,"Within range","bdl","20250925"
"16","2",0,0,0,0.0743333333333333,-2.91398072259569,"",1,"Within range","bdl","20250925"
"17","20",1.96476808791479,0.317678226209412,16.168739107859,0.118666666666667,1.96476808791479,"",1,"High CV","Within_Range","20250925"
"18","21",0,0,0,0.0846666666666667,-1.77682874420603,"",1,"Within range","bdl","20250925"
"19","22",0,0,0,0.0863333333333333,-1.59341713478834,"",1,"Within range","bdl","20250925"
"20","23",0,0,0,0.0796666666666667,-2.32706357245909,"",1,"Within range","bdl","20250925"
"21","3",0,0,0,0.0856666666666667,-1.66678177855542,"",1,"Within range","bdl","20250925"
"22","4",0,0,0,0.0693333333333333,-3.46421555084875,"",1,"Within range","bdl","20250925"
"23","5",0,0,0,0.066,-3.83103876968413,"",1,"Within range","bdl","20250925"
"24","6",0,0,0,0.0746666666666667,-2.87729840071215,"",1,"Within range","bdl","20250925"
"25","7",0,0,0,0.0766666666666667,-2.65720446941093,"",1,"Within range","bdl","20250925"
