"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","H2S_QAQC_flag","Dilution","H2S_cv_flag","H2S_Conc_flag","Project","Zone","Source","Plot","Depth","Analyte","Date","Sample_ID","Analysis_rundate"
"1","47",0,0,0,0.0756666666666667,-2.6263162149231,"",1,"Within range","bdl","TMP","SW","PW","D5","15cm","SO4",20250711,"TMP_SW_PW_D5_20250711_15CM","20250925"
"2","48",2.6041811557421,0.207834332609214,7.98079396861267,0.126,2.6041811557421,"",1,"Within range","Within_Range","TMP","SW","PW","B4","15cm","SO4",20250711,"TMP_SW_PW_B4_20250711_15CM","20250925"
"3","49",0,0,0,0.0853333333333333,-1.6217836073119,"",1,"Within range","bdl","TMP","SW","PW","I5","15cm","SO4",20250711,"TMP_SW_PW_I5_20250711_15CM","20250925"
"4","50",0,0,0,0.0876666666666667,-1.37931021926782,"",1,"Within range","bdl","TMP","SW","PW","H3","15cm","SO4",20250711,"TMP_SW_PW_H3_20250711_15CM","20250925"
"5","51",0,0,0,0.0833333333333333,-1.82961793992112,"",1,"Within range","bdl","TMP","SW","PW","E3","15cm","SO4",20250711,"TMP_SW_PW_E3_20250711_15CM","20250925"
"6","52",0,0,0,0.0703333333333333,-3.18054110188101,"",1,"Within range","bdl","TMP","FW","PW","C3","15cm","SO4",20250131,"TMP_FW_PW_C3_20250131_15CM","20250925"
"7","53",0,0,0,0.07,-3.21518015731587,"",1,"Within range","bdl","TMP","FW","PW","F6","15cm","SO4",20250131,"TMP_FW_PW_F6_20250131_15CM","20250925"
"8","54",0,0,0,0.0653333333333333,-3.70012693340404,"",1,"Within range","bdl","TMP","FW","PW","C6","15cm","SO4",20250131,"TMP_FW_PW_C6_20250131_15CM","20250925"
"9","55",0,0,0,0.0666666666666667,-3.56157071166456,"",1,"Within range","bdl","TMP","FW","PW","H6","15cm","SO4",20250131,"TMP_FW_PW_H6_20250131_15CM","20250925"
"10","56",0,0,0,0.0666666666666667,-3.56157071166456,"",1,"Within range","bdl","TMP","FW","PW","D5","15cm","SO4",20250131,"TMP_FW_PW_D5_20250131_15CM","20250925"
"11","57",0,0,0,0.0716666666666667,-3.04198488014153,"",1,"Within range","bdl","TMP","FW","PW","F4","15cm","SO4",20250131,"TMP_FW_PW_F4_20250131_15CM","20250925"
"12","58",0,0,0,0.0726666666666667,-2.93806771383692,"",1,"Within range","bdl","TMP","FW","PW","I5","15cm","SO4",20250131,"TMP_FW_PW_I5_20250131_15CM","20250925"
"13","59",0,0,0,0.0676666666666667,-3.45765354535996,"",1,"Within range","bdl","TMP","FW","PW","E3","15cm","SO4",20250131,"TMP_FW_PW_E3_20250131_15CM","20250925"
"14","60",0,0,0,0.066,-3.6308488225343,"",1,"Within range","bdl","TMP","FW","PW","H3","15cm","SO4",20250131,"TMP_FW_PW_H3_20250131_15CM","20250925"
"15","61",0,0,0,0.0686666666666667,-3.35373637905535,"",1,"Within range","bdl","TMP","FW","PW","B4","15cm","SO4",20250204,"TMP_FW_PW_B4_20250204_15CM","20250925"
"16","62",0,0,0,0.0693333333333333,-3.28445826818561,"",1,"Within range","bdl","TMP","FW","PW","F6","15cm","SO4",20250204,"TMP_FW_PW_F6_20250204_15CM","20250925"
"17","63",0,0,0,0.0723333333333333,-2.97270676927179,"",1,"Within range","bdl","TMP","FW","PW","C3","15cm","SO4",20250204,"TMP_FW_PW_C3_20250204_15CM","20250925"
"18","64",0,0,0,0.0673333333333333,-3.49229260079482,"",1,"Within range","bdl","TMP","FW","PW","D5","15cm","SO4",20250204,"TMP_FW_PW_D5_20250204_15CM","20250925"
"19","65",0,0,0,0.0683333333333333,-3.38837543449022,"",1,"Within range","bdl","TMP","FW","PW","H3","15cm","SO4",20250204,"TMP_FW_PW_H3_20250204_15CM","20250925"
"20","66",0,0,0,0.069,-3.31909732362048,"",1,"Within range","bdl","TMP","FW","PW","F4","15cm","SO4",20250204,"TMP_FW_PW_F4_20250204_15CM","20250925"
"21","67",0,0,0,0.0723333333333333,-2.97270676927179,"",1,"Within range","bdl","TMP","FW","PW","I5","15cm","SO4",20250204,"TMP_FW_PW_I5_20250204_15CM","20250925"
"22","68",0,0,0,0.0676666666666667,-3.45765354535996,"",1,"Within range","bdl","TMP","FW","PW","C6","15cm","SO4",20250204,"TMP_FW_PW_C6_20250204_15CM","20250925"
"23","69",0,0,0,0.068,-3.42301448992509,"",1,"Within range","bdl","TMP","FW","PW","H6","15cm","SO4",20250204,"TMP_FW_PW_H6_20250204_15CM","20250925"
