"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag","Analysis_rundate"
"1","167",0,0,0,0.0705,-0.368718988407425,"",1,"Within range","bdl","20250926"
"2","162",0,0,0,0.0665,-0.751195296668242,"",1,"Within range","bdl","20250926"
"3","172 Spike",2.97794870887473,0.0676128978036049,2.27045205990649,0.1055,2.97794870887473,"",1,"Within range","Within_Range","20250926"
"4","163",0,0,0,0.0646666666666667,-0.92649693795445,"",1,"Within range","bdl","20250926"
"5","164",0.762773423530828,0.0552056998832594,7.23749650685466,0.0823333333333333,0.762773423530828,"",1,"Within range","Within_Range","20250926"
"6","165",0,0,0,0.0626666666666667,-1.11773509208486,"",1,"Within range","bdl","20250926"
"7","166",0,0,0,0.0693333333333333,-0.48027457831683,"",1,"Within range","bdl","20250926"
"8","168",0,0,0,0.0653333333333333,-0.862750886577647,"",1,"Within range","bdl","20250926"
"9","169",0,0,0,0.0636666666666667,-1.02211601501965,"",1,"Within range","bdl","20250926"
"10","170",0,0,0,0.065,-0.894623912266049,"",1,"Within range","bdl","20250926"
"11","171",0,0,0,0.0666666666666667,-0.735258783824041,"",1,"Within range","bdl","20250926"
"12","171 Dup",0,0,0,0.0623333333333333,-1.14960811777326,"",1,"Within range","bdl","20250926"
"13","172",0,0,0,0.0663333333333333,-0.767131809512443,"",1,"Within range","bdl","20250926"
"14","July_42",22.9782723283467,0.335803162708779,1.46139430288901,0.314666666666667,22.9782723283467,"",1,"Within range","Within_Range","20250926"
