"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","H2S_QAQC_flag","Dilution","H2S_cv_flag","H2S_Conc_flag","Project","Zone","Source","Plot","Depth","Analyte","Date","Sample_ID","Analysis_rundate"
"1","70",0,0,0,0.079,-3.69088138157692,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","E3","15cm","SO4",20250204,"TMP_FW_PW_E3_20250204_15CM","20250926"
"2","71",0,0,0,0.0686666666666667,-4.75064860190256,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","I5","15cm","SO4",20250406,"TMP_FW_PW_I5_20250406_15CM","20250926"
"3","72",0,0,0,0.0666666666666667,-4.95576483809462,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","F4","15cm","SO4",20250403,"TMP_FW_PW_F4_20250403_15CM","20250926"
"4","73",0,0,0,0.0646666666666667,-5.16088107428668,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","E3","15cm","SO4",20250403,"TMP_FW_PW_E3_20250403_15CM","20250926"
"5","74",0,0,0,0.066,-5.0241369168253,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","H6","15cm","SO4",20250403,"TMP_FW_PW_H6_20250403_15CM","20250926"
"6","75",0,0,0,0.0636666666666667,-5.26343919238271,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","D5","15cm","SO4",20250403,"TMP_FW_PW_D5_20250403_15CM","20250926"
"7","76",0,0,0,0.09,-2.56274208252059,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","C3","15cm","SO4",20250403,"TMP_FW_PW_C3_20250403_15CM","20250926"
"8","77",0,0,0,0.0623333333333333,-5.40018334984408,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","C6","15cm","SO4",20250403,"TMP_FW_PW_C6_20250403_15CM","20250926"
"9","78",0,0,0,0.065,-5.12669503492133,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","H3","15cm","SO4",20250403,"TMP_FW_PW_H3_20250403_15CM","20250926"
"10","79",0,0,0,0.0673333333333333,-4.88739275936393,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","D5","15cm","SO4",20250509,"TMP_FW_PW_D5_20250509_15CM","20250926"
"11","80",0,0,0,0.0876666666666667,-2.802044358078,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","I5","15cm","SO4",20250509,"TMP_FW_PW_I5_20250509_15CM","20250926"
"12","81",0,0,0,0.0653333333333333,-5.09250899555599,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","C6","15cm","SO4",20250509,"TMP_FW_PW_C6_20250509_15CM","20250926"
"13","82",0,0,0,0.0666666666666667,-4.95576483809462,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","C3","15cm","SO4",20250509,"TMP_FW_PW_C3_20250509_15CM","20250926"
"14","83",0,0,0,0.0933333333333333,-2.22088168886716,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","H6","15cm","SO4",20250509,"TMP_FW_PW_H6_20250509_15CM","20250926"
"15","84",0,0,0,0.0673333333333333,-4.88739275936393,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","B4","15cm","SO4",20250509,"TMP_FW_PW_B4_20250509_15CM","20250926"
"16","85",0,0,0,0.0693333333333333,-4.68227652317187,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","H3","15cm","SO4",20250509,"TMP_FW_PW_H3_20250509_15CM","20250926"
"17","86",0,0,0,0.069,-4.71646256253722,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","F4","15cm","SO4",20250602,"TMP_FW_PW_F4_20250602_15CM","20250926"
"18","87",0,0,0,0.0693333333333333,-4.68227652317187,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","F6","15cm","SO4",20250602,"TMP_FW_PW_F6_20250602_15CM","20250926"
"19","88",0,0,0,0.0693333333333333,-4.68227652317187,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","H3","15cm","SO4",20250602,"TMP_FW_PW_H3_20250602_15CM","20250926"
"20","89",0,0,0,0.0756666666666667,-4.03274177523035,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","E3","15cm","SO4",20250602,"TMP_FW_PW_E3_20250602_15CM","20250926"
"21","90",0,0,0,0.085,-3.07553267300074,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","B4","15cm","SO4",20250602,"TMP_FW_PW_B4_20250602_15CM","20250926"
"22","91",0,0,0,0.0693333333333333,-4.68227652317187,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","H6","15cm","SO4",20250602,"TMP_FW_PW_H6_20250602_15CM","20250926"
"23","92",0,0,0,0.0706666666666667,-4.5455323657105,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","D5","15cm","SO4",20250602,"TMP_FW_PW_D5_20250602_15CM","20250926"
