"","Project","Plot","Grid","Date","Sample_Name","NH3_mgL","NH3_uM","PO4_mgL","PO4_uM","NOx_mgL","NOx_uM","NH3_range","PO4_range","NOx_range"
"1","TEMPEST","Aquifer","A","20230928","TEMPEST_Aquifer_A_20230928",0.025757,1.83890566657385,0.006934,0.495048798075207,0.019913,1.42167676897485,"Within_Range","Within_Range","bdl"
"2","TEMPEST","Aquifer","A","20240124","TEMPEST_Aquifer_A_20240124",0.026595,1.89873417721519,0.003767,0.268942720269585,0.007911,0.564801130887361,"Within_Range","Within_Range","bdl"
"3","TEMPEST","Aquifer","B","20230928","TEMPEST_Aquifer_B_20230928",0.028823,2.05780090956471,0.006531,0.466276853220245,0.009197,0.656614334568457,"Within_Range","Within_Range","bdl"
"4","TEMPEST","Aquifer","B","20240124","TEMPEST_Aquifer_B_20240124",0.034021,2.42890902211085,0.006404,0.457209763898706,0.009309,0.664610507828396,"Within_Range","Within_Range","bdl"
"5","TEMPEST","Aquifer","C","20230928","TEMPEST_Aquifer_C_20230928",0.025845,1.84518837413524,0.006749,0.481840833315485,0.006002,0.42850921344785,"Within_Range","Within_Range","bdl"
"6","TEMPEST","Aquifer","C","20240124","TEMPEST_Aquifer_C_20240124",0.024673,1.76151413252229,0.006909,0.493263937972542,0.006546,0.467347769281844,"Within_Range","Within_Range","bdl"
"7","TEMPEST","C","B4","20230810","TEMPEST_C_B4_20230810",0.025822,1.84354630284078,0.007523,0.537100102093998,0.007076,0.505186803458345,"Within_Range","Within_Range","bdl"
"8","TEMPEST","C","C6","20230628","TEMPEST_C_C6_20230628",0.022853,1.63157631704827,0.005226,0.373107155861124,0.010294,0.734933995873403,"Within_Range","Within_Range","bdl"
"9","TEMPEST","C","C6","20230810","TEMPEST_C_C6_20230810",0.008397,0.599498811283172,0.005798,0.413944755010102,0.007289,0.520393811533052,"bdl","Within_Range","bdl"
"10","TEMPEST","C","C6","20231211","TEMPEST_C_C6_20231211",0.004569,0.326201032363083,0.004971,0.354901582813939,0.007982,0.56987013357893,"bdl","Within_Range","bdl"
"11","TEMPEST","C","D5","20230628","TEMPEST_C_D5_20230628",0.018409,1.31429958519851,0.010494,0.749212876694725,0.010341,0.738289532866414,"bdl","Within_Range","bdl"
"12","TEMPEST","C","E3","20230810","TEMPEST_C_E3_20230810",0.026029,1.85832494449085,0.005576,0.398095197298436,0.010321,0.736861644784282,"Within_Range","Within_Range","bdl"
