"Project","plot","grid","Depth_cm","Analyte","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Volume_mL","Sample_ID","Site"
"COMPASS","C","B4",15,"DOC",17.15,1429.16666666667,"NPOC checks out of range",0.3328,23.7714285714286,"TN checks out of range","3/18/2026 7:52:08 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1228,1050,"EDT",10,"TMP_C_B4_20260309","TEMPEST"
"COMPASS","C","C3",15,"DOC",25.71,2142.5,"NPOC checks out of range",0.5052,36.0857142857143,"TN checks out of range","3/18/2026 8:16:42 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1230,1032,"EDT",10,"TMP_C_C3_20260309","TEMPEST"
"COMPASS","C","D5",15,"DOC",8.9,741.666666666667,"NPOC checks out of range",0.2227,15.9071428571429,"TN checks out of range","3/18/2026 8:47:47 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1518,1040,"EDT",10,"TMP_C_D5_20260309","TEMPEST"
"COMPASS","C","F4",15,"DOC",22.11,1842.5,"NPOC checks out of range",0.5453,38.95,"TN checks out of range","3/18/2026 9:30:20 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1218,1017,"EDT",10,"TMP_C_F4_20260309","TEMPEST"
"COMPASS","C","F6",15,"DOC",33.98,2831.66666666667,"NPOC checks out of range",0.6899,49.2785714285714,"TN checks out of range","3/18/2026 10:00:49 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1216,1010,"EDT",10,"TMP_C_F6_20260309","TEMPEST"
"COMPASS","C","H3",15,"DOC",28.96,2413.33333333333,"NPOC checks out of range",0.9303,66.45,"TN checks out of range","3/18/2026 10:31:56 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1206,925,"EDT",10,"TMP_C_H3_20260309","TEMPEST"
"COMPASS","C","H6",15,"DOC",30.17,2514.16666666667,"NPOC checks out of range",0.6907,49.3357142857143,"TN checks out of range","3/18/2026 11:03:55 AM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1214,957,"EDT",20,"TMP_C_H6_20260309","TEMPEST"
"COMPASS","C","I5",15,"DOC",27.93,2327.5,"NPOC checks out of range",0.539,38.5,"TN checks out of range","3/18/2026 12:04:45 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1210,943,"EDT",20,"TMP_C_I5_20260309","TEMPEST"
"COMPASS","FW","B4",15,"DOC",23.87,1989.16666666667,"NPOC checks out of range",0.5007,35.7642857142857,"TN checks out of range","3/18/2026 2:10:15 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1415,1309,"EDT",10,"TMP_FW_B4_20260309","TEMPEST"
"COMPASS","FW","C6",15,"DOC",16.94,1411.66666666667,"NPOC checks out of range",0.3999,28.5642857142857,"TN checks out of range","3/18/2026 2:42:41 PM","Check standards started going out of range after the samples were run. 
              Looked like the flow of the instrument was disrupted, but this was after the 
              samples ran, so I think it is okay to use these data.",NA,20260306,20260309,1411,1248,"EDT",10,"TMP_FW_C6_20260309","TEMPEST"
