,1,2,3,4,5,6,7,8,9,10,11,12
A,0.062,0.063,0.058,0.063,0.078,0.065,0.071,0.067,0.064,0.068,0.068,0.072
B,0.116,0.139,0.142,0.067,0.067,0.066,0.1,0.066,0.097,0.072,0.066,0.069
C,0.222,0.216,0.251,0.067,0.061,0.066,0.066,0.063,0.067,0.069,0.069,0.07
D,0.395,0.41,0.411,0.066,0.064,0.068,0.07,0.062,0.068,0.069,0.07,0.069
E,0.65,0.739,0.659,0.065,0.058,0.068,0.097,0.074,0.109,0.092,0.068,0.067
F,1.068,1.076,0.976,0.066,0.099,0.105,0.078,0.07,0.075,0.067,0.094,0.094
G,1.108,1.092,1.109,0.064,0.058,0.065,0.068,0.067,0.067,0.072,0.071,0.065
H,0.067,0.102,0.068,0.062,0.067,0.066,0.139,0.2,0.15,0.065,0.08,0.067
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,71,71,71,79,79,79,85,85,85
B,Std 1,Std 1,Std 1,72,72,72,80,80,80,86,86,86
C,Std 2,Std 2,Std 2,73,73,73,81,81,81,87,87,87
D,Std 3,Std 3,Std 3,74,74,74,82,82,82,88,88,88
E,Std 4,Std 4,Std 4,75,75,75,83,83,83,89,89,89
F,Std 5,Std 5,Std 5,76,76,76,83 Dup,83 Dup,83 Dup,90,90,90
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,77,77,77,84,84,84,91,91,91
H,70,70,70,78,78,78,84 Spike,84 Spike,84 Spike,92,92,92
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
