,1,2,3,4,5,6,7,8,9,10,11,12
A,0.066,0.059,0.057,0.082,0.083,0.08,0.07,0.068,0.067,0.044,0.044,0.045
B,0.14,0.137,0.137,0.085,0.086,0.087,0.068,0.064,0.066,0.044,0.044,0.044
C,0.236,0.226,0.243,0.065,0.071,0.067,0.069,0.065,0.065,0.045,0.045,0.046
D,0.348,0.361,0.36,0.068,0.068,0.066,0.077,0.072,0.071,0.045,0.045,0.044
E,0.602,0.601,0.598,0.068,0.066,0.089,0.045,0.044,0.045,0.045,0.045,0.044
F,0.895,0.874,0.898,0.07,0.07,0.09,0.073,0.075,0.061,0.045,0.045,0.044
G,1.105,1.144,1.106,0.068,0.068,0.067,0.044,0.045,0.044,0.044,0.044,0.045
H,1.188,1.126,1.01,0.065,0.066,0.067,0.234,0.278,0.235,0.045,0.045,0.045
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,1,1,1,9,9,9,,,
B,Std 1,Std 1,Std 1,2,2,2,10,10,10,,,
C,Std 2,Std 2,Std 2,3,3,3,11,11,11,,,
D,Std 3,Std 3,Std 3,4,4,4,12,12,12,,,
E,Std 4,Std 4,Std 4,5,5,5,,,,,,
F,Std 5,Std 5,Std 5,6,6,6,11 Dup,11 Dup,11 Dup,,,
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,7,7,7,,,,,,
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,8,8,8,12 Spike,12 Spike,12 Spike,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,,,
B,1,1,1,1,1,1,1,1,1,,,
C,1,1,1,1,1,1,1,1,1,,,
D,1,1,1,1,1,1,1,1,1,,,
E,1,1,1,1,1,1,,,,,,
F,1,1,1,1,1,1,1,1,1,,,
G,1,1,1,1,1,1,,,,,,
H,1,1,1,1,1,1,1,1,1,,,
