"","Project","Sample_ID","Number_on_vial","Volume_mL","Collection_Date_YYYYMMDD","Evacuation_date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","TEMPEST","TMP_FW_PW_F4_30cm_SO4_20260609_D3_AM","82",5,20260609,20260609,959,NA,"EDT",7.4025,0.23089519650655,"Within_Range","",4.8962,0.138115655853315,"Within_Range","",0.0088734334,"2026-09-02"," 
  ",NA
"2","TEMPEST","TMP_FW_PW_F4_50cm_SO4_20260609_D3_AM","83",5,20260609,20260609,1015,NA,"EDT",3.8743,0.120845290081098,"Within_Range","",3.9458,0.111306064880113,"Within_Range","",0.0071560606,"2026-09-02"," 
  ",NA
"3","TEMPEST","TMP_FW_PW_H3_15cm_SO4_20260609_D3_AM","84",5,20260609,20260609,1048,NA,"EDT",6.1253,0.19105739238927,"Within_Range","",3.9868,0.112462623413258,"Within_Range","",0.0072301476,"2026-09-02"," 
  ",NA
"4","TEMPEST","TMP_FW_PW_H3_30cm_SO4_20260609_D3_AM","85",5,20260609,20260609,1056,NA,"EDT",6.4854,0.202289457267623,"Within_Range","",4.9003,0.138231311706629,"Within_Range","",0.0088808421,"2026-09-02"," 
  ",NA
"5","TEMPEST","TMP_FW_PW_H3_50cm_SO4_20260609_D3_AM","86",5,20260609,20260609,1106,NA,"EDT",4.1493,0.129422956955708,"Within_Range","",3.0337,0.0855768688293371,"Within_Range","",0.0055078959,"2026-09-02"," 
  ",NA
"6","TEMPEST","TMP_FW_PW_H6_15cm_SO4_20260609_D3_AM","87",5,20260609,20260609,1115,NA,"EDT",4.8549,0.151431690580162,"Within_Range","",2.8971,0.0817235543018336,"Within_Range","",0.0052610597,"2026-09-02"," 
  ",NA
"7","TEMPEST","TMP_FW_PW_H6_30cm_SO4_20260609_D3_AM","88",5,20260609,20260609,1120,NA,"EDT",1.5711,0.0490049906425452,"Within_Range","",3.859,0.10885754583921,"Within_Range","",0.006999213,"2026-09-02"," 
  ",NA
"8","TEMPEST","TMP_FW_PW_H6_50cm_SO4_20260609_D3_AM","89",5,20260609,20260609,1127,NA,"EDT",4.632,0.144479101684342,"Within_Range","",3.7881,0.10685754583921,"Within_Range","",0.0068710967,"2026-09-02"," 
  ",NA
"9","TEMPEST","TMP_SW_SCE_SO4_20260609_D3_AM","90",5,20260609,NA,NA,NA,"EDT",706.8297,22.0470898315658,"Within_Range","",5082.155,143.361212976023,"Within_Range","",9.183480085,"2026-09-02"," 
  ","pH, cond, temp from proDSS"
"10","TEMPEST","TMP_FW_SCE_SO4_20260609_D3_AM","91",5,20260609,NA,NA,NA,"EDT",9.2097,0.287264504054897,"Within_Range","",3.7681,0.106293370944993,"Within_Range","",0.0068349567,"2026-09-02"," 
  ","pH, cond, temp from ProDSS resampled the SO4 because first one put in too much volume"
"11","TEMPEST","TMP_EST_SCE_SO4_20260609_D3_LT","92",5,20260609,NA,NA,NA,"EDT",720.0622,22.4598315658141,"Within_Range","",5171.6621,145.886095909732,"Within_Range","",9.3452194147,"2026-09-02"," 
  ","low tide"
"12","TEMPEST","TMP_EST_SCE_SO4_20260609_D3_HT","93",5,20260609,NA,NA,NA,"EDT",727.4791,22.6911759201497,"Within_Range","",5220.1639,147.254270803949,"Within_Range","",9.4328621673,"2026-09-02"," 
  ","high tide"
