"","Project","Sample_ID","Number_on_vial","Volume_mL","Collection_Date_YYYYMMDD","Evacuation_date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","TEMPEST","TMP_C_PW_C6_50cm_SO4_20260604_Pre","1",6,20260604,20260604,1227,NA,"EDT",3.3537,0.104606986899563,"Within_Range","",1.3603,0.0383723554301834,"Within_Range","",0.0024840621,"2026-08-26"," 
  ",NA
"2","TEMPEST","TMP_C_PW_F4_30cm_SO4_20260604_Pre","2",5,20260604,20260604,1256,NA,"EDT",2.141,0.0667810355583281,"Within_Range","",3.6372,0.102600846262341,"Within_Range","",0.0065984204,"2026-08-26"," 
  ",NA
"3","TEMPEST","TMP_C_PW_F4_50cm_SO4_20260604_Pre","3",5,20260604,20260604,1303,NA,"EDT",4.39,0.136930754834685,"Within_Range","",2.8974,0.0817320169252468,"Within_Range","",0.0052616018,"2026-08-26"," 
  ",NA
"4","TEMPEST","TMP_C_PW_H3_30cm_SO4_20260604_Pre","4",5,20260604,20260604,1306,NA,"EDT",0.1248,0.0038927011852776,"Within_Range","",2.5507,0.0719520451339915,"Within_Range","",0.0046351149,"2026-08-26"," 
  ",NA
"5","TEMPEST","TMP_C_PW_H6_30cm_SO4_20260604_Pre","5",5,20260604,20260604,1324,NA,"EDT",0.8389,0.026166562694947,"Within_Range","",2.0443,0.0576671368124118,"Within_Range","",0.0037200501,"2026-08-26"," 
  ",NA
"6","TEMPEST","TMP_C_PW_H6_50cm_SO4_20260604_Pre","6",5,20260604,20260604,1328,NA,"EDT",1.3337,0.0416001247660636,"Within_Range","",1.4977,0.0422482369534556,"Within_Range","",0.0027323439,"2026-08-26"," 
  ",NA
"7","TEMPEST","TMP_SW_PW_C3_30cm_SO4_20260604_Pre","7",5,20260604,20260604,1056,NA,"EDT",19.4311,0.606085464753587,"Within_Range","",20.5422,0.579469675599436,"Within_Range","",0.0371457554,"2026-08-26"," 
  ",NA
"8","TEMPEST","TMP_SW_PW_C6_30cm_SO4_20260604_Pre","8",5,20260604,20260604,1028,NA,"EDT",9.8487,0.3071958827199,"Within_Range","",36.0216,1.01612411847673,"Within_Range","",0.0651170312,"2026-08-26"," 
  ",NA
"9","TEMPEST","TMP_SW_PW_F4_30cm_SO4_20260604_Pre","9",5,20260604,20260604,1124,NA,"EDT",33.5136,1.04533998752339,"Within_Range","",15.7766,0.44503808180536,"Within_Range","",0.0285343162,"2026-08-26"," 
  ",NA
"10","TEMPEST","TMP_SW_PW_F4_50cm_SO4_20260604_Pre","10",5,20260604,20260604,1128,NA,"EDT",87.2738,2.72220212102308,"Within_Range","",107.7621,3.03983356840621,"Within_Range","",0.1947521147,"2026-08-26"," 
  ",NA
