"","Project","Sample_ID","Number_on_vial","Volume_mL","Collection_Date_YYYYMMDD","Evacuation_date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","TEMPEST","TMP_SW_PW_H6_50cm_SO4_20260611_D5_PM","272",5,20260611,20260611,1352,NA,"EDT",157.408,4.90979413599501,"Within_Range","",1837.1411,51.8234442877292,"Within_Range","",3.3197399677,"2026-09-17","TMP_FW_RO_SO4_20260611_D5_T2 had very high chloride, rerun",NA
"2","TEMPEST","TMP_SW_PW_I5_15cm_SO4_20260611_D5_PM","273",5,20260611,20260611,1315,NA,"EDT",672.3757,20.9724173424828,"Within_Range","",4994.4073,140.885960507757,"Within_Range","",9.0249199911,"2026-09-17","TMP_FW_RO_SO4_20260611_D5_T2 had very high chloride, rerun",NA
"3","TEMPEST","TMP_FW_PW_B4_15cm_SO4_20260611_D5_PM","274",5,20260611,20260611,1609,NA,"EDT",4.3124,0.13451029320025,"Within_Range","",1.6794,0.0473737658674189,"Within_Range","",0.0030606758,"2026-09-17","TMP_FW_RO_SO4_20260611_D5_T2 had very high chloride, rerun",NA
"4","TEMPEST","TMP_FW_PW_C3_15cm_SO4_20260611_D5_PM","275",5,20260611,20260611,1302,NA,"EDT",6.8934,0.215015595757954,"Within_Range","",1.1579,0.0326629055007052,"Within_Range","",0.0021183253,"2026-09-17","TMP_FW_RO_SO4_20260611_D5_T2 had very high chloride, rerun",NA
"5","TEMPEST","TMP_FW_PW_C3_30cm_SO4_20260611_D5_PM","276",5,20260611,20260611,1308,NA,"EDT",2.288,0.0713661883967561,"Within_Range","",1.1535,0.0325387870239774,"Within_Range","",0.0021103745,"2026-09-17","TMP_FW_RO_SO4_20260611_D5_T2 had very high chloride, rerun",NA
"6","TEMPEST","TMP_FW_PW_C3_50cm_SO4_20260611_D5_PM","277",5,20260611,20260611,1318,NA,"EDT",4.8702,0.15190892077355,"Within_Range","",1.2503,0.0352693935119887,"Within_Range","",0.0022852921,"2026-09-17","TMP_FW_RO_SO4_20260611_D5_T2 had very high chloride, rerun",NA
"7","TEMPEST","TMP_FW_PW_C6_15cm_SO4_20260611_D5_PM","278",5,20260611,20260611,1416,NA,"EDT",6.0602,0.189026824703681,"Within_Range","",1.1541,0.0325557122708039,"Within_Range","",0.0021114587,"2026-09-17","TMP_FW_RO_SO4_20260611_D5_T2 had very high chloride, rerun",NA
"8","TEMPEST","TMP_FW_PW_C6_30cm_SO4_20260611_D5_PM","279",5,20260611,20260611,1425,NA,"EDT",3.5912,0.112014971927636,"Within_Range","",1.3243,0.0373568406205924,"Within_Range","",0.0024190101,"2026-09-17","TMP_FW_RO_SO4_20260611_D5_T2 had very high chloride, rerun",NA
"9","TEMPEST","TMP_FW_PW_C6_50cm_SO4_20260611_D5_PM","280",5,20260611,20260611,1430,NA,"EDT",4.6553,0.145205864004991,"Within_Range","",1.5959,0.0450183356840621,"Within_Range","",0.0029097913,"2026-09-17","TMP_FW_RO_SO4_20260611_D5_T2 had very high chloride, rerun",NA
"10","TEMPEST","TMP_FW_PW_D5_15cm_SO4_20260611_D5_PM","281",5,20260611,20260611,1610,NA,"EDT",6.1609,0.192167810355583,"Within_Range","",1.872,0.0528067700987306,"Within_Range","",0.003408704,"2026-09-17","TMP_FW_RO_SO4_20260611_D5_T2 had very high chloride, rerun",NA
