"","Project","Sample_ID","Number_on_vial","Volume_mL","Collection_Date_YYYYMMDD","Evacuation_date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","TEMPEST","TMP_SW_PW_C6_15cm_SO4_20260612_D6_PM","302",5,20260612,20260612,1531,NA,"EDT",499.5986,15.5832376793512,"Within_Range","",4121.4729,116.261576868829,"Within_Range","",7.4475275303,"2026-09-25","Run looks good other than one bad cloride dup, likely due to a small chloride value. 
  TMP_FW_PW_C6_15cm_SO4_20260615_Post had an unusually high chloride value for freshwater",NA
"2","TEMPEST","TMP_SW_PW_C6_30cm_SO4_20260612_D6_PM","303",5,20260612,20260612,1538,NA,"EDT",143.3299,4.4706768558952,"Within_Range","",2511.905,70.8576868829337,"Within_Range","",4.539038335,"2026-09-25","Run looks good other than one bad cloride dup, likely due to a small chloride value. 
  TMP_FW_PW_C6_15cm_SO4_20260615_Post had an unusually high chloride value for freshwater",NA
"3","TEMPEST","TMP_SW_PW_C6_50cm_SO4_20260612_D6_PM","304",5,20260612,20260612,1544,NA,"EDT",230.4671,7.18861821584529,"Within_Range","",2541.4278,71.6904880112835,"Within_Range","",4.5923860346,"2026-09-25","Run looks good other than one bad cloride dup, likely due to a small chloride value. 
  TMP_FW_PW_C6_15cm_SO4_20260615_Post had an unusually high chloride value for freshwater",NA
"4","TEMPEST","TMP_SW_PW_D5_15cm_SO4_20260612_D6_PM","305",5,20260612,20260612,1550,NA,"EDT",408.554,12.7434185901435,"Within_Range","",3540.2218,99.8652129760225,"Within_Range","",6.3972067926,"2026-09-25","Run looks good other than one bad cloride dup, likely due to a small chloride value. 
  TMP_FW_PW_C6_15cm_SO4_20260615_Post had an unusually high chloride value for freshwater",NA
"5","TEMPEST","TMP_SW_PW_E3_15cm_SO4_20260612_D6_PM","306",5,20260612,20260612,1457,NA,"EDT",445.5696,13.8979912663755,"Within_Range","",4019.3851,113.381808180536,"Within_Range","",7.2630548757,"2026-09-25","Run looks good other than one bad cloride dup, likely due to a small chloride value. 
  TMP_FW_PW_C6_15cm_SO4_20260615_Post had an unusually high chloride value for freshwater",NA
"6","TEMPEST","TMP_SW_PW_F4_15cm_SO4_20260612_D6_PM","307",5,20260612,20260612,1424,NA,"EDT",633.6591,19.7647878976918,"Within_Range","",4722.5028,133.215875881523,"Within_Range","",8.5335885596,"2026-09-25","Run looks good other than one bad cloride dup, likely due to a small chloride value. 
  TMP_FW_PW_C6_15cm_SO4_20260615_Post had an unusually high chloride value for freshwater",NA
"7","TEMPEST","TMP_SW_PW_F4_30cm_SO4_20260612_D6_PM","308",5,20260612,20260612,1429,NA,"EDT",153.9865,4.80307236431691,"Within_Range","",3343.1589,94.3063159379408,"Within_Range","",6.0411141323,"2026-09-25","Run looks good other than one bad cloride dup, likely due to a small chloride value. 
  TMP_FW_PW_C6_15cm_SO4_20260615_Post had an unusually high chloride value for freshwater",NA
"8","TEMPEST","TMP_SW_PW_F4_50cm_SO4_20260612_D6_PM","309",5,20260612,20260612,1440,NA,"EDT",253.0914,7.89430442919526,"Within_Range","",3029.8208,85.4674414668547,"Within_Range","",5.4749121856,"2026-09-25","Run looks good other than one bad cloride dup, likely due to a small chloride value. 
  TMP_FW_PW_C6_15cm_SO4_20260615_Post had an unusually high chloride value for freshwater",NA
"9","TEMPEST","TMP_SW_PW_F6_15cm_SO4_20260612_D6_PM","310",5,20260612,20260612,1416,NA,"EDT",635.6561,19.8270773549594,"Within_Range","",4835.9452,136.415943582511,"Within_Range","",8.7385789764,"2026-09-25","Run looks good other than one bad cloride dup, likely due to a small chloride value. 
  TMP_FW_PW_C6_15cm_SO4_20260615_Post had an unusually high chloride value for freshwater",NA
"10","TEMPEST","TMP_SW_PW_H3_15cm_SO4_20260612_D6_PM","311",5,20260612,20260612,1326,NA,"EDT",632.9694,19.7432751091703,"Within_Range","",4843.5833,136.631404795487,"Within_Range","",8.7523810231,"2026-09-25","Run looks good other than one bad cloride dup, likely due to a small chloride value. 
  TMP_FW_PW_C6_15cm_SO4_20260615_Post had an unusually high chloride value for freshwater",NA
