"","Sample_ID","integration_time_s","dilution_factor","RSU_area_1s","abs_file_id","eem_file_id","Evacuation_date_YYYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Notes","Deployment_Date_YYYYMMDD","Deployment_Time_24hrs","Collection_Time_24hrs","Total_Volume_mL","EST_EDT"
"1","TMP_FW_PW_15CM_POOLED_T3_20220623","1","1","3012","TMP_FW_PW_15CM_POOLED_T3_20220623_ABS_DilCorr.dat","TMP_FW_PW_15CM_POOLED_T3_20220623_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220623,938,NA,NA,NA,NA,NA,138,NA
"2","TMP_SOURCE_ESTUARY_HR7_20220622","1","1","3012","TMP_SOURCE_ESTUARY_HR7_20220622_ABS_DilCorr.dat","TMP_SOURCE_ESTUARY_HR7_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,NA,NA,1500,NA,NA
"3","TMP_FW_PW_H6_15CM_T2_20220622","1","1","3012","TMP_FW_PW_H6_15CM_T2_20220622_ABS_DilCorr.dat","TMP_FW_PW_H6_15CM_T2_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,1614,NA,NA,NA,NA,NA,NA,"EDT"
"4","TMP_SOURCE_FW_HR5_20220622","1","1","3012","TMP_SOURCE_FW_HR5_20220622_ABS_DilCorr.dat","TMP_SOURCE_FW_HR5_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",1200,NA,"EDT"
"5","TMP_SOURCE_FW_HR4_20220622","1","1","3012","TMP_SOURCE_FW_HR4_20220622_ABS_DilCorr.dat","TMP_SOURCE_FW_HR4_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",1100,NA,"EDT"
"6","TMP_C_PW_15CM_POOLED_T3_20220623","1","0.4","3012","TMP_C_PW_15CM_POOLED_T3_20220623_ABS_DilCorr.dat","TMP_C_PW_15CM_POOLED_T3_20220623_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220623,938,NA,NA,NA,NA,NA,35,NA
"7","TMP_SOURCE_FW_HR7_20220622","1","1","3012","TMP_SOURCE_FW_HR7_20220622_ABS_DilCorr.dat","TMP_SOURCE_FW_HR7_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",1448,NA,"EDT"
"8","TMP_SOURCE_SW_HR3_20220622","1","1","3012","TMP_SOURCE_SW_HR3_20220622_ABS_DilCorr.dat","TMP_SOURCE_SW_HR3_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",1000,NA,"EDT"
"9","TMP_SOURCE_SW_HR3_20220622","1","1","3012","TMP_SOURCE_SW_HR3_20220622_ABS_DilCorr.dat","TMP_SOURCE_SW_HR3_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",1000,NA,"EDT"
"10","TMP_SW_PW_15CM_POOLED_T2_20220622","1","1","3012","TMP_SW_PW_15CM_POOLED_T2_20220622_ABS_DilCorr.dat","TMP_SW_PW_15CM_POOLED_T2_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,1614,1749,NA,NA,NA,NA,113,NA
"11","TMP_FW_PW_15CM_POOLED_T0_20220620","1","0.5","2984","TMP_FW_PW_15CM_POOLED_T0_20220620_ABS_DilCorr.dat","TMP_FW_PW_15CM_POOLED_T0_20220620_EEM_DilCorr_IFE_RamNorm.dat",20220618,20220620,1015,NA,NA,NA,NA,NA,21.5,NA
"12","TMP_SOURCE_SW_HR0_20220622","1","1","3012","TMP_SOURCE_SW_HR0_20220622_ABS_DilCorr.dat","TMP_SOURCE_SW_HR0_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",645,NA,"EDT"
"13","TMP_SOURCE_FW_HR3_20220622","1","1","2984","TMP_SOURCE_FW_HR3_20220622_ABS_DilCorr.dat","TMP_SOURCE_FW_HR3_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",1000,NA,"EDT"
"14","TMP_FW_PW_15CM_POOLED_20220615","1","0.75","2984","TMP_FW_PW_15CM_POOLED_20220615_ABS_DilCorr.dat","TMP_FW_PW_15CM_POOLED_20220615_EEM_DilCorr_IFE_RamNorm.dat",20220615,20220615,1200,NA,NA,NA,NA,NA,20,NA
"15","TMP_SOURCE_SW_HR2_20220622","1","1","2984","TMP_SOURCE_SW_HR2_20220622_ABS_DilCorr.dat","TMP_SOURCE_SW_HR2_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",930,NA,"EDT"
"16","TMP_FW_PW_15CM_POOLED_T1_20220622","1","1","2984","TMP_FW_PW_15CM_POOLED_T1_20220622_ABS_DilCorr.dat","TMP_FW_PW_15CM_POOLED_T1_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,1245,1445,NA,NA,NA,NA,94,NA
"17","TMP_SW_PW_15CM_POOLED_T1_20220622","1","1","2984","TMP_SW_PW_15CM_POOLED_T1_20220622_ABS_DilCorr.dat","TMP_SW_PW_15CM_POOLED_T1_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,1247,NA,NA,NA,NA,NA,68,NA
"18","TMP_SOURCE_FW_HR1_20220622","1","1","2984","TMP_SOURCE_FW_HR1_20220622_ABS_DilCorr.dat","TMP_SOURCE_FW_HR1_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",800,NA,"EDT"
"19","TMP_FW_PW_15CM_POOLED_20220613","1","1","2984","TMP_FW_PW_15CM_POOLED_20220613_ABS_DilCorr.dat","TMP_FW_PW_15CM_POOLED_20220613_EEM_DilCorr_IFE_RamNorm.dat",20220613,20220613,1100,1330,NA,NA,NA,NA,232,NA
"20","TMP_FW_PW_15CM_POOLED_T0_20220620","1","0.5","2984","TMP_FW_PW_15CM_POOLED_T0_20220620_ABS_DilCorr.dat","TMP_FW_PW_15CM_POOLED_T0_20220620_EEM_DilCorr_IFE_RamNorm.dat",20220618,20220620,1015,NA,NA,NA,NA,NA,21.5,NA
"21","TMP_SOURCE_SW_HR7_20220622","1","1","3012","TMP_SOURCE_SW_HR7_20220622_ABS_DilCorr.dat","TMP_SOURCE_SW_HR7_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",1448,NA,"EDT"
"22","TMP_SOURCE_SW_HR4_20220622","1","1","2984","TMP_SOURCE_SW_HR4_20220622_ABS_DilCorr.dat","TMP_SOURCE_SW_HR4_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",1100,NA,"EDT"
"23","TMP_C_PW_15CM_POOLED_20220615","1","0.5","2984","TMP_C_PW_15CM_POOLED_20220615_ABS_DilCorr.dat","TMP_C_PW_15CM_POOLED_20220615_EEM_DilCorr_IFE_RamNorm.dat",20220615,20220615,1200,NA,NA,NA,NA,NA,96,NA
"24","TMP_C_PW_15CM_POOLED_T2_20220622","1","0.5","2984","TMP_C_PW_15CM_POOLED_T2_20220622_ABS_DilCorr.dat","TMP_C_PW_15CM_POOLED_T2_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,1634,1740,NA,NA,NA,NA,9,NA
"25","TMP_FW_PW_15CM_POOLED_T2_20220622","1","1","2984","TMP_FW_PW_15CM_POOLED_T2_20220622_ABS_DilCorr.dat","TMP_FW_PW_15CM_POOLED_T2_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,1614,NA,NA,NA,NA,NA,118.5,NA
"26","TMP_SOURCE_SW_HR1_20220622","1","1","2984","TMP_SOURCE_SW_HR1_20220622_ABS_DilCorr.dat","TMP_SOURCE_SW_HR1_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",800,NA,"EDT"
"27","TMP_SOURCE_SW_HR5_20220622","1","1","2984","TMP_SOURCE_SW_HR5_20220622_ABS_DilCorr.dat","TMP_SOURCE_SW_HR5_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",1200,NA,"EDT"
"28","TMP_C_PW_15CM_POOLED_T4_20220624","1","0.44","2984","TMP_C_PW_15CM_POOLED_T4_20220624_ABS_DilCorr.dat","TMP_C_PW_15CM_POOLED_T4_20220624_EEM_DilCorr_IFE_RamNorm.dat",20220623,20220624,1200,NA,NA,NA,NA,NA,106.5,NA
"29","TMP_SW_PW_15CM_POOLED_T3_20220623","1","1","2984","TMP_SW_PW_15CM_POOLED_T3_20220623_ABS_DilCorr.dat","TMP_SW_PW_15CM_POOLED_T3_20220623_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220623,941,1140,NA,NA,NA,NA,121.5,NA
"30","TMP_SW_PW_15CM_POOLED_T4_20220624","1","1","2984","TMP_SW_PW_15CM_POOLED_T4_20220624_ABS_DilCorr.dat","TMP_SW_PW_15CM_POOLED_T4_20220624_EEM_DilCorr_IFE_RamNorm.dat",20220623,20220624,1215,1357,NA,NA,NA,NA,250,NA
"31","TMP_C_PW_15CM_POOLED_20220613","1","0.5","3012","TMP_C_PW_15CM_POOLED_20220613_ABS_DilCorr.dat","TMP_C_PW_15CM_POOLED_20220613_EEM_DilCorr_IFE_RamNorm.dat",20220613,20220613,1100,1330,NA,NA,NA,NA,139,NA
"32","TMP_SW_PW_15CM_POOLED_T4_20220624","1","0.5","2984","TMP_SW_PW_15CM_POOLED_T4_20220624_ABS_DilCorr.dat","TMP_SW_PW_15CM_POOLED_T4_20220624_EEM_DilCorr_IFE_RamNorm.dat",20220623,20220624,1215,1357,NA,NA,NA,NA,250,NA
